ZAT,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad
769.0,69,ISMAEL PERDOMO,19,CIUDAD BOLIVAR
666.0,69,ISMAEL PERDOMO,19,CIUDAD BOLIVAR
667.0,70,JERUSALEM,19,CIUDAD BOLIVAR
669.0,70,JERUSALEM,19,CIUDAD BOLIVAR
671.0,70,JERUSALEM,19,CIUDAD BOLIVAR
776.0,,,,
774.0,,,,
778.0,,,,
777.0,,,,
782.0,,,,
544.0,85,BOSA CENTRAL,07,BOSA
545.0,48,TIMIZA,08,KENNEDY
766.0,85,BOSA CENTRAL,07,BOSA
543.0,49,APOGEO,07,BOSA
775.0,,,,
945.0,69,ISMAEL PERDOMO,19,CIUDAD BOLIVAR
623.0,69,ISMAEL PERDOMO,19,CIUDAD BOLIVAR
768.0,69,ISMAEL PERDOMO,19,CIUDAD BOLIVAR
567.0,85,BOSA CENTRAL,07,BOSA
568.0,85,BOSA CENTRAL,07,BOSA
553.0,86,EL PORVENIR,07,BOSA
555.0,86,EL PORVENIR,07,BOSA
556.0,86,EL PORVENIR,07,BOSA
558.0,87,TINTAL SUR,07,BOSA
554.0,86,EL PORVENIR,07,BOSA
560.0,84,BOSA OCCIDENTAL,07,BOSA
563.0,84,BOSA OCCIDENTAL,07,BOSA
530.0,83,LAS MARGARITAS,08,KENNEDY
624.0,69,ISMAEL PERDOMO,19,CIUDAD BOLIVAR
625.0,69,ISMAEL PERDOMO,19,CIUDAD BOLIVAR
665.0,70,JERUSALEM,19,CIUDAD BOLIVAR
565.0,85,BOSA CENTRAL,07,BOSA
566.0,85,BOSA CENTRAL,07,BOSA
564.0,84,BOSA OCCIDENTAL,07,BOSA
548.0,81,GRAN BRITALIA,08,KENNEDY
550.0,84,BOSA OCCIDENTAL,07,BOSA
552.0,84,BOSA OCCIDENTAL,07,BOSA
551.0,84,BOSA OCCIDENTAL,07,BOSA
786.0,,,,
787.0,,,,
788.0,,,,
781.0,,,,
783.0,,,,
784.0,,,,
780.0,,,,
779.0,,,,
785.0,,,,
