theft_to_vehicle_area_index1,theft_to_vehicle_area_index0,lb,ub,exp
-.47579676,.30824459,-1.0992804,.14768678,-24
-.30371049,.24589244,-.80107486,.1936539,-23
-.76717371,.3486647,-1.4724146,-.061932787,-22
-.50914013,.27687609,-1.0691749,.050894629,-21
-.47001842,.34266219,-1.1631181,.22308126,-20
.10455231,.30049857,-.50326347,.71236807,-19
-.32914591,.41676235,-1.1721274,.51383555,-18
-.51789176,.33951095,-1.2046175,.16883394,-17
-.54785252,.52363425,-1.6070029,.51129782,-16
-.32194552,.52738553,-1.3886834,.7447924,-15
-.5006609,.47216612,-1.4557071,.45438525,-14
-.38191447,.53088403,-1.4557287,.69189978,-13
-.23552687,.42879906,-1.1028548,.63180107,-12
-.43237066,.3809489,-1.2029126,.33817124,-11
-.059369482,.47185913,-1.0137947,.89505571,-10
-.27715054,.42273021,-1.1322031,.57790202,-9
-.039640561,.37535352,-.79886472,.71958357,-8
-.08297614,.44932193,-.99181551,.82586324,-7
-.071362689,.37379077,-.8274259,.68470055,-6
-.016005661,.49939984,-1.0261371,.99412584,-5
.44096789,.44823247,-.46566784,1.3476037,-4
.28280309,.38726461,-.50051349,1.0661197,-3
.039347474,.25810263,-.48271435,.56140929,-2
0,0,0,0,-1
-.030653303,.32980534,-.69774759,.63644099,0
-.13375039,.30966157,-.76010007,.49259928,1
-.12145454,.33644599,-.80198073,.55907166,2
-.22782028,.37743545,-.99125552,.53561497,3
-.03948253,.3248437,-.69654089,.61757588,4
.071088441,.55575174,-1.0530256,1.1952025,5
.0057203164,.49241877,-.99029064,1.0017313,6
-.44922265,.42514819,-1.3091661,.41072071,7
-1.0023001,.4372288,-1.8866788,-.11792141,8
-.40575522,.49571669,-1.4084369,.59692645,9
.073210821,.44551134,-.82792091,.97434258,10
.12408106,.40259144,-.69023699,.93839914,11
-.35819995,.51268178,-1.3951968,.67879683,12
-.10678455,.57615316,-1.2721643,1.0585952,13
.074839421,.42522603,-.78526139,.93494028,14
.32983908,.51342571,-.70866245,1.3683406,15
.087245256,.66323394,-1.2542721,1.4287626,16
.24428438,.71262389,-1.1971334,1.6857022,17
-.45639092,.47567582,-1.4185361,.50575423,18
-.054707266,.44205153,-.94884092,.83942634,19
.57632095,.38500237,-.20241982,1.3550618,20
.033036962,.52596343,-1.0308245,1.0968984,21
1.3216188,.70978588,-.11405856,2.7572963,22
.80555111,.86311376,-.94026124,2.5513635,23
-.20850702,.54423285,-1.3093219,.89230782,24
