tasa_total_atraco1,tasa_total_atraco0,lb,ub,exp
.11964526,.15490547,-.1906677,.42995822,-24
.13659234,.17166409,-.20729214,.48047683,-23
.48736438,.40794495,-.32984757,1.3045763,-22
.27172655,.21826062,-.16550201,.70895511,-21
.51007515,.40968692,-.31062642,1.3307767,-20
.49208057,.39027038,-.28972495,1.2738861,-19
.38469821,.3018809,-.22004186,.9894383,-18
.37017012,.27201647,-.17474435,.91508454,-17
.35254338,.26474217,-.17779888,.88288563,-16
.3271789,.23798047,-.14955327,.80391109,-15
.23627669,.17436121,-.11301079,.5855642,-14
.24049732,.17302465,-.10611271,.58710736,-13
.24292287,.16856462,-.09475264,.58059841,-12
.25311679,.16809958,-.083627127,.58986074,-11
.24715024,.15745346,-.068266951,.56256741,-10
.3217288,.19966078,-.078239821,.72169739,-9
.39323866,.23113288,-.069776133,.85625345,-8
.32986045,.23541307,-.14172859,.80144948,-7
.18503904,.29851615,-.41296068,.78303874,-6
.20012832,.2982139,-.39726591,.79752254,-5
.18543951,.29449555,-.404506,.77538502,-4
.064561732,.22921208,-.39460522,.52372867,-3
-.10944507,.22146873,-.55310029,.33421013,-2
0,0,0,0,-1
-.10303283,.21189049,-.52750051,.32143483,0
-.067936212,.19343676,-.45543659,.31956419,1
-.1006446,.19932821,-.49994698,.29865777,2
-.15125279,.21972923,-.59142333,.28891775,3
-.17298563,.24145882,-.65668577,.31071451,4
-.23344171,.25699595,-.74826646,.28138304,5
-.040545557,.20192273,-.44504538,.36395428,6
-.081784137,.22665957,-.53583777,.37226951,7
-.087831058,.22838277,-.54533672,.36967459,8
-.089024521,.23075223,-.5512768,.37322775,9
.11707001,.15449163,-.19241393,.42655396,10
.09155415,.15727064,-.22349679,.40660509,11
.094919257,.16131777,-.22823904,.41807756,12
.097381525,.16102356,-.22518742,.41995049,13
.067266382,.17510328,-.28350762,.41804039,14
.065125838,.18795447,-.31139222,.44164389,15
.048701636,.18550944,-.32291844,.4203217,16
.10774,.18661915,-.26610309,.48158309,17
.06839329,.21080212,-.35389411,.49068069,18
.16945376,.16998428,-.17106567,.50997317,19
.16010684,.11736127,-.074996039,.39520973,20
.15544216,.11793727,-.080814563,.3916989,21
.12264706,.096634671,-.070935443,.31622958,22
.094003424,.077877291,-.062003534,.25001037,23
.098530382,.070783362,-.043265741,.24032649,24
