ZAT,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad,estrato_mean,poblacion_2005,area_urbana_2009,poblacion_urbana_2009,densidad_urbana_2009,poblacion_por_localidad_2005,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,num_est_transmi,acceso_transmi,accesibilidad_arterial
87.0,15,COUNTRY CLUB,01,USAQUEN,5.79,87775.0,285.606.835.551,24678.0,864.054.949.959,425.192,430.156,"3,12",1.867.529,"93,6",3.0,1,13.0
86.0,14,USAQUEN,01,USAQUEN,5.0,34100.0,492.691.983.265,41634.0,8.450.310.014,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,8.0
154.0,14,USAQUEN,01,USAQUEN,2.87,34100.0,492.691.983.265,41634.0,8.450.310.014,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,3.0
194.0,74,ENGATIVA,10,ENGATIVA,2.0,118752.0,58.763.454.342,130828.0,222.634.971.795,804.47,824.337,"3,41",1.089.512,"91,78",0.0,0,0.0
195.0,74,ENGATIVA,10,ENGATIVA,2.01,118752.0,58.763.454.342,130828.0,222.634.971.795,804.47,824.337,"3,41",1.089.512,"91,78",0.0,0,2.0
196.0,74,ENGATIVA,10,ENGATIVA,2.0,118752.0,58.763.454.342,130828.0,222.634.971.795,804.47,824.337,"3,41",1.089.512,"91,78",0.0,0,8.0
197.0,74,ENGATIVA,10,ENGATIVA,2.0,118752.0,58.763.454.342,130828.0,222.634.971.795,804.47,824.337,"3,41",1.089.512,"91,78",0.0,0,3.0
201.0,116,ALAMOS,10,ENGATIVA,2.91,12319.0,200.244.113.699,13641.0,681.218.526.129,804.47,824.337,"3,41",1.089.512,"91,78",0.0,0,8.0
191.0,73,GARCES NAVAS,10,ENGATIVA,3.0,136527.0,555.040.743.711,149186.0,268.783.871.617,804.47,824.337,"3,41",1.089.512,"91,78",0.0,0,4.0
190.0,73,GARCES NAVAS,10,ENGATIVA,2.01,136527.0,555.040.743.711,149186.0,268.783.871.617,804.47,824.337,"3,41",1.089.512,"91,78",0.0,0,9.0
302.0,116,ALAMOS,10,ENGATIVA,3.4,12319.0,200.244.113.699,13641.0,681.218.526.129,804.47,824.337,"3,41",1.089.512,"91,78",3.0,1,9.0
192.0,73,GARCES NAVAS,10,ENGATIVA,2.68,136527.0,555.040.743.711,149186.0,268.783.871.617,804.47,824.337,"3,41",1.089.512,"91,78",0.0,0,8.0
189.0,73,GARCES NAVAS,10,ENGATIVA,3.0,136527.0,555.040.743.711,149186.0,268.783.871.617,804.47,824.337,"3,41",1.089.512,"91,78",0.0,0,4.0
120.0,72,BOLIVIA,10,ENGATIVA,3.0,82839.0,474.504.159.406,86279.0,181.829.807.579,804.47,824.337,"3,41",1.089.512,"91,78",3.0,1,6.0
187.0,73,GARCES NAVAS,10,ENGATIVA,3.0,136527.0,555.040.743.711,149186.0,268.783.871.617,804.47,824.337,"3,41",1.089.512,"91,78",3.0,1,9.0
188.0,73,GARCES NAVAS,10,ENGATIVA,3.0,136527.0,555.040.743.711,149186.0,268.783.871.617,804.47,824.337,"3,41",1.089.512,"91,78",1.0,1,3.0
37.0,71,TIBABUYES,11,SUBA,2.06,193830.0,726.380.148.869,222576.0,306.418.065.453,923.064,981.613,"3,41",1.388.086,"91,6",0.0,0,6.0
38.0,27,SUBA,11,SUBA,3.0,115172.0,652.901.130.738,134709.0,206.323.735.184,923.064,981.613,"3,41",1.388.086,"91,6",0.0,0,4.0
36.0,71,TIBABUYES,11,SUBA,2.78,193830.0,726.380.148.869,222576.0,306.418.065.453,923.064,981.613,"3,41",1.388.086,"91,6",0.0,0,5.0
33.0,27,SUBA,11,SUBA,2.07,115172.0,652.901.130.738,134709.0,206.323.735.184,923.064,981.613,"3,41",1.388.086,"91,6",0.0,0,13.0
840.0,27,SUBA,11,SUBA,2.57,115172.0,652.901.130.738,134709.0,206.323.735.184,923.064,981.613,"3,41",1.388.086,"91,6",0.0,0,0.0
836.0,27,SUBA,11,SUBA,2.72,115172.0,652.901.130.738,134709.0,206.323.735.184,923.064,981.613,"3,41",1.388.086,"91,6",3.0,1,3.0
