codigo_upz,year,quarter,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo
113,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0
60,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0
90,2015,1,0.0,0,0.0,0,2.0,1,0.0,0,3.0
67,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0
83,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0
101,2015,1,1.0,1,0.0,0,0.0,0,0.0,0,4.0
54,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0
78,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0
100,2015,1,1.0,1,0.0,0,1.0,1,0.0,0,2.0
34,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0
106,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0
91,2015,1,2.0,1,0.0,0,0.0,0,0.0,0,1.0
95,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0
40,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0
117,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0
64,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0
48,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0
98,2015,1,0.0,0,0.0,0,1.0,1,0.0,0,3.0
28,2015,1,0.0,0,0.0,0,1.0,1,0.0,0,1.0
17,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0
24,2015,1,2.0,1,0.0,0,3.0,1,0.0,0,1.0
44,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0
62,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0
69,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0
93,2015,1,2.0,1,0.0,0,0.0,0,0.0,0,2.0
18,2015,1,0.0,0,0.0,0,2.0,1,0.0,0,1.0
15,2015,2,0.0,0,0.0,0,0.0,0,0.0,0,1.0
86,2015,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0
71,2015,2,0.0,0,0.0,0,1.0,1,0.0,0,0.0
29,2015,2,1.0,1,0.0,0,0.0,0,0.0,0,0.0
80,2015,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0
99,2015,2,4.0,1,0.0,0,0.0,0,0.0,0,4.0
3,2015,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0
97,2015,2,5.0,1,0.0,0,0.0,0,0.0,0,1.0
94,2015,2,2.0,1,0.0,0,0.0,0,0.0,0,1.0
76,2015,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0
114,2015,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0
