codigo_upz,AÑO,quarter,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
1.0,2015,1,16,0,1,0,1,6,12,2693,1346,1347,66.83995544002971,59.41329372447085,0.0,3.713330857779428,0.0,3.713330857779428,89.15304606240713,44.54342984409799
1.0,2015,2,15,0,0,0,0,6,9,2693,1346,1347,55.69996286669142,55.69996286669142,0.0,0.0,0.0,0.0,66.86478454680534,44.54342984409799
1.0,2015,3,8,0,0,0,0,3,5,2693,1346,1347,29.706646862235424,29.706646862235424,0.0,0.0,0.0,0.0,37.14710252600297,22.271714922048996
1.0,2015,4,6,0,2,0,0,4,4,2693,1346,1347,29.706646862235424,22.279985146676566,0.0,7.426661715558856,0.0,0.0,29.717682020802375,29.695619896065327
1.0,2016,1,15,0,1,0,0,6,10,2646,1320,1326,60.46863189720333,56.68934240362812,0.0,3.779289493575208,0.0,0.0,75.75757575757576,45.248868778280546
1.0,2016,2,14,0,1,0,1,5,11,2646,1320,1326,60.46863189720333,52.910052910052904,0.0,3.779289493575208,0.0,3.779289493575208,83.33333333333333,37.70739064856712
1.0,2016,3,26,0,1,1,0,15,13,2646,1320,1326,105.82010582010581,98.26152683295541,0.0,3.779289493575208,3.779289493575208,0.0,98.48484848484847,113.12217194570135
1.0,2016,4,15,0,1,0,0,6,10,2646,1320,1326,60.46863189720333,56.68934240362812,0.0,3.779289493575208,0.0,0.0,75.75757575757576,45.248868778280546
1.0,2017,1,38,0,0,0,0,13,25,2600,1293,1307,146.15384615384616,146.15384615384616,0.0,0.0,0.0,0.0,193.34880123743233,99.46442234123947
1.0,2017,2,23,0,1,0,1,14,11,2600,1293,1307,96.15384615384616,88.46153846153845,0.0,3.8461538461538463,0.0,3.8461538461538463,85.07347254447022,107.11553175210406
1.0,2017,3,30,1,1,0,0,13,19,2600,1293,1307,123.07692307692308,115.38461538461539,3.8461538461538463,3.8461538461538463,0.0,0.0,146.94508894044858,99.46442234123947
1.0,2017,4,39,1,0,0,0,15,25,2600,1293,1307,153.84615384615387,150.0,3.8461538461538463,0.0,0.0,0.0,193.34880123743233,114.76664116296864
1.0,2018,1,196,0,0,1,2,68,131,2567,1279,1288,775.2239968835216,763.5372029606546,0.0,0.0,3.8955979742890534,7.791195948578107,1024.2376856919468,527.9503105590062
1.0,2018,2,59,0,0,1,1,24,37,2567,1279,1288,237.63147643163225,229.84028048305416,0.0,0.0,3.8955979742890534,3.8955979742890534,289.28850664581705,186.33540372670808
1.0,2018,3,49,0,0,0,0,23,26,2567,1279,1288,190.88430074016364,190.88430074016364,0.0,0.0,0.0,0.0,203.28381548084442,178.57142857142856
1.0,2018,4,56,0,0,1,1,25,33,2567,1279,1288,225.9446825087651,218.153486560187,0.0,0.0,3.8955979742890534,3.8955979742890534,258.0140734949179,194.09937888198758
1.0,2019,1,28,0,0,0,0,9,19,2602,1291,1311,107.60953112990008,107.60953112990008,0.0,0.0,0.0,0.0,147.1727343144849,68.64988558352402
2.0,2015,1,12,0,0,0,1,4,9,2791,1390,1401,46.57828735220351,42.99534217126478,0.0,0.0,0.0,3.582945180938731,64.74820143884892,28.551034975017846
2.0,2015,2,5,0,0,1,0,3,3,2791,1390,1401,21.49767108563239,17.914725904693658,0.0,0.0,3.582945180938731,0.0,21.58273381294964,21.413276231263385
2.0,2015,3,6,0,0,1,0,5,2,2791,1390,1401,25.080616266571123,21.49767108563239,0.0,0.0,3.582945180938731,0.0,14.388489208633095,35.6887937187723
2.0,2015,4,5,0,1,0,0,1,5,2791,1390,1401,21.49767108563239,17.914725904693658,0.0,3.582945180938731,0.0,0.0,35.97122302158274,7.137758743754461
2.0,2016,1,16,0,0,0,0,6,10,3173,1568,1605,50.42546485975417,50.42546485975417,0.0,0.0,0.0,0.0,63.775510204081634,37.38317757009346
2.0,2016,2,10,0,2,0,0,5,7,3173,1568,1605,37.81909864481563,31.51591553734636,0.0,6.3031831074692715,0.0,0.0,44.64285714285714,31.15264797507788
2.0,2016,3,8,0,1,0,0,3,6,3173,1568,1605,28.364323983611726,25.212732429877086,0.0,3.1515915537346357,0.0,0.0,38.265306122448976,18.69158878504673
2.0,2016,4,11,1,0,0,0,2,10,3173,1568,1605,37.81909864481563,34.667507091081,3.1515915537346357,0.0,0.0,0.0,63.775510204081634,12.461059190031154
2.0,2017,1,13,0,0,0,0,4,9,3598,1764,1834,36.13118399110617,36.13118399110617,0.0,0.0,0.0,0.0,51.0204081632653,21.810250817884405
2.0,2017,2,17,1,0,0,0,8,10,3598,1764,1834,50.02779321845469,47.24847137298499,2.7793218454697053,0.0,0.0,0.0,56.68934240362812,43.62050163576881
2.0,2017,3,22,0,0,1,0,10,13,3598,1764,1834,63.924402445803224,61.14508060033352,0.0,0.0,2.7793218454697053,0.0,73.69614512471655,54.525627044711015
2.0,2017,4,29,0,3,1,0,19,14,3598,1764,1834,91.71762090050028,80.60033351862147,0.0,8.337965536409115,2.7793218454697053,0.0,79.36507936507937,103.59869138495092
2.0,2018,1,58,0,0,0,0,27,31,4077,1982,2095,142.26146676477802,142.26146676477802,0.0,0.0,0.0,0.0,156.4076690211907,128.8782816229117
2.0,2018,2,40,0,3,1,0,18,26,4077,1982,2095,107.92249202845228,98.11135638950209,0.0,7.358351729212656,2.452783909737552,0.0,131.18062563067608,85.91885441527447
2.0,2018,3,36,0,1,2,2,16,25,4077,1982,2095,100.56414029923964,88.30022075055187,0.0,2.452783909737552,4.905567819475104,4.905567819475104,126.13521695257316,76.37231503579953
2.0,2018,4,36,0,2,0,0,17,21,4077,1982,2095,93.20578857002697,88.30022075055187,0.0,4.905567819475104,0.0,0.0,105.95358224016145,81.14558472553698
2.0,2019,1,20,0,2,0,1,9,14,4483,2177,2306,51.30492973455275,44.61298237787196,0.0,4.461298237787196,0.0,2.230649118893598,64.30868167202573,39.028620988725066
3.0,2015,1,1,0,0,1,1,0,3,1886,911,975,15.906680805938494,5.302226935312832,0.0,0.0,5.302226935312832,5.302226935312832,32.93084522502744,0.0
3.0,2015,2,0,0,1,0,0,1,0,1886,911,975,5.302226935312832,0.0,0.0,5.302226935312832,0.0,0.0,0.0,10.256410256410257
3.0,2015,3,1,0,0,0,0,0,1,1886,911,975,5.302226935312832,5.302226935312832,0.0,0.0,0.0,0.0,10.976948408342482,0.0
3.0,2015,4,6,0,0,0,0,4,2,1886,911,975,31.81336161187699,31.81336161187699,0.0,0.0,0.0,0.0,21.953896816684964,41.02564102564103
3.0,2016,1,4,0,0,0,0,2,2,1941,937,1004,20.607934054611025,20.607934054611025,0.0,0.0,0.0,0.0,21.344717182497334,19.9203187250996
3.0,2016,2,3,0,0,0,0,1,2,1941,937,1004,15.455950540958268,15.455950540958268,0.0,0.0,0.0,0.0,21.344717182497334,9.9601593625498
3.0,2016,3,5,0,0,0,0,1,4,1941,937,1004,25.75991756826378,25.75991756826378,0.0,0.0,0.0,0.0,42.68943436499467,9.9601593625498
3.0,2016,4,6,0,0,0,0,3,3,1941,937,1004,30.911901081916536,30.911901081916536,0.0,0.0,0.0,0.0,32.017075773746,29.8804780876494
3.0,2017,1,8,0,0,0,0,3,5,1996,964,1032,40.080160320641276,40.080160320641276,0.0,0.0,0.0,0.0,51.86721991701245,29.069767441860463
3.0,2017,2,5,0,0,0,0,3,2,1996,964,1032,25.050100200400802,25.050100200400802,0.0,0.0,0.0,0.0,20.74688796680498,29.069767441860463
3.0,2017,3,7,0,0,0,1,1,7,1996,964,1032,40.080160320641276,35.07014028056112,0.0,0.0,0.0,5.0100200400801596,72.61410788381743,9.689922480620154
3.0,2017,4,9,0,0,0,0,5,4,1996,964,1032,45.09018036072145,45.09018036072145,0.0,0.0,0.0,0.0,41.49377593360996,48.44961240310077
3.0,2018,1,14,0,0,0,0,8,6,2048,988,1060,68.359375,68.359375,0.0,0.0,0.0,0.0,60.72874493927126,75.47169811320755
3.0,2018,2,24,0,0,1,0,10,15,2048,988,1060,122.0703125,117.1875,0.0,0.0,4.8828125,0.0,151.82186234817814,94.33962264150944
3.0,2018,3,15,0,0,0,0,5,10,2048,988,1060,73.2421875,73.2421875,0.0,0.0,0.0,0.0,101.21457489878543,47.16981132075472
3.0,2018,4,13,0,0,1,0,5,9,2048,988,1060,68.359375,63.4765625,0.0,0.0,4.8828125,0.0,91.09311740890688,47.16981132075472
3.0,2019,1,8,0,0,0,0,3,5,2323,1124,1199,34.438226431338784,34.438226431338784,0.0,0.0,0.0,0.0,44.48398576512456,25.0208507089241
9.0,2015,1,67,4,9,4,2,32,54,114369,54372,59997,7.519520149690912,5.8582308142940835,0.3497451232414378,0.7869265272932351,0.3497451232414378,0.1748725616207189,9.931582432134187,5.333600013334
9.0,2015,2,56,4,4,7,3,19,55,114369,54372,59997,6.470284779966599,4.89643172538013,0.3497451232414378,0.3497451232414378,0.6120539656725162,0.2623088424310783,10.115500625321857,3.166825007917063
9.0,2015,3,31,0,4,6,1,18,24,114369,54372,59997,3.672323794035097,2.7105247051211427,0.0,0.3497451232414378,0.5246176848621567,0.08743628081035945,4.4140366365040835,3.000150007500375
9.0,2015,4,52,2,18,3,0,35,40,114369,54372,59997,6.5577210607769585,4.546686602138691,0.1748725616207189,1.5738530545864702,0.2623088424310783,0.0,7.356727727506805,5.833625014584063
9.0,2016,1,52,3,34,4,3,55,41,115721,54943,60778,8.295814934195176,4.493566422689054,0.25924421669359926,2.938101122527458,0.3456589555914657,0.25924421669359926,7.462279089237938,9.049327059133239
9.0,2016,2,47,3,33,7,5,52,43,115721,54943,60778,8.20940019529731,4.061492728199722,0.25924421669359926,2.851686383629592,0.604903172285065,0.43207369448933214,7.8262927033471055,8.555727401362335
9.0,2016,3,51,5,38,6,2,52,50,115721,54943,60778,8.814303367582376,4.407151683791188,0.43207369448933214,3.283760078118924,0.5184884333871985,0.17282947779573285,9.100340352729193,8.555727401362335
9.0,2016,4,68,2,85,2,1,108,50,115721,54943,60778,13.653528745862895,5.876202245054916,0.17282947779573285,7.345252806318646,0.17282947779573285,0.08641473889786642,9.100340352729193,17.769587679752544
9.0,2017,1,98,2,21,2,5,58,70,117135,55560,61575,10.927562214538781,8.366414820506254,0.17074315960216846,1.7928031758227685,0.17074315960216846,0.42685789900542115,12.598992080633549,9.419407226958993
9.0,2017,2,102,1,31,3,7,78,66,117135,55560,61575,12.293507491356129,8.70790113971059,0.08537157980108423,2.6465189738336106,0.25611473940325263,0.5976010586075895,11.879049676025918,12.66747868453106
9.0,2017,3,139,2,56,5,3,113,92,117135,55560,61575,17.501173859222266,11.866649592350708,0.17074315960216846,4.780808468860716,0.42685789900542115,0.25611473940325263,16.55867530597552,18.351603735282175
9.0,2017,4,158,2,28,7,3,88,109,117135,55560,61575,16.903572800614675,13.488709608571307,0.17074315960216846,2.390404234430358,0.5976010586075895,0.25611473940325263,19.618430525557958,14.291514413317092
