codigo_upz,AÑO,semester,theft_to_people,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,male_index,female_index
1.0,2018,1,11,0,3,8,2567,1279,1288,42.85157771717959,42.85157771717959,62.54886630179828,23.29192546583851
1.0,2018,2,3,0,2,1,2567,1279,1288,11.68679392286716,11.68679392286716,7.818608287724785,15.527950310559005
1.0,2019,1,12,0,3,9,2602,1291,1311,46.11837048424289,46.11837048424289,69.713400464756,22.88329519450801
1.0,2019,2,10,0,3,7,2602,1291,1311,38.43197540353574,38.43197540353574,54.22153369481022,22.88329519450801
1.0,2020,1,1,0,0,1,2574,1275,1299,3.885003885003885,3.885003885003885,7.8431372549019605,0.0
1.0,2020,2,3,0,0,3,2574,1275,1299,11.655011655011656,11.655011655011656,23.52941176470588,0.0
1.0,2021,1,3,0,0,3,2545,1258,1287,11.787819253438114,11.787819253438114,23.84737678855326,0.0
1.0,2021,2,6,0,2,4,2545,1258,1287,23.575638506876228,23.575638506876228,31.796502384737682,15.54001554001554
1.0,2022,2,3,0,1,2,2505,1237,1268,11.976047904191617,11.976047904191617,16.16814874696847,7.886435331230284
2.0,2018,1,6,0,4,2,4077,1982,2095,14.716703458425313,14.716703458425313,10.090817356205854,19.093078758949883
2.0,2018,2,9,0,3,6,4077,1982,2095,22.075055187637968,22.075055187637968,30.272452068617557,14.319809069212411
2.0,2019,1,2,0,0,2,4483,2177,2306,4.461298237787196,4.461298237787196,9.186954524575103,0.0
2.0,2019,2,1,0,1,0,4483,2177,2306,2.230649118893598,2.230649118893598,0.0,4.336513443191674
2.0,2020,2,1,0,0,1,5017,2430,2587,1.9932230416583616,1.9932230416583616,4.11522633744856,0.0
2.0,2021,1,4,0,2,2,5589,2700,2889,7.1569153694757555,7.1569153694757555,7.407407407407407,6.922810661128419
2.0,2021,2,4,0,1,3,5589,2700,2889,7.1569153694757555,7.1569153694757555,11.11111111111111,3.4614053305642094
2.0,2022,1,2,0,0,2,6160,2976,3184,3.2467532467532467,3.2467532467532467,6.720430107526882,0.0
2.0,2022,2,2,0,1,1,6160,2976,3184,3.2467532467532467,3.2467532467532467,3.360215053763441,3.14070351758794
3.0,2018,1,2,0,1,1,2048,988,1060,9.765625,9.765625,10.121457489878543,9.433962264150944
3.0,2018,2,2,0,0,2,2048,988,1060,9.765625,9.765625,20.242914979757085,0.0
3.0,2019,1,2,0,0,2,2323,1124,1199,8.609556607834696,8.609556607834696,17.793594306049823,0.0
3.0,2019,2,1,0,0,1,2323,1124,1199,4.304778303917348,4.304778303917348,8.896797153024911,0.0
3.0,2020,1,1,0,0,1,2367,1149,1218,4.224757076468103,4.224757076468103,8.703220191470844,0.0
3.0,2021,2,1,0,0,1,2417,1178,1239,4.137360364087712,4.137360364087712,8.488964346349745,0.0
3.0,2022,1,1,0,1,0,2446,1200,1246,4.088307440719542,4.088307440719542,0.0,8.025682182985554
3.0,2022,2,1,0,1,0,2446,1200,1246,4.088307440719542,4.088307440719542,0.0,8.025682182985554
9.0,2018,1,12,0,6,6,119080,56578,62502,1.0077258985555928,1.0077258985555928,1.0604828732015978,0.9599692809830086
9.0,2018,2,20,0,7,13,119080,56578,62502,1.6795431642593215,1.6795431642593215,2.2977128919367953,1.1199641611468432
9.0,2019,1,14,0,8,6,122844,58302,64542,1.1396568004949368,1.1396568004949368,1.0291242152927857,1.2395029593133153
9.0,2019,2,23,0,9,14,122844,58302,64542,1.8722933150988244,1.8722933150988244,2.401289835683167,1.3944408292274797
9.0,2020,1,11,0,3,8,125093,59368,65725,0.8793457667495383,0.8793457667495383,1.3475272874275703,0.4564473183720046
9.0,2020,2,13,0,4,9,125093,59368,65725,1.0392268152494544,1.0392268152494544,1.5159681983560165,0.608596424496006
9.0,2021,1,12,0,3,9,127453,60391,67062,0.941523542011565,0.941523542011565,1.4902882879899322,0.4473472309206406
9.0,2021,2,29,0,16,13,127453,60391,67062,2.2753485598612824,2.2753485598612824,2.15263863820768,2.3858518982434167
9.0,2022,1,14,0,7,7,128953,61115,67838,1.0856668708754351,1.0856668708754351,1.1453816575308844,1.031870043338542
9.0,2022,2,15,0,5,10,128953,61115,67838,1.163214504509395,1.163214504509395,1.6362595107584061,0.7370500309561012
10.0,2018,1,29,0,16,13,31194,14327,16867,9.29665961402834,9.29665961402834,9.073776785091088,9.485978537973558
10.0,2018,2,20,0,8,12,31194,14327,16867,6.4114893889850615,6.4114893889850615,8.375793955468696,4.742989268986779
10.0,2019,1,34,0,16,18,32844,15072,17772,10.351966873706004,10.351966873706004,11.942675159235668,9.002925950934053
10.0,2019,2,26,0,12,14,32844,15072,17772,7.916209962245769,7.916209962245769,9.288747346072187,6.75219446320054
10.0,2020,1,13,0,5,8,34511,15833,18678,3.766914896699603,3.766914896699603,5.052737952377944,2.676946139843666
10.0,2020,2,19,0,5,14,34511,15833,18678,5.505491002868651,5.505491002868651,8.842291416661404,2.676946139843666
10.0,2021,1,13,0,4,9,36225,16591,19634,3.588681849551415,3.588681849551415,5.424627810258574,2.037282265457879
10.0,2021,2,16,0,7,9,36225,16591,19634,4.416839199447895,4.416839199447895,5.424627810258574,3.565243964551289
10.0,2022,1,9,0,5,4,37712,17271,20441,2.3865082732286806,2.3865082732286806,2.3160210757917894,2.446064282569346
10.0,2022,2,17,0,6,11,37712,17271,20441,4.507848960543063,4.507848960543063,6.369057958427422,2.9352771390832153
11.0,2018,1,11,0,6,5,68168,32450,35718,1.6136603685013495,1.6136603685013495,1.5408320493066257,1.6798252981689905
11.0,2018,2,15,0,5,10,68168,32450,35718,2.200445957047295,2.200445957047295,3.0816640986132513,1.3998544151408254
11.0,2019,1,11,0,8,3,69583,33095,36488,1.5808458962677665,1.5808458962677665,0.9064813415923856,2.1925016443762333
11.0,2019,2,10,0,5,5,69583,33095,36488,1.4371326329706968,1.4371326329706968,1.5108022359873092,1.3703135277351457
11.0,2020,1,8,0,7,1,69775,33172,36603,1.146542457900394,1.146542457900394,0.30145906185939947,1.9124115509657678
11.0,2020,2,14,0,5,9,69775,33172,36603,2.0064493013256897,2.0064493013256897,2.7131315567345955,1.3660082506898341
11.0,2021,1,19,0,7,12,70017,33225,36792,2.7136266906608393,2.7136266906608393,3.6117381489841986,1.9025875190258752
11.0,2021,2,18,0,5,13,70017,33225,36792,2.5708042332576375,2.5708042332576375,3.912716328066215,1.358991085018482
11.0,2022,1,10,0,2,8,69776,33099,36677,1.4331575326759918,1.4331575326759918,2.416991449892746,0.5453008697548872
11.0,2022,2,10,0,4,6,69776,33099,36677,1.4331575326759918,1.4331575326759918,1.8127435874195594,1.0906017395097745
12.0,2018,1,28,0,13,15,58835,27123,31712,4.759071980963712,4.759071980963712,5.530361685654242,4.099394550958627
12.0,2018,2,21,0,9,12,58835,27123,31712,3.569303985722784,3.569303985722784,4.424289348523393,2.838042381432896
12.0,2019,1,30,0,13,17,60120,27692,32428,4.99001996007984,4.99001996007984,6.138957099523328,4.008881213765881
12.0,2019,2,31,0,14,17,60120,27692,32428,5.156353958749168,5.156353958749168,6.138957099523328,4.317256691747873
12.0,2020,1,12,0,6,6,60535,27886,32649,1.9823242752126868,1.9823242752126868,2.151617299003084,1.8377285674905817
12.0,2020,2,26,0,11,15,60535,27886,32649,4.295035929627488,4.295035929627488,5.37904324750771,3.3691690403993997
12.0,2021,1,17,0,6,11,60994,28059,32935,2.7871593927271534,2.7871593927271534,3.92031077372679,1.8217701533323214
12.0,2021,2,38,0,15,23,60994,28059,32935,6.230120995507755,6.230120995507755,8.197013435974197,4.554425383330803
12.0,2022,1,18,0,10,8,61040,28090,32950,2.9488859764089126,2.9488859764089126,2.8479886080455676,3.0349013657056148
12.0,2022,2,25,0,10,15,61040,28090,32950,4.0956749672346,4.0956749672346,5.33997864008544,3.0349013657056148
13.0,2018,1,55,0,23,32,123293,54733,68560,4.46091830030902,4.46091830030902,5.84656422998922,3.354725787631272
13.0,2018,2,76,0,33,43,123293,54733,68560,6.164178014972464,6.164178014972464,7.856320684048014,4.813302217036172
13.0,2019,1,81,0,31,50,126708,56234,70474,6.392650819206364,6.392650819206364,8.891418003343173,4.398785367653319
