codigo_upz,AÑO,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index_eb,theft_to_people_index_eb,homicide_index_eb,sexual_index_eb,theft_to_vehicle_index_eb,theft_to_motorbike_index_eb,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
1.0,2018,14,0,0,3,4,0,6,15,2567,1279,1288,72.48572120715623,48.25920199187298,0.7028634162186418,2.5054196107581945,7.914771205044469,8.439790565359226,81.80755746007013,54.53837164004675,0.0,0.0,11.68679392286716,15.582391897156214,117.27912431587177,46.58385093167702
2.0,2018,15,0,6,3,2,0,13,13,4077,1982,2095,59.594137843278574,34.2492276888305,0.5393978481340764,12.69978649919181,6.272552144984669,5.21249780415625,63.77238165317636,36.79175864606328,0.0,14.716703458425313,7.358351729212656,4.905567819475104,65.59031281533804,62.05250596658711
3.0,2018,4,0,0,2,0,0,1,5,2048,988,1060,28.97488296243526,17.773167554130577,0.7845872507558147,2.878483304128896,6.792127414652016,4.051495926048707,29.296875,19.53125,0.0,0.0,9.765625,0.0,50.607287449392715,9.433962264150944
9.0,2018,32,10,82,49,25,3,96,99,119080,56578,62502,16.67717005733848,2.708977624234725,0.8518998275084585,6.887240121557658,4.135152949348859,2.2603934235057292,16.62747732616728,2.6872690628149143,0.8397715821296607,6.886126973463218,4.1148807524353375,2.099428955324152,17.497967407826362,15.359508495728138
10.0,2018,49,7,23,15,2,1,45,50,31194,14327,16867,30.724021172714856,15.621053446144266,2.1869353336273702,7.355866639929688,4.816134768272444,1.4192622468373473,30.775149067128293,15.7081490030134,2.2440212861447715,7.373212797332821,4.808617041738796,0.6411489388985061,34.899141481119564,26.67931463805063
11.0,2018,26,8,38,19,14,1,52,52,68168,32450,35718,15.499169817830294,3.8451841055756897,1.1830236212915257,5.603479018958416,2.8815039190374505,2.3288384116397958,15.403121699331065,3.8141063255486443,1.1735711770918906,5.57446309118648,2.78723154559324,2.0537495599108087,16.024653312788907,14.558485917464584
12.0,2018,49,3,34,25,11,0,52,70,58835,27123,31712,20.79906534680711,8.333062162255523,0.5469676074170999,5.807506893703655,4.282202372354865,2.201497227233428,20.735956488484746,8.328375966686496,0.5099005693889691,5.77887311974165,4.249171411574743,1.869635421092887,25.808354533053127,16.39757820383451
13.0,2018,131,1,23,23,7,0,84,101,123293,54733,68560,15.059916798557278,10.619717044568011,0.10740803354470595,1.9244126472816667,1.9419863003935498,0.7953337423231921,15.00490701013034,10.625096315281485,0.081107605460164,1.8654749255837721,1.8654749255837721,0.567753238221148,18.453218350903477,12.252042007001165
14.0,2018,64,2,19,6,6,0,40,57,39868,18825,21043,24.37544774507078,15.981119992295605,0.5558205484944959,4.842768090816927,1.756472835992328,2.0220296154700885,24.33028995685763,16.052974816895755,0.5016554630279924,4.765726898765927,1.5049663890839773,1.5049663890839773,30.278884462151392,19.008696478638978
15.0,2018,45,1,8,6,2,0,29,33,24440,10977,13463,25.419075921811366,18.256987825501003,0.502766502508077,3.4791983276734744,2.73687586392813,1.733454780176065,25.368248772504092,18.412438625204583,0.4091653027823241,3.273322422258593,2.454991816693944,0.8183306055646482,30.06285870456409,21.54051845799599
16.0,2018,151,2,15,9,7,1,83,100,67760,30437,37323,27.159261504912884,22.204543243438007,0.33490420445080915,2.3126984711386793,1.4888375835980052,1.3935712101777962,27.15466351829988,22.28453364817001,0.29515938606847697,2.2136953955135774,1.3282172373081464,1.0330578512396693,32.85474915399021,22.238298100367068
17.0,2018,46,2,19,14,5,0,34,52,47245,21911,25334,18.309753422140957,9.730173248738613,0.4732543985907789,4.108929408896595,3.085480480436948,1.5546755130731698,18.20298444279818,9.736480050799027,0.42332521959995767,4.021589586199598,2.963276537199704,1.0583130489998942,23.732371868011498,13.420699455277491
