codigo_upz,AÑO,semester,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
2.0,2018,1,98,0,3,1,0,15,12,8,13,8,32,14,45,57,4077,1982,2095,250.18395879323035,240.3728231542801,0.0,7.358351729212656,2.452783909737552,0.0,287.5882946518668,214.79713603818615
2.0,2018,2,72,0,3,2,2,9,7,7,21,10,16,9,33,46,4077,1982,2095,193.76992886926664,176.60044150110375,0.0,7.358351729212656,4.905567819475104,4.905567819475104,232.0887991927346,157.5178997613365
2.0,2019,1,20,0,2,0,1,7,4,3,2,0,4,3,9,14,4483,2177,2306,51.30492973455275,44.61298237787196,0.0,4.461298237787196,0.0,2.230649118893598,64.30868167202573,39.028620988725066
3.0,2015,1,1,0,1,1,1,1,0,0,1,1,1,0,1,3,1886,911,975,21.208907741251327,5.302226935312832,0.0,5.302226935312832,5.302226935312832,5.302226935312832,32.93084522502744,10.256410256410257
3.0,2015,2,7,0,0,0,0,0,0,0,0,1,2,4,4,3,1886,911,975,37.11558854718982,37.11558854718982,0.0,0.0,0.0,0.0,32.93084522502744,41.02564102564103
3.0,2016,1,7,0,0,0,0,1,4,1,0,0,0,1,3,4,1941,937,1004,36.06388459556929,36.06388459556929,0.0,0.0,0.0,0.0,42.68943436499467,29.8804780876494
3.0,2016,2,11,0,0,0,0,1,2,2,4,0,1,1,4,7,1941,937,1004,56.67181865018032,56.67181865018032,0.0,0.0,0.0,0.0,74.70651013874065,39.8406374501992
3.0,2017,1,13,0,0,0,0,2,3,1,1,1,3,2,6,7,1996,964,1032,65.13026052104208,65.13026052104208,0.0,0.0,0.0,0.0,72.61410788381743,58.13953488372093
3.0,2017,2,16,0,0,0,1,2,1,2,2,4,3,3,6,11,1996,964,1032,85.17034068136272,80.16032064128255,0.0,0.0,0.0,5.0100200400801596,114.10788381742738,58.13953488372093
3.0,2018,1,38,0,0,1,0,7,2,1,3,5,17,4,18,21,2048,988,1060,190.4296875,185.546875,0.0,0.0,4.8828125,0.0,212.5506072874494,169.81132075471697
3.0,2018,2,28,0,0,1,0,8,3,2,2,4,8,2,10,19,2048,988,1060,141.6015625,136.71875,0.0,0.0,4.8828125,0.0,192.30769230769232,94.33962264150944
3.0,2019,1,8,0,0,0,0,2,0,2,0,1,1,2,3,5,2323,1124,1199,34.438226431338784,34.438226431338784,0.0,0.0,0.0,0.0,44.48398576512456,25.0208507089241
9.0,2015,1,123,8,13,11,5,24,27,20,22,21,28,18,51,109,114369,54372,59997,13.989804929657513,10.754662539674213,0.6994902464828756,1.1366716505346728,0.9617990889139539,0.4371814040517973,20.047083057456042,8.500425021251063
9.0,2015,2,83,2,22,9,1,17,7,12,16,20,27,18,53,64,114369,54372,59997,10.230044854812055,7.257211307259834,0.1748725616207189,1.9235981778279079,0.7869265272932351,0.08743628081035945,11.770764364010889,8.833775022084437
9.0,2016,1,99,6,67,11,8,29,26,27,25,34,23,27,107,84,115721,54943,60778,16.505215129492488,8.555059150888775,0.5184884333871985,5.78978750615705,0.9505621278765306,0.6913179111829314,15.288571792585044,17.605054460495573
9.0,2016,2,119,7,123,8,3,27,50,35,40,36,34,38,160,100,115721,54943,60778,22.46783211344527,10.283353928846106,0.604903172285065,10.62901288443757,0.6913179111829314,0.25924421669359926,18.200680705458385,26.325315081114876
9.0,2017,1,200,3,52,5,12,18,46,52,34,42,32,48,136,136,117135,55560,61575,23.22106970589491,17.074315960216843,0.25611473940325263,4.4393221496563795,0.42685789900542115,1.0244589576130105,24.478041756659465,22.08688591149005
