ZAT,AÑO,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_FEMENINO,genero_MASCULINO
65.0,2017,49,0,0,0,0,17,32
65.0,2018,103,0,0,0,1,48,56
65.0,2019,13,0,0,0,0,7,6
66.0,2015,16,0,1,3,0,6,14
66.0,2016,17,1,3,2,0,9,14
66.0,2017,81,0,0,4,1,35,51
66.0,2018,99,1,10,5,0,50,65
66.0,2019,33,0,0,3,0,15,21
67.0,2015,56,0,6,2,1,33,32
67.0,2016,91,2,4,2,0,39,60
67.0,2017,198,2,3,3,3,88,121
67.0,2018,353,0,3,5,4,156,209
67.0,2019,44,0,0,1,0,22,23
68.0,2015,31,0,3,0,2,14,22
68.0,2016,55,1,0,8,0,22,42
68.0,2017,160,0,1,1,4,66,100
68.0,2018,213,0,3,7,1,115,109
68.0,2019,39,0,0,1,0,19,21
69.0,2015,102,0,4,1,2,40,69
69.0,2016,141,0,1,3,1,53,93
69.0,2017,304,0,5,2,1,122,190
69.0,2018,597,0,7,3,2,291,318
69.0,2019,113,0,0,0,2,49,66
70.0,2015,26,0,2,2,0,15,15
70.0,2016,26,0,3,1,1,14,17
70.0,2017,55,0,1,0,0,20,36
70.0,2018,75,0,2,2,1,35,45
70.0,2019,12,0,0,0,0,6,6
71.0,2015,45,0,2,0,0,19,28
71.0,2016,60,0,1,1,0,26,36
71.0,2017,134,0,2,1,0,58,79
71.0,2018,163,1,1,0,0,83,82
71.0,2019,32,0,0,0,0,15,17
72.0,2015,49,0,3,1,0,22,31
72.0,2016,52,0,1,3,0,19,37
72.0,2017,101,0,0,4,1,39,67
72.0,2018,134,0,3,3,2,61,81
72.0,2019,26,0,1,0,0,13,14
73.0,2015,31,0,1,0,0,10,22
73.0,2016,39,1,1,0,0,15,26
73.0,2017,57,0,3,1,0,27,34
73.0,2018,106,0,2,1,0,49,60
73.0,2019,24,0,2,0,0,6,20
74.0,2015,10,0,1,1,0,3,9
74.0,2016,17,1,1,1,0,7,13
74.0,2017,23,0,0,1,0,10,14
74.0,2018,35,0,0,1,0,12,24
74.0,2019,8,0,1,0,0,4,5
75.0,2015,33,0,9,0,1,20,23
75.0,2016,51,0,2,1,0,23,31
75.0,2017,84,0,5,0,1,33,57
75.0,2018,181,0,2,2,1,81,105
75.0,2019,38,0,0,0,0,17,21
76.0,2015,38,0,9,0,1,22,26
76.0,2016,34,0,3,0,0,18,19
76.0,2017,74,0,0,1,2,33,44
76.0,2018,111,0,1,1,0,43,70
76.0,2019,30,0,0,0,0,11,19
77.0,2015,27,0,2,1,0,14,16
77.0,2016,33,0,4,0,0,15,22
77.0,2017,70,0,0,3,0,28,45
77.0,2018,146,0,1,2,0,67,82
77.0,2019,20,0,0,0,1,8,13
78.0,2015,9,0,2,0,0,5,6
78.0,2016,15,0,0,0,0,2,13
78.0,2017,28,0,0,0,0,9,19
78.0,2018,40,0,2,1,0,22,21
78.0,2019,8,0,0,0,0,4,4
79.0,2015,12,0,1,1,0,6,8
79.0,2016,20,0,2,0,0,11,11
79.0,2017,32,0,0,2,1,14,21
79.0,2018,30,0,1,1,0,11,21
79.0,2019,9,0,0,0,0,5,4
80.0,2015,3,0,0,0,0,2,1
80.0,2016,11,0,0,0,0,3,8
80.0,2017,16,0,0,1,1,8,10
80.0,2018,18,0,0,1,0,14,5
80.0,2019,3,0,0,0,0,1,2
81.0,2015,13,0,0,0,0,7,6
81.0,2016,18,0,0,0,0,7,11
81.0,2017,24,0,0,0,0,10,14
81.0,2018,38,0,0,0,0,18,20
81.0,2019,6,0,0,0,0,2,4
82.0,2015,15,1,0,2,0,8,10
82.0,2016,34,0,4,0,0,18,20
82.0,2017,59,0,1,0,0,26,34
82.0,2018,103,0,0,0,0,57,46
82.0,2019,17,0,0,0,0,9,8
83.0,2015,14,0,2,0,1,8,9
83.0,2016,22,0,5,0,0,23,4
83.0,2017,23,0,2,3,0,16,12
83.0,2018,51,0,0,1,0,26,26
83.0,2019,8,0,0,0,0,5,3
85.0,2015,4,0,0,0,0,2,2
85.0,2016,5,0,0,0,0,3,2
85.0,2017,16,0,0,1,0,10,7
85.0,2018,19,0,0,0,0,10,9
85.0,2019,10,0,0,0,0,8,2
86.0,2015,47,0,5,1,2,24,31
86.0,2016,61,0,1,0,0,24,38
86.0,2017,141,0,3,0,3,71,76
86.0,2018,149,0,1,1,1,70,82
86.0,2019,34,0,0,0,0,19,15
87.0,2015,78,0,6,1,1,34,52
87.0,2016,83,0,2,0,0,39,46
87.0,2017,160,0,2,2,0,80,84
87.0,2018,252,0,6,2,1,129,132
87.0,2019,34,0,0,1,0,15,20
88.0,2015,64,0,2,1,0,31,36
88.0,2016,82,1,2,1,1,28,59
88.0,2017,211,0,0,3,0,80,134
88.0,2018,343,1,3,4,1,177,175
88.0,2019,58,0,0,0,0,31,27
89.0,2015,90,2,15,4,3,49,65
