codigo_upz,AÑO,quarter,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
1.0,2018,1,8,0,0,1,2,0,3,8,2567,1279,1288,42.85157771717959,31.164783794312427,0.0,0.0,3.8955979742890534,7.791195948578107,62.54886630179828,23.29192546583851
1.0,2018,2,3,0,0,1,1,0,0,5,2567,1279,1288,19.477989871445267,11.68679392286716,0.0,0.0,3.8955979742890534,3.8955979742890534,39.09304143862392,0.0
1.0,2018,3,1,0,0,0,0,0,1,0,2567,1279,1288,3.8955979742890534,3.8955979742890534,0.0,0.0,0.0,0.0,0.0,7.763975155279502
1.0,2018,4,2,0,0,1,1,0,2,2,2567,1279,1288,15.582391897156214,7.791195948578107,0.0,0.0,3.8955979742890534,3.8955979742890534,15.63721657544957,15.527950310559005
1.0,2019,1,5,0,0,0,0,0,2,3,2602,1291,1311,19.21598770176787,19.21598770176787,0.0,0.0,0.0,0.0,23.237800154918666,15.255530129672007
1.0,2019,2,7,0,0,3,1,0,1,10,2602,1291,1311,42.27517294388932,26.90238278247502,0.0,0.0,11.529592621060722,3.8431975403535743,77.45933384972889,7.627765064836003
1.0,2019,3,6,0,1,1,1,0,2,7,2602,1291,1311,34.588777863182166,23.059185242121444,0.0,3.8431975403535743,3.8431975403535743,3.8431975403535743,54.22153369481022,15.255530129672007
1.0,2019,4,4,2,2,0,1,0,4,5,2602,1291,1311,34.588777863182166,15.372790161414297,7.686395080707149,7.686395080707149,0.0,3.8431975403535743,38.729666924864446,30.511060259344013
1.0,2020,1,1,1,0,0,1,0,0,3,2574,1275,1299,11.655011655011656,3.885003885003885,3.885003885003885,0.0,0.0,3.885003885003885,23.52941176470588,0.0
1.0,2020,2,0,0,0,0,1,0,0,1,2574,1275,1299,3.885003885003885,0.0,0.0,0.0,0.0,3.885003885003885,7.8431372549019605,0.0
1.0,2020,3,1,0,0,0,0,0,0,1,2574,1275,1299,3.885003885003885,3.885003885003885,0.0,0.0,0.0,0.0,7.8431372549019605,0.0
1.0,2020,4,2,0,3,1,1,0,3,4,2574,1275,1299,27.195027195027194,7.77000777000777,0.0,11.655011655011656,3.885003885003885,3.885003885003885,31.372549019607842,23.094688221709006
1.0,2021,1,1,1,0,0,1,0,0,3,2545,1258,1287,11.787819253438114,3.9292730844793713,3.9292730844793713,0.0,0.0,3.9292730844793713,23.84737678855326,0.0
1.0,2021,2,2,2,2,0,1,0,2,5,2545,1258,1287,27.5049115913556,7.858546168958743,7.858546168958743,7.858546168958743,0.0,3.9292730844793713,39.745627980922094,15.54001554001554
1.0,2021,3,2,0,3,1,0,0,4,2,2545,1258,1287,23.575638506876228,7.858546168958743,0.0,11.787819253438114,3.9292730844793713,0.0,15.898251192368841,31.08003108003108
1.0,2021,4,4,0,1,0,0,0,1,4,2545,1258,1287,19.646365422396855,15.717092337917485,0.0,3.9292730844793713,0.0,0.0,31.796502384737682,7.77000777000777
1.0,2022,1,0,1,0,0,0,0,0,1,2505,1237,1268,3.992015968063872,0.0,3.992015968063872,0.0,0.0,0.0,8.084074373484235,0.0
1.0,2022,3,1,5,0,0,1,0,1,6,2505,1237,1268,27.944111776447105,3.992015968063872,19.96007984031936,0.0,0.0,3.992015968063872,48.50444624090542,7.886435331230284
1.0,2022,4,2,1,0,0,1,0,1,3,2505,1237,1268,15.968063872255488,7.984031936127744,3.992015968063872,0.0,0.0,3.992015968063872,24.25222312045271,7.886435331230284
1.0,2023,1,0,0,0,1,0,0,0,1,2449,1210,1239,4.083299305839118,0.0,0.0,0.0,4.083299305839118,0.0,8.264462809917354,0.0
1.0,2023,3,0,0,0,1,0,0,0,1,2449,1210,1239,4.083299305839118,0.0,0.0,0.0,4.083299305839118,0.0,8.264462809917354,0.0
2.0,2018,1,4,0,0,0,0,0,3,1,4077,1982,2095,9.811135638950208,9.811135638950208,0.0,0.0,0.0,0.0,5.045408678102927,14.319809069212411
2.0,2018,2,2,0,3,1,0,0,3,3,4077,1982,2095,14.716703458425313,4.905567819475104,0.0,7.358351729212656,2.452783909737552,0.0,15.136226034308779,14.319809069212411
