codigo_localidad,AÑO,quarter,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index
1.0,2019,1,1616,4,16,16,14,132,285,223,290,277,190,269,734,931,550190,0.003028044857231138,0.0029371671604354857,7.270215743652193e-06,2.908086297460877e-05,2.908086297460877e-05,2.5445755102782674e-05
2.0,2015,1,984,3,24,4,13,96,145,152,170,127,138,200,431,597,151241,0.006797098670334102,0.006506172268101904,1.9835891061286293e-05,0.00015868712849029034,2.6447854748381722e-05,8.59555279322406e-05
2.0,2015,2,928,8,53,4,4,75,146,107,196,203,119,151,429,568,151241,0.0065921277960341446,0.00613590230162456,5.2895709496763445e-05,0.00035043407541605784,2.6447854748381722e-05,2.6447854748381722e-05
2.0,2015,3,747,3,40,4,20,73,131,90,146,124,97,153,358,456,151241,0.00538213844129568,0.004939136874260287,1.9835891061286293e-05,0.00026447854748381724,2.6447854748381722e-05,0.00013223927374190862
2.0,2015,4,682,4,37,5,16,67,131,87,108,111,100,140,283,461,151241,0.004919300983199,0.004509359234599083,2.6447854748381722e-05,0.0002446426564225309,3.3059818435477156e-05,0.00010579141899352689
2.0,2016,1,953,5,27,3,17,87,177,112,185,146,131,167,378,626,152414,0.006593882451743278,0.006252706444289895,3.280538533205611e-05,0.00017714908079310298,1.9683231199233665e-05,0.00011153831012899078
2.0,2016,2,780,4,25,4,13,61,124,129,120,140,100,152,350,475,152414,0.0054194496568556695,0.005117640111800753,2.6244308265644888e-05,0.00016402692666028055,2.6244308265644888e-05,8.529400186334589e-05
2.0,2016,3,813,8,18,6,31,88,139,125,115,136,126,147,340,536,152414,0.00574750351017623,0.0053341556549923235,5.2488616531289776e-05,0.000118099387195402,3.936646239846733e-05,0.00020339338905874787
2.0,2016,4,729,15,21,13,18,68,123,83,109,135,123,155,346,450,152414,0.005222617344863333,0.0047830251814137805,9.841615599616834e-05,0.00013778261839463566,8.529400186334589e-05,0.000118099387195402
2.0,2017,1,1297,2,29,10,21,124,214,139,202,201,215,264,586,773,153665,0.008843913708391632,0.008440438616470895,1.3015325545830215e-05,0.00018872222041453813,6.507662772915107e-05,0.00013666091823121725
2.0,2017,2,1363,6,26,14,27,138,208,158,221,196,218,297,585,851,153665,0.009345003741906095,0.008869944359483291,3.904597663749064e-05,0.00016919923209579278,9.110727882081151e-05,0.0001757068948687079
2.0,2017,3,1965,2,27,19,17,183,299,235,288,335,308,382,842,1188,153665,0.013210555429017667,0.012787557348778187,1.3015325545830215e-05,0.0001757068948687079,0.00012364559268538704,0.00011063026713955683
2.0,2017,4,2446,11,38,24,11,226,399,263,308,373,428,533,1208,1322,153665,0.016464386815475223,0.01591774314255035,7.158429050206618e-05,0.0002472911853707741,0.00015618390654996257,7.158429050206618e-05
2.0,2018,1,2171,5,45,18,12,187,343,256,304,386,337,438,1042,1209,155619,0.014464814707715639,0.013950738663016727,3.212975279368201e-05,0.00028916777514313805,0.00011566711005725522,7.711140670483681e-05
2.0,2018,2,2623,6,53,15,7,228,448,283,348,388,393,616,1351,1352,155619,0.017375770310823227,0.01685526831556558,3.855570335241841e-05,0.00034057537961302924,9.638925838104601e-05,4.4981653911154806e-05
2.0,2018,3,2597,4,74,12,10,268,404,319,360,372,410,564,1286,1411,155619,0.017330788656912073,0.016688193601038435,2.5703802234945603e-05,0.00047552034134649366,7.711140670483681e-05,6.425950558736402e-05
2.0,2018,4,2850,5,45,14,7,224,493,327,379,419,425,654,1312,1608,155619,0.01877020158206903,0.018313959092398743,3.212975279368201e-05,0.00028916777514313805,8.996330782230961e-05,4.4981653911154806e-05
2.0,2019,1,1776,2,21,5,7,147,303,200,301,275,234,351,828,983,162232,0.011163025790226343,0.01094728536910104,1.2328024064302974e-05,0.00012944425267518122,3.082006016075743e-05,4.3148084225060405e-05
3.0,2015,1,482,16,16,4,8,49,84,78,82,75,72,86,188,338,101369,0.0051889630952263515,0.004754905345815782,0.00015783918160384338,0.00015783918160384338,3.9459795400960844e-05,7.891959080192169e-05
3.0,2015,2,425,9,24,2,13,39,77,70,73,82,55,77,204,269,101369,0.00466612080616362,0.00419260326135209,8.87845396521619e-05,0.00023675877240576508,1.9729897700480422e-05,0.00012824433505312274
3.0,2015,3,422,13,26,3,6,45,86,54,77,81,59,68,203,267,101369,0.004636525959612899,0.00416300841480137,0.00012824433505312274,0.0002564886701062455,2.9594846550720635e-05,5.918969310144127e-05
3.0,2015,4,343,20,25,1,14,33,74,45,65,65,56,65,155,248,101369,0.003975574386646806,0.0033836774556323924,0.00019729897700480423,0.0002466237212560053,9.864948850240211e-06,0.00013810928390336295
3.0,2016,1,611,13,16,4,8,60,114,94,104,97,83,100,245,406,101667,0.006413093727561549,0.006009816361257832,0.00012786843321825175,0.00015737653319169444,3.934413329792361e-05,7.868826659584722e-05
3.0,2016,2,479,21,23,3,5,46,89,85,84,73,69,85,214,317,101667,0.00522293369529936,0.0047114599624263525,0.00020655669981409897,0.00022622876646306077,2.950809997344271e-05,4.918016662240452e-05
3.0,2016,3,457,15,32,6,11,45,92,60,93,83,70,78,196,325,101667,0.005124573362054551,0.004495067229287773,0.00014754049986721355,0.0003147530663833889,5.901619994688542e-05,0.00010819636656928994
3.0,2016,4,502,9,16,3,4,33,80,65,86,102,62,106,209,325,101667,0.0052524417952728025,0.004937688728889413,8.852429992032812e-05,0.00015737653319169444,2.950809997344271e-05,3.934413329792361e-05
3.0,2017,1,955,19,23,28,18,103,146,139,142,172,124,217,413,630,102114,0.010214074465793133,0.00935229253579333,0.00018606655306813952,0.00022523845897722155,0.00027420334136357406,0.00017627357659086903
