codigo_upz,AÑO,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index_eb,theft_to_people_index_eb,homicide_index_eb,sexual_index_eb,theft_to_vehicle_index_eb,theft_to_motorbike_index_eb,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
1.0,2015,45,0,3,0,1,19,30,2693,1346,1347,176.00078486415902,162.0757331504065,1.1593546542537982,6.588240468772656,1.9596239846638974,4.223831013906783,181.95321203119198,167.09988860007428,0.0,11.139992573338283,0.0,3.713330857779428,222.88261515601783,141.05419450631032
2.0,2015,28,0,1,2,1,13,19,2791,1390,1401,111.8627492537108,97.97055503683856,1.1438610870848624,3.9581317656135986,4.697654422007212,4.171900170151927,114.6542457900394,100.3224650662845,0.0,3.582945180938731,7.165890361877462,3.582945180938731,136.69064748201438,92.79086366880799
3.0,2015,8,0,1,1,1,5,6,1886,911,975,57.870856297288306,42.15328662590327,1.3049016979138157,4.473934163947757,3.789410431257022,4.706237044555107,58.324496288441146,42.417815482502654,0.0,5.302226935312832,5.302226935312832,5.302226935312832,65.86169045005488,51.282051282051285
9.0,2015,206,10,35,20,6,104,173,114369,54372,59997,24.250130442933607,18.03043100608321,0.9115049891529756,3.1070695815815195,1.801029670946526,0.696399471899853,24.21984978446957,18.011873846934048,0.8743628081035946,3.0602698283625807,1.7487256162071891,0.5246176848621567,31.81784742146693,17.3342000433355
10.0,2015,167,4,14,7,2,98,96,26931,12379,14552,71.93708235455793,61.912073329452205,1.5374407165490258,5.035061686137776,2.6768535444449735,1.3470127703909174,72.0359437079945,62.01032267646949,1.4852771898555568,5.1984701644944495,2.5992350822472248,0.7426385949277784,77.55069068583892,67.3446948873007
11.0,2015,166,13,26,3,6,89,125,68665,32719,35946,31.203233252135046,24.196495155654638,1.8903631669631635,3.8124802679788203,0.6016358658446701,1.1274142404973144,31.16580499526688,24.175344061749072,1.8932498361610717,3.7864996723221434,0.4369038083448627,0.8738076166897254,38.20410159234696,24.7593612641184
12.0,2015,225,4,16,8,7,100,160,58543,26971,31572,44.42668464842102,38.43167416531566,0.767028491824293,2.846939344465749,1.4921419857942797,1.4634266903224928,44.41179987359718,38.43328835215141,0.6832584595938028,2.7330338383752113,1.3665169191876056,1.195702304289155,59.32297653034741,31.673634866337263
13.0,2015,487,1,39,10,5,227,315,119423,52795,66628,45.39115169805136,40.776489500939334,0.14833291142920402,3.3022538066880904,0.9202224446331101,0.587897958787174,45.384892357418586,40.77941435066947,0.08373596375907488,3.26570258660392,0.8373596375907489,0.41867981879537447,59.6647409792594,34.06976046106742
14.0,2015,252,2,15,2,10,111,170,39067,18187,20880,71.85981749072951,64.42983742522618,0.6509667865644907,3.8768823949123967,0.7810693270348147,2.7855916635847646,71.92771392735557,64.50456907364271,0.5119410243939898,3.8395576829549234,0.5119410243939898,2.559705121969949,93.47336009237367,53.160919540229884
15.0,2015,142,0,8,2,1,65,88,24875,11083,13792,61.45463647328928,57.000512660260476,0.28514355390101137,3.3764675044558765,1.1591575879602025,1.106434950652319,61.50753768844221,57.08542713567839,0.0,3.2160804020100504,0.8040201005025126,0.4020100502512563,79.40088423711991,47.12877030162413
16.0,2015,477,3,34,7,11,242,289,65473,29173,36300,81.19603821897476,72.79598257475774,0.5482828920566868,5.11925999451337,1.2012152599858323,1.886034312062357,81.25486841904296,72.85445909000657,0.45820414522016706,5.1929803124952265,1.0691430055137232,1.6800818658072794,99.06420320159052,66.66666666666667
17.0,2015,208,1,13,14,2,102,136,47809,22292,25517,49.78525104866069,43.49297253870505,0.3512455839612926,2.857513789517646,2.946939831105579,0.8162802230360184,49.78142190800896,43.50645275994059,0.20916563826894516,2.719153297496287,2.9283189357652324,0.4183312765378903,61.008433518751126,39.973351099267155
18.0,2015,133,2,12,10,6,67,96,76331,35537,40794,21.40452371418861,17.45274052998018,0.3510202119530215,1.7332686736497085,1.4111482162519025,1.0213823132453366,21.354364543894356,17.424113400846313,0.26201674286986937,1.5721004572192163,1.310083714349347,0.7860502286096082,27.01409798238456,16.423983919203806
19.0,2015,272,3,27,12,6,138,182,96569,44374,52195,33.16093710591461,28.17694924081811,0.3796624809626752,2.8640831344414255,1.3264178349848283,0.8182279230050749,33.13692799966863,28.166388799718334,0.31065869999689344,2.7959282999720405,1.2426347999875738,0.6213173999937869,41.01500878893045,26.439314110546988
20.0,2015,202,1,21,4,4,96,136,40161,18050,22111,57.746579986268536,50.26318695669998,0.411338123807879,5.109943463800374,1.2102986873707837,1.3950713921136935,57.76748586937577,50.29755235178406,0.2489977839197231,5.228953462314186,0.9959911356788924,0.9959911356788924,75.34626038781163,43.41730360454072
21.0,2015,223,0,19,2,8,107,145,27856,12709,15147,90.2850618999692,79.88945176996486,0.25890709416446855,6.412638401746983,1.052175701464241,3.125502758676563,90.46524985640436,80.05456634118323,0.0,6.820792647903504,0.7179781734635268,2.871912693854107,114.09237548194193,70.6410510332079
22.0,2015,381,5,47,34,32,176,323,65712,31865,33847,75.889181579413,57.946569134404456,0.8310983341313015,6.9388892937186615,5.045723031672786,4.84193258545535,75.93742391039689,57.98027757487217,0.7608960311663014,7.152422692963234,5.174093011930849,4.869734599464329,101.36513415973639,51.998700032499194
23.0,2015,83,0,20,9,3,46,69,48068,22299,25769,23.997163671235878,17.312980032619407,0.1594390348760768,4.161187133608334,1.980230216382811,1.0001106437301066,23.924440376133813,17.26720479320962,0.0,4.16077223932762,1.8723475076974285,0.6241158358991429,30.943091618458226,17.85090612751756
24.0,2015,286,4,61,20,10,172,209,75777,34662,41115,50.280684465362796,37.74206468703032,0.6024479662208804,7.80682328546727,2.6674595697779306,1.5224618628519315,50.27910843659686,37.74232286841654,0.5278646555023292,8.04993599641052,2.639323277511646,1.319661638755823,60.2965783855519,41.83388057886416
25.0,2015,147,0,11,7,6,70,100,37653,17113,20540,45.43441298513345,39.036458791214116,0.1987932564866013,3.0687182922380467,1.995055664100848,1.943688001125338,45.41470799139511,39.040713887339656,0.0,2.9214139643587496,1.8590816136828405,1.5934985260138634,58.435107812773914,34.079844206426486
26.0,2015,358,10,36,52,66,168,353,100458,47763,52695,51.961054128897224,35.638863765935355,1.0322661984774624,3.611467738255401,5.090348826612875,6.467885148320905,51.96201397598996,35.63678353142607,0.9954408807660913,3.5835871707579288,5.1762925799836745,6.569909813056203,73.90658040742834,31.88158269285511
27.0,2015,444,7,51,42,26,237,333,163366,76565,86801,34.903802850207484,27.18514001896135,0.4668511294809605,3.153160863037468,2.5861761747008907,1.680573619171895,34.89098098747597,27.17823782182339,0.4284857314251435,3.121824614668903,2.5709143885508614,1.591518431007676,43.49245738914648,27.303832905150863
28.0,2015,532,34,128,23,53,335,435,261019,125124,135895,29.51044735145897,20.388807309690165,1.3118940921987048,4.889812702906518,0.9190930293520015,2.0783474090338654,29.499768216106876,20.381658040219296,1.3025871679839398,4.903857573586597,0.8811619077538417,2.0305035265632,34.7655126114894,24.651385260679202
29.0,2015,232,12,47,35,46,135,237,114940,54345,60595,32.385750057843616,20.20085712914722,1.0745379573118532,4.092295522138384,3.0488717921638475,4.023095246611617,32.364712023664524,20.184444057769273,1.044022968505307,4.08908995997912,3.045066991473812,4.00208804593701,43.610267733922164,22.279065929532138
30.0,2015,347,12,82,43,62,222,323,124317,59133,65184,43.927504053090935,27.920941061064873,0.9963445042223277,6.500989493424703,3.448146231943715,4.967329727214674,43.91997876396631,27.912513976366867,0.9652742585487101,6.596040766749519,3.4588994264662114,4.987250335835002,54.62263034177193,34.057437407952875
31.0,2015,218,0,33,29,20,107,193,65135,30471,34664,46.068327672261496,33.47576610386619,0.12038540329092576,5.001447621159513,4.3689522191145755,3.1750567333929283,46.058186842711294,33.46894910570354,0.0,5.0664005526982425,4.452291394795425,3.0705457895140857,63.338912408519576,30.867759058389108
32.0,2015,162,16,27,19,38,100,162,95088,45923,49165,27.58533932805448,17.06027872628039,1.6901319657032068,2.9064380575791593,2.049450346950087,4.021763682198449,27.553424196533737,17.036850075719336,1.6826518593303046,2.839475012619889,1.9981490829547368,3.9962981659094736,35.27644099906365,20.339672531272246
33.0,2015,225,6,32,22,24,112,197,41555,20046,21509,74.28794575620854,54.10185848343395,1.4835646596331284,7.316948462968074,5.086801243837969,5.632916782322944,74.35928287811335,54.145108891830105,1.443869570448803,7.700637709060281,5.294188424978944,5.775478281795212,98.2739698693006,52.071225998419266
