ZAT,AÑO,quarter,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO
12.0,2017,2,25,0,0,0,0,2,3,2,5,4,5,4,10,15
12.0,2017,3,12,0,0,0,1,1,1,2,3,2,2,2,7,6
12.0,2017,4,24,1,1,1,0,2,3,5,2,3,6,6,9,18
12.0,2018,1,23,0,2,1,0,4,1,5,4,1,4,7,11,15
12.0,2018,2,20,0,5,0,0,4,3,6,2,5,3,2,13,12
12.0,2018,3,25,0,5,0,4,8,6,6,3,3,2,6,17,17
12.0,2018,4,25,0,0,0,0,3,7,4,3,2,2,4,11,14
12.0,2019,1,6,1,0,2,0,1,3,3,0,1,1,0,3,6
13.0,2015,1,7,0,1,0,0,2,2,1,0,1,1,1,2,6
13.0,2015,2,5,2,2,0,1,1,0,0,3,3,1,2,3,7
13.0,2015,3,4,0,2,0,0,1,0,0,1,1,2,1,5,1
13.0,2015,4,10,1,10,0,0,4,1,2,5,3,1,5,13,8
13.0,2016,1,8,0,24,0,0,3,4,4,8,7,3,3,28,4
13.0,2016,2,8,2,25,0,1,6,7,2,4,12,1,4,30,6
13.0,2016,3,7,0,31,0,1,5,7,6,8,6,1,6,30,9
13.0,2016,4,8,1,82,0,0,7,22,8,19,8,15,12,77,14
13.0,2017,1,15,0,11,0,1,3,1,5,6,6,3,3,17,10
13.0,2017,2,14,0,22,0,1,1,8,11,2,5,5,5,26,11
13.0,2017,3,19,1,51,2,1,7,11,14,13,5,13,11,57,17
13.0,2017,4,22,0,26,1,2,5,10,8,4,11,7,6,28,22
13.0,2018,1,28,1,6,1,0,6,7,3,6,8,2,4,20,16
13.0,2018,2,9,1,8,3,1,5,0,1,2,2,7,5,13,9
13.0,2018,3,16,2,14,2,0,3,7,2,2,6,7,7,24,10
13.0,2018,4,12,1,9,2,2,3,3,9,2,2,3,4,10,14
