codigo_municipio,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb
76890,2006,0.0,0,0.0,0,0.0,0,0.0,0
76892,2006,0.0,0,0.0,0,0.0,0,0.0,0
76895,2006,0.0,0,0.0,0,0.0,0,0.0,0
76403,2006,0.0,0,0.0,0,0.0,0,0.0,0
76400,2006,0.0,0,0.0,0,0.0,0,0.0,0
76377,2006,0.0,0,0.0,0,0.0,0,0.0,0
76364,2006,0.0,0,0.0,0,0.0,0,0.0,0
76100,2006,0.0,0,0.0,0,0.0,0,0.0,0
76233,2006,0.0,0,0.0,0,0.0,0,0.0,0
76109,2006,0.0,0,0.0,0,0.0,0,0.0,0
86001,2006,0.0,0,0.0,0,0.0,0,0.0,0
86219,2006,0.0,0,0.0,0,0.0,0,0.0,0
86320,2006,0.0,0,0.0,0,0.0,0,0.0,0
86749,2006,0.0,0,0.0,0,0.0,0,0.0,0
86755,2006,0.0,0,0.0,0,0.0,0,0.0,0
86757,2006,0.0,0,0.0,0,0.0,0,0.0,0
86760,2006,0.0,0,0.0,0,0.0,0,0.0,0
86865,2006,0.0,0,0.0,0,0.0,0,0.0,0
86885,2006,0.0,0,0.0,0,0.0,0,0.0,0
86569,2006,0.0,0,0.0,0,0.0,0,0.0,0
86568,2006,0.0,0,0.0,0,0.0,0,0.0,0
86571,2006,0.0,0,0.0,0,0.0,0,0.0,0
86573,2006,0.0,0,0.0,0,0.0,0,0.0,0
52683,2006,0.0,0,0.0,0,0.0,0,0.0,0
52685,2006,0.0,0,0.0,0,0.0,0,0.0,0
52687,2006,0.0,0,0.0,0,0.0,0,0.0,0
52560,2006,0.0,0,0.0,0,0.0,0,0.0,0
52693,2006,0.0,0,0.0,0,0.0,0,0.0,0
52565,2006,0.0,0,0.0,0,0.0,0,0.0,0
52694,2006,0.0,0,0.0,0,0.0,0,0.0,0
52573,2006,0.0,0,0.0,0,0.0,0,0.0,0
52699,2006,0.0,0,0.0,0,0.0,0,0.0,0
52585,2006,0.0,0,0.0,0,0.0,0,0.0,0
52678,2006,0.0,0,0.0,0,0.0,0,0.0,0
52207,2006,0.0,0,0.0,0,0.0,0,0.0,0
52210,2006,0.0,0,0.0,0,0.0,0,0.0,0
52215,2006,0.0,0,0.0,0,0.0,0,0.0,0
52001,2006,0.0,0,0.0,0,0.0,0,0.0,0
52019,2006,0.0,0,0.0,0,0.0,0,0.0,0
52022,2006,0.0,0,0.0,0,0.0,0,0.0,0
52224,2006,0.0,0,0.0,0,0.0,0,0.0,0
52036,2006,0.0,0,0.0,0,0.0,0,0.0,0
52051,2006,0.0,0,0.0,0,0.0,0,0.0,0
52083,2006,0.0,0,0.0,0,0.0,0,0.0,0
52110,2006,0.0,0,0.0,0,0.0,0,0.0,0
52203,2006,0.0,0,0.0,0,0.0,0,0.0,0
52480,2006,0.0,0,0.0,0,0.0,0,0.0,0
52506,2006,0.0,0,0.0,0,0.0,0,0.0,0
52720,2006,0.0,0,0.0,0,0.0,0,0.0,0
52786,2006,0.0,0,0.0,0,0.0,0,0.0,0
52788,2006,0.0,0,0.0,0,0.0,0,0.0,0
