codigo_municipio,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,crime_count,population,crime_rate_per_100k_inhabitants
5308,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41924.0,0.0
5310,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9626.0,41.5541242468315
5313,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13575.0,0.0
5315,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6557.0,15.250876925423213
5318,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,44247.0,13.560241372296428
5321,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6852.0,14.594279042615295
5347,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6411.0,0.0
5353,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5328.0,18.76876876876877
5360,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,225978.0,35.844197222738494
5361,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26043.0,0.0
5364,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13783.0,0.0
5368,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14278.0,21.01134612690853
5376,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,51714.0,5.80113702285648
5380,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,56603.0,21.200289737293076
5390,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9845.0,10.15744032503809
5400,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18805.0,10.635469290082424
5411,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10451.0,0.0
5425,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8632.0,0.0
5440,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,53126.0,15.058540074539772
5467,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7709.0,0.0
5475,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3692.0,0.0
5480,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12305.0,48.760666395774074
5483,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12443.0,0.0
5490,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,36835.0,13.574046423238766
5495,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20578.0,9.719117504130624
5501,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3170.0,31.54574132492114
5541,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,18685.0,26.75943270002676
5543,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7831.0,0.0
5576,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8955.0,0.0
5579,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,35049.0,105.56649262461126
5585,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15095.0,19.87413050679033
5591,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14439.0,13.851374748943831
5604,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25033.0,3.994726960412256
5607,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,19160.0,41.75365344467641
5615,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,107855.0,21.324926985304344
