tasa_total_hurto1,tasa_total_hurto0,lb,ub,exp
.25392118,.29309577,-.33322021,.84106255,-24
.25263223,.33350721,-.415463,.92072743,-23
.62355816,.49927363,-.37660706,1.6237234,-22
.7047925,.5117712,-.32040843,1.7299935,-21
.88786495,.68844438,-.49125484,2.2669847,-20
.89212108,.664419,-.4388701,2.2231123,-19
.67095613,.49157709,-.3137911,1.6557034,-18
.70502323,.46919271,-.23488276,1.6449292,-17
.68677586,.4641335,-.24299529,1.616547,-16
.36278623,.20151742,-.040901653,.76647413,-15
.64591593,.45187703,-.25930256,1.5511345,-14
.57816607,.3597495,-.14249878,1.2988309,-13
.58802783,.35542661,-.12397719,1.3000329,-12
.63741624,.45839268,-.28085461,1.5556871,-11
.49806139,.26104462,-.024873856,1.0209966,-10
.66251689,.32242221,.01662761,1.3084062,-9
.93327582,.46178064,.0082180947,1.8583336,-8
.76155466,.44572622,-.13134223,1.6544516,-7
.31849289,.48040211,-.64386815,1.280854,-6
.46649206,.54998064,-.63525158,1.5682356,-5
.47759822,.54067945,-.60551286,1.5607094,-4
.24662693,.41242447,-.57955855,1.0728124,-3
-.0041100625,.37401497,-.75335211,.74513197,-2
0,0,0,0,-1
.11232488,.31125617,-.5111962,.73584592,0
.13331369,.29551029,-.4586646,.72529197,1
.11408405,.2880674,-.46298429,.69115239,2
-.0077073229,.32591322,-.66058993,.64517528,3
-.10329682,.36594027,-.83636332,.62976968,4
-.19673029,.38965887,-.97731078,.5838502,5
.185881,.30670783,-.42852864,.80029064,6
.18253259,.29871729,-.41587007,.78093529,7
.037863694,.36414838,-.69161314,.76734054,8
.085151784,.33532518,-.58658528,.75688881,9
.37982076,.28823787,-.19758904,.95723057,10
.27905118,.2877228,-.2973268,.85542917,11
.40479961,.30974606,-.21569631,1.0252955,12
.39624652,.31225514,-.22927572,1.0217688,13
.30398425,.31156251,-.32015046,.928119,14
.43988749,.31812641,-.19739625,1.0771712,15
.40751556,.33313853,-.25984108,1.0748723,16
.39950037,.32687533,-.25530958,1.0543103,17
.34336919,.36432543,-.38646233,1.0732007,18
.49576214,.29116812,-.087517716,1.079042,19
.46597454,.28087345,-.096682571,1.0286317,20
.38515827,.25419807,-.12406163,.89437819,21
.3212896,.21722296,-.11386027,.75643951,22
.27212167,.18244419,-.093357943,.63760126,23
.28247645,.18186048,-.081833847,.64678675,24
