theft_to_vehicle_area_index1,theft_to_vehicle_area_index0,lb,ub,exp
-.4705292,.31201077,-1.1016306,.16057213,-24
-.2915329,.24600482,-.78912461,.20605882,-23
-.74867868,.3537181,-1.464141,-.03321632,-22
-.4775444,.27786988,-1.0395893,.084500454,-21
-.44219366,.34476018,-1.139537,.25514963,-20
.15275115,.30607513,-.46634424,.77184653,-19
-.30776748,.42628056,-1.1700013,.55446631,-18
-.47273263,.34529829,-1.1711644,.2256991,-17
-.50203085,.52298796,-1.5598739,.55581218,-16
-.27591822,.52153248,-1.3308172,.77898079,-15
-.45311102,.4726733,-1.409183,.50296092,-14
-.33644423,.52000141,-1.3882464,.71535796,-13
-.18633774,.42196184,-1.0398362,.66716063,-12
-.38552576,.37910271,-1.1523334,.38128182,-11
-.014306752,.47066355,-.9663136,.93770009,-10
-.22987355,.42447767,-1.0884607,.62871361,-9
.010645905,.38050488,-.75899786,.78028965,-8
-.045796406,.45564562,-.96742666,.87583387,-7
-.030240547,.37276289,-.78422469,.72374356,-6
.027969787,.49817964,-.97969365,1.0356332,-5
.46028045,.44608617,-.44201395,1.3625748,-4
.30174315,.38679317,-.48061991,1.0841062,-3
.070489593,.25798073,-.45132568,.59230489,-2
0,0,0,0,-1
-.035119448,.34145787,-.72578317,.65554428,0
-.13523224,.32044691,-.78339732,.51293284,1
-.1120055,.34077761,-.80129325,.57728225,2
-.22574463,.37680158,-.98789781,.53640854,3
-.035895251,.32909384,-.70155042,.62975991,4
.073484018,.55706769,-1.0532917,1.2002597,5
.022219887,.49272841,-.97441739,1.0188572,6
-.45425671,.44325933,-1.3508334,.44231993,7
-.99794888,.44383913,-1.8956983,-.10019947,8
-.40976727,.52497697,-1.4716334,.65209889,9
.071406297,.46361819,-.86635005,1.0091627,10
.10239606,.4330419,-.77351385,.978306,11
-.38592461,.52096242,-1.4396706,.66782135,12
-.13375662,.59940338,-1.3461643,1.0786511,13
.036694508,.44070184,-.85470909,.92809814,14
.34530973,.51006305,-.68639022,1.3770096,15
.086057566,.67859411,-1.2865286,1.4586438,16
.21423666,.6968888,-1.195354,1.6238273,17
-.43527502,.48871419,-1.4237927,.55324268,18
-.068751827,.41958359,-.9174397,.77993608,19
.52664453,.37915337,-.24026559,1.2935545,20
.0020443397,.53960627,-1.0894123,1.0935011,21
1.3115984,.67727429,-.058318168,2.681515,22
.77399904,.81986183,-.88432801,2.4323261,23
-.24744403,.49773106,-1.2542001,.75931203,24
