tasa_total_homicidio1,tasa_total_homicidio0,lb,ub,exp
-.1132903,.06131627,-.23612155,.0095409481,-24
-.060837012,.064902268,-.19085187,.069177851,-23
.013941375,.069298252,-.12487971,.15276246,-22
.39680713,.29013741,-.18440792,.97802216,-21
.038622826,.057615355,-.076794602,.15404025,-20
-.01331021,.064557351,-.14263412,.11601371,-19
-.035695385,.053541645,-.14295219,.071561418,-18
-.060833335,.07319653,-.20746359,.08579693,-17
.034559846,.095657915,-.15706597,.22618568,-16
.067623086,.086942703,-.10654408,.24179025,-15
-.015910782,.061312102,-.13873369,.10691212,-14
.16152923,.16326603,-.16553193,.48859039,-13
-.11962387,.16028517,-.44071364,.20146592,-12
.18290719,.16872573,-.15509105,.52090544,-11
.088817127,.058390245,-.028152591,.20578684,-10
.18759365,.15026782,-.11342896,.48861626,-9
.092102885,.087820113,-.083821945,.26802772,-8
.077020481,.090274401,-.10382087,.25786182,-7
.057981804,.044916082,-.031995926,.14795953,-6
.067253843,.048319485,-.029541716,.1640494,-5
-.066323332,.12626421,-.31926095,.18661427,-4
.097617358,.076003969,-.054636881,.2498716,-3
-.14118984,.11682965,-.37522775,.092848077,-2
0,0,0,0,-1
-.028008496,.048088733,-.12434181,.068324812,0
-.028693849,.096115649,-.22123663,.16384894,1
.14805602,.060921807,.026014978,.27009705,2
.049064089,.063590631,-.078323252,.17645143,3
-.024635296,.037769448,-.10029659,.051025998,4
.068618968,.080001086,-.091642462,.22888039,5
.04144042,.064101174,-.086969666,.16985051,6
.066396259,.081846416,-.097561821,.23035434,7
.078191154,.058610987,-.039220762,.19560307,8
.0033023539,.045431778,-.087708429,.094313137,9
.018609859,.049312972,-.080175892,.11739561,10
-.1176617,.062631704,-.24312808,.0078046764,11
-.029968906,.074679412,-.17956975,.11963194,12
-.021491531,.066393383,-.15449345,.1115104,13
.014329338,.074220873,-.13435294,.16301161,14
-.078863904,.10543929,-.29008418,.13235638,15
-.073391788,.055501465,-.18457459,.037791006,16
-.051193692,.081358805,-.21417496,.11178757,17
.076483369,.089647941,-.10310303,.25606978,18
.0088481326,.061231278,-.11381286,.13150913,19
.032011971,.082531713,-.13331892,.19734286,20
.072548725,.062888853,-.053432792,.19853024,21
.11628619,.11018066,-.1044322,.33700457,22
-.033096317,.071538642,-.17640544,.1102128,23
.10308219,.10247736,-.10220462,.30836901,24
