crime_index1,crime_index0,exp,lb,ub
22.832413,13.157358,-3,-2.9560094,48.620834
2.1430087,13.722322,-2,-24.752741,29.038759
0,0,-1,0,0
-1.633598,8.0191965,0,-17.351223,14.084027
.29420218,8.8717537,1,-17.094435,17.68284
8.4684324,11.813365,2,-14.685763,31.622627
