Nombre,Cámara de Comercio,Número de Matrícula,Fecha de Matrícula,Estado de la matrícula,Fecha de renovación,Último año renovado,latitud,longitud,direccion
TIENDA D1 MED LLANADITAS,MEDELLIN PARA ANTIOQUIA,72239302,2021/04/27,ACTIVA,2025/03/21,2025,6.2519165,-75.54287459999999,"Cra. 21 #59-2 a 59-62, Medellín, Villa Hermosa, Medellín, Antioquia, Colombia"
TIENDA D1 BARRANQUILLA SAN ENRIQUE,BARRANQUILLA,788216,2021/04/15,ACTIVA,2025/03/20,2025,10.964106,-74.7885896,"Cra. 23 #39-31, Sur Orient, Barranquilla, Atlántico, Colombia"
TIENDA D1 MAGDALENA,CUCUTA,365914,2020/02/03,ACTIVA,2025/03/27,2025,,,
TIENDA D1 SANTA MARTA UNIMAGDALENA,SANTA MARTA PARA EL MAGDALENA,241080,2021/04/15,ACTIVA,2025/03/22,2025,11.2253577,-74.1903768,"Cra. 21d #29G-37, Comuna 1, Santa Marta, Magdalena, Colombia"
MINI MERCADO D1 LA CEJA 2,ORIENTE ANTIOQUENO,77792,2012/08/09,ACTIVA,2025/03/19,2025,6.0213071,-75.436629,"Cra. 22 #5b-132, La Ceja, Antioquia, Colombia"
MINIMERCADO D1 SAN LUCAS,MEDELLIN PARA ANTIOQUIA,57737102,2014/09/16,ACTIVA,2025/03/21,2025,6.180074299999999,-75.5613846,"Cra. 22 #19 Sur-1 a 19 Sur-103, Medellín, Antioquia, Colombia"
TIENDA D1 SAS MADRID LA PROSPERIDAD,FACATATIVA,196479,2025/04/16,ACTIVA,2025/04/16,2025,4.734052999999999,-74.2613284,"a 9-58, Cra. 6 #9-16, Madrid, Cundinamarca, Colombia"
TIENDA D1 MANIZALES PARQUE CALDAS,MANIZALES,202317,2019/08/15,ACTIVA,2025/03/21,2025,5.0682307,-75.5128387,"Cra. 22 #29-29, Manizales, Caldas, Colombia"
TIENDA D1 CALI SANTA MONICA POPULAR,CALI,1097521,2020/10/13,ACTIVA,2025/03/07,2025,3.4379551,-76.5102186,"Cra. 22 #33c14, Comuna 8, Cali, Valle del Cauca, Colombia"
TIENDA D1 SANTA MONICA,MEDELLIN PARA ANTIOQUIA,51880302,2011/10/13,ACTIVA,2025/03/21,2025,6.2531921,-75.6103274,"Cl. 43 #92-105, Santa Monica, Medellín, La América, Medellín, Antioquia, Colombia"
TIENDA D1 VCIO PANORAMA,VILLAVICENCIO,387451,2021/02/16,ACTIVA,2025/03/19,2025,4.1259666,-73.6206618,"Cra. 22 #5-111 a 5-1, Villavicencio, Meta, Colombia"
TIENDA D1 VILLAVICENCIO ALBORADA,VILLAVICENCIO,352569,2019/05/28,ACTIVA,2025/03/19,2025,4.1259666,-73.6206618,"Cra. 22 #5-111 a 5-1, Villavicencio, Meta, Colombia"
TIENDA D1 ANT LA CEJA PAYUCO,ORIENTE ANTIOQUENO,140731,2021/11/09,ACTIVA,2025/03/20,2025,6.0213071,-75.436629,"Cra. 22 #5b-132, La Ceja, Antioquia, Colombia"
TIENDA D1 BOGOTA SAN ANDRESITO,BOGOTA,2768776,2017/01/19,ACTIVA,2025/03/07,2025,4.6068711,-74.0898393,"Cra. 23 #10-13, Bogotá, Colombia"
TIENDA D1 ACACIAS,VILLAVICENCIO,361039,2019/11/08,ACTIVA,2025/03/19,2025,3.9854928,-73.7665226,"Cra. 23 #124, Acacías, Meta, Colombia"
TIENDA D1 ACACIAS CALLE 12,VILLAVICENCIO,393315,2021/04/26,ACTIVA,2025/03/19,2025,3.987622599999999,-73.7600914,"Cl. 15 #16-2 a 16-116, Acacías, Meta, Colombia"
TIENDA D1 ACACIAS LA FLORIDA,VILLAVICENCIO,464427,2024/08/29,ACTIVA,2025/03/19,2025,3.9854928,-73.7665226,"Cra. 23 #124, Acacías, Meta, Colombia"
TIENDA D1 ARMENIA LAS ACASIAS,ARMENIA,210662,2016/09/26,ACTIVA,2025/03/20,2025,4.550722299999999,-75.6660567,"Cra. 19 #10, Armenia, Quindío, Colombia"
TIENDA D1 MANIZALES CENTRO,MANIZALES,171812,2015/04/13,ACTIVA,2025/03/21,2025,5.0608879,-75.48829839999999,"Av. Santander #59-111, Manizales, Caldas, Colombia"
TIENDA D1 MANIZALES CRA 23,MANIZALES,153703,2012/09/11,ACTIVA,2025/03/22,2025,5.0669605,-75.5217629,"Cra. 23 #15-45, Manizales, Caldas, Colombia"
TIENDA D1 YOPAL AEROPUERTO,CASANARE,166410,2022/08/16,ACTIVA,2025/03/13,2025,5.3187234,-72.3955192,"Cl. 40 #14-28, Yopal, Casanare, Colombia"
TIENDA D1 BARRANQUILLA SAN JOSE,BARRANQUILLA,748985,2019/11/06,ACTIVA,2025/03/20,2025,10.964106,-74.7885896,"Cra. 23 #39-31, Sur Orient, Barranquilla, Atlántico, Colombia"
TIENDA D1 BARRANQUILLA SAN PEDRO,BARRANQUILLA,781220,2021/02/05,ACTIVA,2025/03/20,2025,11.0135753,-74.79703649999999,"Cl. 77 ##72104, Nte. Centro Historico, Barranquilla, Atlántico, Colombia"
TIENDA D1 CALI EL PORVENIR,CALI,1091604,2020/08/24,ACTIVA,2025/03/07,2025,3.4582914,-76.5158393,"Cl. 31 #4B-79, Esmeralda, Cali, Valle del Cauca, Colombia"
TIENDA D1 CALI EL TREBOL,CALI,919648,2015/02/11,ACTIVA,2025/03/07,2025,3.4428575,-76.4948225,"Cra. 23 #58112 #58- a, Comuna 8, Cali, Valle del Cauca, Colombia"
TIENDA D1 EL TREBOL,CARTAGO,99137,2020/05/12,ACTIVA,2025/03/20,2025,3.4428575,-76.4948225,"Cra. 23 #58112 #58- a, Comuna 8, Cali, Valle del Cauca, Colombia"
TIENDA D1 MOVIL CEDI,BUCARAMANGA,9000456952,2020/04/27,CANCELADA,2025/03/21,2025,,,
TIENDA D1 PARK WAY,BOGOTA,3833836,2024/06/17,ACTIVA,2025/03/07,2025,4.6283169,-74.07560939999999,"Cra. 24 #39-29, Bogotá, Colombia"
TIENDA D1 CALI VALLE GRANDE,CALI,1074266,2020/01/24,ACTIVA,2025/03/07,2025,3.4653513,-76.4795372,"Av. Cdad. de Cali #7a-27, Alfonso Lopez, Cali, Valle del Cauca, Colombia"
TIENDA D1 ARAUCA EL MILAGRO,ARAUCA,40108,2023/11/07,ACTIVA,2025/02/27,2025,7.085662399999999,-70.74831689999999,"Cl. 20 #9, Arauca, Colombia"
TIENDA D1 ARAUCA SANTA TERESITA,ARAUCA,40184,2023/12/15,ACTIVA,2025/02/27,2025,7.085662399999999,-70.74831689999999,"Cl. 20 #9, Arauca, Colombia"
TIENDA D1 MED CARAMBOLAS,MEDELLIN PARA ANTIOQUIA,80145502,2024/08/16,ACTIVA,2025/03/21,2025,6.2602801,-75.5715168,"Cl. 61 #56a-17, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia, Colombia"
TIENDA D1 SAMPER MENDOZA,BOGOTA,2662620,2016/03/04,ACTIVA,2025/03/07,2025,4.6194959,-74.0808721,"Cra. 25 # 22 C - 81, Bogotá, D.C, Bogotá, Colombia"
TIENDAS D1 TEATRO NACIONAL,BOGOTA,2677271,2016/04/18,ACTIVA,2025/03/07,2025,4.683533499999999,-74.06007559999999,"Cl. 95 #47-15, Barrios Unidos, Bogotá, Colombia"
TIENDA D1 META 20 DE JULIO VILLAVICENCIO O,VILLAVICENCIO,369084,2020/05/04,ACTIVA,2025/03/19,2025,4.1372956,-73.5883795,"el milagro, Cl. 35 #16-07, Villavicencio, Meta, Colombia"
TIENDA D1 PEREIRA VILLAVICENCIO,PEREIRA,18180947,2020/12/03,ACTIVA,2025/03/19,2025,,,
