theft_to_people_index_eb1,theft_to_people_index_eb0,lb,ub,exp
3.5253928,.77216989,2.0119677,5.0388179,-14
1.1599473,1.2852174,-1.3590324,3.6789269,-13
2.439893,1.6129763,-.72148228,5.6012683,-12
1.4423982,2.7290776,-3.9064956,6.7912917,-11
-1.9911051,3.1651843,-8.1947527,4.2125421,-10
-1.2478266,1.9724191,-5.1136971,2.6180439,-9
3.3348539,2.8839502,-2.3175848,8.9872923,-8
-1.8700348,6.2765675,-14.171881,10.431811,-7
-3.3256669,3.6425958,-10.465023,3.8136897,-6
.91017437,8.6743813,-16.091301,17.91165,-5
2.1914456,7.4442248,-12.398967,16.781858,-4
-5.1987543,8.4077616,-21.677664,11.280156,-3
6.9213924,9.307025,-11.320042,25.162827,-2
0,0,0,0,-1
-4.4677196,7.0054278,-18.198107,9.2626667,-1
2.5665951,1.7804649,-.92305213,6.056242,0
2.7630801,1.9297909,-1.0192406,6.5454006,1
-1.0467013,3.217731,-7.3533382,5.2599359,2
1.4098228,5.7475433,-9.855155,12.674801,3
6.3425741,7.2282391,-7.8245139,20.509663,4
2.7900529,6.7309446,-10.402356,15.982462,5
1.5864292,7.6634197,-13.433598,16.606455,6
-.65133369,10.490916,-21.213152,19.910484,7
-1.0871994,16.380554,-33.192497,31.018097,8
-32.957336,7.5135322,-47.68359,-18.231083,9
-34.520092,7.6421056,-49.498344,-19.541842,10
-8.6665831,17.511202,-42.987907,25.654739,11
-9.6854267,18.649672,-46.23811,26.867258,12
-31.053904,9.6800222,-50.026398,-12.081409,13
