tasa_total_vehiculo1,tasa_total_vehiculo0,lb,ub,exp
.037788477,.063539319,-.086746305,.16232325,-24
-.02128203,.055852044,-.13075003,.088185966,-23
.00027155358,.073559351,-.14390214,.14444524,-22
.31927401,.25495586,-.18043029,.81897831,-21
-.10138124,.078829184,-.2558836,.053121116,-20
-.037039317,.04921326,-.13349552,.059416898,-19
-.018286794,.086278327,-.18738921,.15081562,-18
-.0094593875,.059460636,-.12600009,.10708132,-17
.029857475,.05130925,-.0707068,.13042176,-16
-.26954135,.40876466,-1.0707053,.53162265,-15
.46825531,.61388946,-.73494595,1.6714566,-14
-.15624517,.17901185,-.50710195,.19461159,-13
.01734877,.063443005,-.10699723,.14169477,-12
-.057515532,.22088572,-.49044359,.37541252,-11
-.21123049,.38258404,-.96108145,.53862047,-10
.01692323,.065818772,-.11207919,.14592564,-9
.10778969,.19210802,-.26873511,.4843145,-8
-.12698591,.14188503,-.40507543,.15110362,-7
-.4682385,.38919514,-1.231047,.29456997,-6
.19568282,.24339341,-.28135949,.67272514,-5
.03147357,.12250807,-.20863785,.27158499,-4
-.14359622,.28481358,-.70182061,.41462818,-3
-.098570265,.26151153,-.61112344,.4139829,-2
-.15368617,.096651077,-.34311879,.03574647,-1
0,0,0,0,-1
.14417979,.096073374,-.044120573,.33248013,0
.15470582,.13673602,-.11329187,.4227035,1
.14343691,.15993243,-.17002492,.45689872,2
.10580067,.20636879,-.2986747,.51027602,3
.10962068,.25052333,-.38139603,.60063738,4
.080696061,.31376582,-.53427368,.69566578,5
.032425661,.30078566,-.5571034,.62195474,6
.0020123695,.28534633,-.55725616,.56128085,7
-.01481095,.27891803,-.56148022,.53185833,8
.022481613,.28641853,-.53888834,.58385158,9
-.060789149,.33486173,-.71710604,.59552777,10
-.03462762,.3174189,-.65675724,.587502,11
-.12844141,.35139537,-.81716371,.56028086,12
-.17677844,.35071322,-.8641637,.51060688,13
-.31479645,.45310462,-1.2028652,.57327229,14
.93981576,1.3851107,-1.7749513,3.654583,15
1.1741416,1.6576517,-2.074796,4.423079,16
1.7162058,2.2555952,-2.7046795,6.1370912,17
.66423458,.44791269,-.21365815,1.5421273,18
.56479591,.45001313,-.31721362,1.4468054,19
.51210415,.42085397,-.31275445,1.3369627,20
.52787209,.42656752,-.30818489,1.363929,21
.44584614,.43741217,-.41146594,1.3031583,22
.45647132,.45110294,-.4276742,1.3406168,23
.40867877,.42651197,-.42726934,1.2446269,24
