theft_to_motorbike_log_index1,theft_to_motorbike_log_index0,lb,ub,exp
-.13270831,.12974264,-.38699919,.12158257,-24
.31797153,.1535086,.017100172,.61884284,-23
-.072350673,.078031376,-.22528936,.08058802,-22
-.018598193,.14021271,-.29341006,.25621367,-21
-.040615052,.17904928,-.39154521,.3103151,-20
.10510136,.093798898,-.078741103,.28894383,-19
-.0084972149,.077041402,-.15949559,.14250116,-18
-.0024275039,.10677875,-.21171001,.206855,-17
-.061972238,.11913099,-.29546469,.17152022,-16
.042910598,.098501019,-.15014786,.23596905,-15
.14512178,.086185902,-.02379947,.31404305,-14
-.14263514,.11054237,-.35929421,.07402394,-13
.074346401,.12557445,-.17177501,.32046783,-12
-.096938312,.15625285,-.40318826,.20931165,-11
.0061080572,.1012468,-.19233203,.20454814,-10
.033549067,.10848733,-.1790822,.24618033,-9
-.044873003,.11286336,-.26608112,.17633513,-8
.17715347,.090169147,.00042519323,.35388175,-7
-.11409555,.10037939,-.31083554,.082644433,-6
.037154585,.10391831,-.16652155,.24083072,-5
.015370489,.10074569,-.18208742,.2128284,-4
-.0089156991,.10749825,-.2196084,.201777,-3
.052816574,.14139792,-.22431827,.32995141,-2
.0041505224,.086783402,-.16594182,.17424287,-1
0,0,0,0,-1
.1088435,.082059011,-.051989205,.26967621,0
-.020047652,.090790458,-.19799368,.15789837,1
.019035278,.1196399,-.21545461,.25352517,2
.061920449,.12093044,-.17509887,.29893976,3
.036025856,.099293463,-.15858576,.23063746,4
.12873407,.1157605,-.098152339,.35562047,5
.04985372,.10406092,-.15410194,.25380936,6
.04780205,.12694028,-.20099634,.29660043,7
.043519236,.15317068,-.25668979,.34372824,8
.10232999,.10615306,-.10572619,.31038618,9
.21527492,.10191764,.015520007,.41502982,10
.22741836,.14859213,-.063816853,.51865357,11
-.042617228,.12710519,-.29173881,.20650436,12
.075782359,.15960029,-.23702845,.38859317,13
.23464054,.217261,-.19118319,.66046429,14
-.31430966,.69366139,-1.673861,1.0452417,15
-.65691084,1.2960452,-3.1971128,1.883291,16
-1.4796532,2.0640574,-5.5251312,2.565825,17
.19350114,.23953505,-.27597895,.66298121,18
-.0135476,.24040829,-.48473918,.45764399,19
.092563741,.27361077,-.4437035,.62883097,20
.042747613,.25905371,-.46498835,.55048358,21
.21573097,.26796097,-.30946288,.74092478,22
.11983351,.10953532,-.094851784,.33451879,23
.46869072,.1487983,.17705141,.76033002,24
