tasa_total_atraco1,tasa_total_atraco0,lb,ub,exp
-.03217398,.056407709,-.14273106,.078383096,-24
.045870259,.051405039,-.054881763,.14662229,-23
.049731523,.047234152,-.042845715,.14230876,-22
-.27253863,.26793924,-.79768991,.25261265,-21
.28042319,.27639005,-.26129133,.82213771,-20
.034236509,.046409629,-.056724697,.12519771,-19
-.022734914,.083699547,-.18678302,.14131318,-18
.029038975,.035096612,-.039749123,.097827069,-17
-.020183368,.062784038,-.14323783,.10287109,-16
-.031758487,.032959171,-.096357279,.032840304,-15
-.09668348,.0714228,-.2366696,.04330264,-14
.0196092,.042049963,-.062807217,.10202561,-13
-.069795571,.065743767,-.198651,.059059847,-12
.073667362,.080241732,-.083603539,.23093827,-11
-.16338941,.12545186,-.40927055,.082491711,-10
-.06394954,.13949649,-.33735764,.20945856,-9
-.095138222,.11054362,-.31179973,.12152328,-8
-.24120593,.14079095,-.51715112,.034739275,-7
-.2637935,.2826823,-.81784064,.29025364,-6
.041675456,.073430881,-.10224643,.18559735,-5
-.051165733,.088477202,-.22457786,.12224639,-4
-.14518094,.21794093,-.57233727,.28197542,-3
-.32766271,.5215624,-1.3499062,.69458073,-2
.060379378,.061141971,-.059456687,.18021543,-1
0,0,0,0,-1
-.058897533,.099798076,-.25449815,.1367031,0
.13332424,.092377424,-.047732193,.31438068,1
.14690101,.23087241,-.30560058,.59940261,2
.05053743,.3152585,-.5673579,.66843271,3
.12873454,.35546941,-.56797272,.82544178,4
.15295157,.48245916,-.792651,1.0985541,5
.084794275,.48230863,-.86051327,1.0301019,6
.066199228,.46141204,-.83815175,.97055024,7
.0063848672,.45036533,-.876315,.8890847,8
-.024490424,.44944346,-.90538341,.85640258,9
-.20666005,.65426141,-1.4889889,1.0756688,10
-.26066351,.65590769,-1.546219,1.024892,11
-.67417896,1.1048332,-2.8396125,1.4912544,12
-.76135701,1.1115776,-2.9400091,1.4172951,13
-1.2775382,1.5000373,-4.2175574,1.662481,14
1.9253875,2.9776497,-3.9106984,7.7614737,15
2.3216722,3.6410034,-4.8145628,9.4579077,16
3.45261,5.1071067,-6.5571351,13.462355,17
1.0722984,.49667826,.098826833,2.0457699,18
.97855198,.49765113,.0031737005,1.9539303,19
.91959101,.47395688,-.0093474081,1.8485295,20
.94434154,.47732475,.0088022007,1.8798809,21
.78177774,.55944276,-.31470987,1.8782654,22
.79944605,.5761416,-.32977074,1.9286628,23
.75676811,.55791771,-.33673048,1.8502667,24
