theft_to_vehicle_area_index1,theft_to_vehicle_area_index0,lb,ub,exp
-.30078244,.34768605,-.98223454,.38066968,-24
.48432398,.53677374,-.56773323,1.5363812,-23
-.63376057,.3461141,-1.3121318,.044610567,-22
.42099869,.52962327,-.61704391,1.4590412,-21
-.050877649,.37654322,-.78888881,.68713349,-20
.75825799,.4301948,-.084908284,1.6014243,-19
-.16058415,.46375811,-1.0695333,.74836504,-18
-1.3056908,.67197925,-2.622746,.011364412,-17
.9137904,1.1271864,-1.2954545,3.1230354,-16
-.15602006,.93277073,-1.984217,1.672177,-15
-.93940043,.87857115,-2.6613681,.78256738,-14
-.44954318,1.0157427,-2.4403622,1.5412759,-13
.056488108,.66550136,-1.2478706,1.3608469,-12
.041799959,.52787441,-.9928149,1.0764148,-11
.043238185,.56527716,-1.0646847,1.1511611,-10
-.39491495,.65734512,-1.6832876,.89345777,-9
.80531925,.504071,-.18264174,1.7932802,-8
-.0040450469,.43849319,-.86347592,.85538584,-7
-.21984932,.47657207,-1.1539134,.7142148,-6
.028154243,.78594476,-1.5122691,1.5685776,-5
.85835439,.69372404,-.50131971,2.2180285,-4
-.5042792,.48088706,-1.4468006,.43824211,-3
-.60133028,.64252204,-1.8606503,.65798974,-2
-.23430359,.41271564,-1.0432115,.57460421,-1
0,0,0,0,-1
.040843587,.45132747,-.84374201,.92542917,0
.55465847,.49358228,-.41274503,1.5220619,1
.11645599,.50573874,-.87477368,1.1076857,2
-.026437782,.55111563,-1.1066046,1.0537289,3
.46257666,.75506759,-1.0173286,1.942482,4
.36564448,.71396762,-1.0337063,1.7649952,5
.29649165,.72812766,-1.1306124,1.7235956,6
.11753175,.54182643,-.94442856,1.179492,7
-.28985626,.56997305,-1.4069829,.82727045,8
.036651757,.61862516,-1.1758313,1.2491348,9
.81309211,.68762398,-.53462613,2.1608105,10
.5003022,.59589219,-.66762501,1.6682295,11
.32318991,1.1656884,-1.9615172,2.607897,12
1.9955556,1.7360077,-1.4069569,5.398068,13
-.57738411,1.7261451,-3.9605665,2.8057983,14
.27253884,2.1071186,-3.857338,4.4024158,15
-.73033315,2.880271,-6.3755603,4.9148941,16
3.2827618,5.8908648,-8.2631216,14.828645,17
-.66822022,.38610712,-1.4249762,.088535838,18
-.5117237,.52733701,-1.5452852,.52183783,19
-.60735893,.6274085,-1.837057,.62233919,20
-.25348973,.46601948,-1.1668711,.65989166,21
.44613037,.31507832,-.17141178,1.0636725,22
-.5102219,1.068846,-2.6051216,1.5846778,23
-.49319515,.75155079,-1.9662076,.97981739,24
