sexual_index1,sexual_index0,lb,ub,exp
-.91987306,.79977447,-2.4874022,.64765608,-24
.24648039,.20581371,-.15690704,.64986783,-23
-.070216119,.20216639,-.46645498,.32602274,-22
-.61236429,.60555774,-1.7992357,.57450712,-21
.36697578,.30434906,-.22953741,.963489,-20
-.44216263,.65451097,-1.7249806,.84065533,-19
1.4625807,.86710536,-.23691459,3.162076,-18
.30975142,.53732866,-.74339336,1.3628962,-17
.42302808,1.3635772,-2.2495344,3.0955904,-16
.573636,.53776419,-.48036247,1.6276344,-15
-2.9105337,2.7895088,-8.3778706,2.556803,-14
.63690507,.79495066,-.92116952,2.1949797,-13
3.0854065,2.494029,-1.8028003,7.9736137,-12
-1.2112107,1.2077489,-3.5783551,1.1559335,-11
-.99010742,1.8169776,-4.5513182,2.5711033,-10
-.37316126,.88988197,-2.1172979,1.3709754,-9
-.85850346,1.076975,-2.9693358,1.2523289,-8
.43200684,.48995993,-.52829701,1.3923106,-7
.16867058,.85203987,-1.5012969,1.8386381,-6
-1.2576048,1.2873315,-3.7807283,1.2655185,-5
.36583984,.73882347,-1.0822276,1.8139073,-4
-.53366947,1.0176743,-2.5282743,1.4609355,-3
-.37542927,.81956136,-1.98174,1.2308815,-2
.51574188,.49879676,-.46188182,1.4933655,-1
0,0,0,0,-1
.67915708,.93167764,-1.1468976,2.5052116,0
-1.1337522,.72825128,-2.5610986,.293594,1
-1.6193262,1.0470121,-3.6714323,.4327797,2
-1.1481714,.9277972,-2.9666204,.67027777,3
-.92369092,1.0480064,-2.9777458,1.1303641,4
-1.0099307,.96017885,-2.8918467,.87198526,5
.34136379,.54192722,-.72079402,1.4035217,6
-.090035953,.69253832,-1.4473861,1.2673142,7
-.26949254,.75218207,-1.7437423,1.2047572,8
.26269016,.59877104,-.91087955,1.4362599,9
.47103697,.56754297,-.64132679,1.5834007,10
-.48510739,.83644909,-2.1245174,1.1543027,11
-1.2392479,1.5264872,-4.2311077,1.752612,12
-.61069739,1.4942371,-3.5393484,2.3179536,13
-1.4495072,2.0961101,-5.5578074,2.658793,14
-.13897018,1.4394858,-2.9603107,2.6823702,15
.17236488,1.2564183,-2.2901697,2.6348996,16
-.7279259,1.8330685,-4.3206739,2.8648224,17
-1.4010248,1.17621,-3.7063541,.90430439,18
-1.965765,1.4001374,-4.7099838,.77845389,19
-.40036002,.91180927,-2.1874733,1.3867533,20
.6470719,.33891118,-.01718179,1.3113256,21
.72802603,.34939569,.043223083,1.412829,22
.30090252,.6391452,-.95179909,1.5536041,23
-.095066167,.93983132,-1.9371017,1.7469693,24
