homicide_index1,homicide_index0,lb,ub,exp
.31036362,.2184687,-.11782716,.73855436,-24
-.1929294,.22972763,-.64318728,.25732848,-23
-.0059615532,.13429807,-.26918092,.25725782,-22
-.22862782,.1598058,-.54184145,.084585808,-21
.029402917,.28076145,-.52087945,.57968527,-20
.46670032,.31604108,-.15272881,1.0861294,-19
.054690409,.27029359,-.4750753,.58445615,-18
-.2508482,.2576541,-.75584096,.25414452,-17
-.13640068,.21053995,-.5490514,.27625003,-16
.073578112,.2203497,-.35829934,.50545561,-15
-.083153866,.26564658,-.60381156,.43750384,-14
.034491304,.17356786,-.30569544,.37467805,-13
.12855574,.24823084,-.35796776,.61507928,-12
-.061332136,.19941294,-.45217431,.32951006,-11
-.040176582,.11705613,-.26960239,.18924922,-10
-.088158429,.13287815,-.34859481,.17227797,-9
.1078475,.10536302,-.098660223,.31435522,-8
.002039182,.19054244,-.37141716,.37549552,-7
-.023455592,.17890774,-.37410831,.3271971,-6
-.13352084,.19046158,-.50681865,.23977698,-5
.27610272,.17498218,-.066856042,.61906147,-4
-.20382687,.10123348,-.40224084,-.0054128878,-3
.059054241,.13535251,-.20623179,.32434028,-2
0,0,0,0,-1
.066145584,.14051522,-.20925921,.34155038,-1
-.096031964,.099876158,-.29178563,.0997217,0
.052211851,.12269949,-.18827473,.29269844,1
.10390521,.095969982,-.084192492,.29200292,2
.44427994,.33499846,-.21230498,1.1008649,3
.18427128,.19092976,-.18994416,.55848676,4
.15746233,.18253988,-.20030926,.51523387,5
.11654422,.12536037,-.1291576,.36224604,6
-.02647425,.12368733,-.26889697,.21594846,7
-.078880288,.11948103,-.31305879,.15529823,8
-.012384302,.13698153,-.28086317,.25609455,9
.1783452,.22106825,-.2549406,.61163104,10
.11170046,.16327371,-.20831013,.43171105,11
-.060656928,.23124987,-.51389831,.39258447,12
.12976138,.33125558,-.51948762,.77901042,13
.28586665,.22580156,-.15669626,.72842956,14
.55694073,.38821736,-.20395134,1.3178328,15
-.0034368567,.24516043,-.48394248,.47706875,16
.10485879,.27164921,-.42756391,.63728148,17
.15655078,.33014175,-.49051514,.8036167,18
.19579205,.27869725,-.35044453,.74202859,19
.31033808,.31561214,-.30825034,.92892653,20
.11743146,.34376568,-.55633688,.7911998,21
.2011915,.22862157,-.24689855,.64928156,22
.095920421,.33259696,-.55595767,.7477985,23
.21438222,.25794709,-.29118478,.71994919,24
