LONGITUD,LATITUD,nombre_localidad,nombre_upz,FECHA_HECHO,HORA_HECHO,DIA,MES,AÑO,DIA_SEMANA,DIRECCION_HECHO,GENERO,theft_to_people,theft_to_vehicle,theft_to_motorbike,sexual,homicide
-74.15459999999996,4.627409999848109,KENNEDY,KENNEDY CENTRAL,2023-08-22,00:00:00,22,8,2023,Martes,CIUDAD KENNEDY NORTE,MASCULINO,0,1,0,0,0
-74.17999999999995,4.6181199998483935,KENNEDY,GRAN BRITALIA,2023-05-05,00:00:00,5,5,2023,Viernes,GRAN BRITALIA,MASCULINO,0,1,0,0,0
-74.18279999999999,4.6239299998481975,BOSA,BOSA OCCIDENTAL,2023-01-24,00:00:00,24,1,2023,Martes,CHICALA,MASCULINO,0,1,0,0,0
-74.12659999999994,4.604519999848836,PUENTE ARANDA,MUZU,2023-05-31,00:00:00,31,5,2023,Miércoles,ALCALA,MASCULINO,0,1,0,0,0
-74.16119999999995,4.582739999849563,CIUDAD BOLÍVAR,ISMAEL PERDOMO,2023-04-12,00:00:00,12,4,2023,Miércoles,EL ENSUENO,MASCULINO,0,1,0,0,0
-74.15339999999998,4.63226999984796,KENNEDY,CASTILLA,2023-09-10,00:00:00,10,9,2023,Domingo,CIUDAD KENNEDY NORTE,MASCULINO,0,1,0,0,0
-74.13519999999994,4.653949999847253,KENNEDY,CASTILLA,2023-09-02,00:00:00,2,9,2023,Sábado,EL VERGEL,MASCULINO,0,1,0,0,0
-74.05959999999999,4.742829999844323,SUBA,BRITALIA,2023-09-02,00:00:00,2,9,2023,Sábado,CANTAGALLO,MASCULINO,0,1,0,0,0
-74.04789999999997,4.686839999846199,USAQUÉN,SANTA BARBARA,2023-08-25,00:00:00,25,8,2023,Viernes,SANTA BIBIANA,-,0,1,0,0,0
-74.11859999999996,4.731399999844741,ENGATIVÁ,BOLIVIA,2023-02-15,00:00:00,15,2,2023,Miércoles,EL CORTIJO,MASCULINO,0,1,0,0,0
-74.16039999999998,4.610249999848678,KENNEDY,TIMIZA,2023-03-08,00:00:00,8,3,2023,Miércoles,TIMIZA B,MASCULINO,0,1,0,0,0
-74.09879999999998,4.611089999848635,PUENTE ARANDA,ZONA INDUSTRIAL,2023-02-28,00:00:00,28,2,2023,Martes,PENSILVANIA,MASCULINO,0,1,0,0,0
-74.11989999999997,4.568259999850046,RAFAEL URIBE URIBE,MARCO FIDEL SUAREZ,2023-09-15,00:00:00,15,9,2023,Viernes,MARCO FIDEL SUAREZ,MASCULINO,0,1,0,0,0
-74.09839999999997,4.624829999848173,PUENTE ARANDA,ZONA INDUSTRIAL,2023-06-30,00:00:00,30,6,2023,Viernes,INDUSTRIAL CENTENARIO,FEMENINO,0,1,0,0,0
-74.13209999999998,4.613099999848547,KENNEDY,AMERICAS,2023-01-14,00:00:00,14,1,2023,Sábado,PROVIVIENDA ORIENTAL,MASCULINO,0,1,0,0,0
-74.18459999999999,4.600659999848989,BOSA,BOSA CENTRAL,2023-01-06,00:00:00,6,1,2023,Viernes,GUALOCHE,MASCULINO,0,1,0,0,0
-74.10279999999995,4.497049999852354,USME,ALFONSO LOPEZ,2023-08-14,00:00:00,14,8,2023,Lunes,EL PROGRESO USME,MASCULINO,0,1,0,0,0
-74.14099999999996,4.642799999847572,KENNEDY,CASTILLA,2023-01-16,00:00:00,16,1,2023,Lunes,CASTILLA,MASCULINO,0,1,0,0,0
-74.14399999999995,4.642769999847599,KENNEDY,CASTILLA,2023-03-21,00:00:00,21,3,2023,Martes,CASTILLA,MASCULINO,0,1,0,0,0
-74.15989999999994,4.588499999849385,CIUDAD BOLÍVAR,ARBORIZADORA,2023-04-13,00:00:00,13,4,2023,Jueves,MADELENA,MASCULINO,0,1,0,0,0
-74.10139999999996,4.752729999844023,SUBA,SUBA,2023-06-29,00:00:00,29,6,2023,Jueves,TIBABUYES,MASCULINO,0,1,0,0,0
-74.09219999999993,4.552269999850519,SAN CRISTÓBAL,LA GLORIA,2023-03-12,00:00:00,12,3,2023,Domingo,LA VICTORIA,FEMENINO,0,1,0,0,0
-74.16709999999995,4.60794999984876,KENNEDY,TIMIZA,2023-08-11,00:00:00,11,8,2023,Viernes,CATALINA,MASCULINO,0,1,0,0,0
-74.08609999999999,4.501979999852192,USME,SIN UPZ USME,2023-02-24,00:00:00,24,2,2023,Viernes,TIBAQUE,MASCULINO,0,1,0,0,0
-74.06269999999995,4.761979999843723,SUBA,SAN JOSE DE BAVARIA,2023-08-23,00:00:00,23,8,2023,Miércoles,SAN JOSE DE BAVARIA,MASCULINO,0,1,0,0,0
-74.13689999999997,4.646309999847468,KENNEDY,CASTILLA,2023-02-07,00:00:00,7,2,2023,Martes,NUEVO TECHO,MASCULINO,0,1,0,0,0
-74.12499999999994,4.585679999849442,RAFAEL URIBE URIBE,QUIROGA,2023-09-25,00:00:00,25,9,2023,Lunes,INGLES,MASCULINO,0,1,0,0,0
-74.15359999999998,4.588719999849335,TUNJUELITO,VENECIA,2023-01-16,00:00:00,16,1,2023,Lunes,ISLA DEL SOL,FEMENINO,0,1,0,0,0
-74.06739999999996,4.601679999848932,CANDELARIA,LA CANDELARIA,2023-01-18,00:00:00,18,1,2023,Miércoles,LAS AGUAS,MASCULINO,0,1,0,0,0
-74.08819999999997,4.69104999984606,ENGATIVÁ,LAS FERIAS,2023-08-11,00:00:00,11,8,2023,Viernes,BONANZA,MASCULINO,0,1,0,0,0
-74.13689999999997,4.705429999845547,ENGATIVÁ,ENGATIVA,2023-07-26,00:00:00,26,7,2023,Miércoles,AEROPUERTO EL DORADO,MASCULINO,0,1,0,0,0
-74.14899999999994,4.677999999846456,FONTIBÓN,FONTIBON,2023-03-16,00:00:00,16,3,2023,Jueves,BELEN FONTIBON,MASCULINO,0,1,0,0,0
-74.11309999999997,4.617699999848433,PUENTE ARANDA,SAN RAFAEL,2023-03-18,00:00:00,18,3,2023,Sábado,SAN FRANCISCO,FEMENINO,0,1,0,0,0
-74.09719999999999,4.701699999845709,ENGATIVÁ,MINUTO DE DIOS,2023-05-25,00:00:00,25,5,2023,Jueves,PARIS GAITAN,MASCULINO,0,1,0,0,0
-74.07389999999998,4.613069999848573,SANTA FE,LAS NIEVES,2023-01-11,00:00:00,11,1,2023,Miércoles,LA ALAMEDA,FEMENINO,0,1,0,0,0
-74.09289999999999,4.677939999846446,ENGATIVÁ,LAS FERIAS,2023-03-15,00:00:00,15,3,2023,Miércoles,LA ESTRADA,MASCULINO,0,1,0,0,0
-74.11649999999997,4.559859999850322,RAFAEL URIBE URIBE,MARRUECOS,2023-06-28,00:00:00,28,6,2023,Miércoles,GUIPARMA,MASCULINO,0,1,0,0,0
-74.17599999999999,4.629029999848061,KENNEDY,LAS MARGARITAS,2023-06-04,00:00:00,4,6,2023,Domingo,LAS MARGARITAS,MASCULINO,0,1,0,0,0
-74.14049999999997,4.614099999848556,KENNEDY,CARVAJAL,2023-02-13,00:00:00,13,2,2023,Lunes,PROVIVIENDA,MASCULINO,0,1,0,0,0
-74.12309999999997,4.573249999849848,RAFAEL URIBE URIBE,MARCO FIDEL SUAREZ,2023-07-16,00:00:00,16,7,2023,Domingo,SAN JORGE SUR,MASCULINO,0,1,0,0,0
-74.13659999999999,4.625819999848144,KENNEDY,AMERICAS,2023-05-26,00:00:00,26,5,2023,Viernes,HIPOTECHO,MASCULINO,0,1,0,0,0
-74.19949999999994,4.611749999848595,BOSA,BOSA CENTRAL,2023-02-09,00:00:00,9,2,2023,Jueves,GRAN COLOMBIANO,MASCULINO,0,1,0,0,0
-74.07129999999995,4.720199999845066,SUBA,NIZA,2023-01-14,00:00:00,14,1,2023,Sábado,CIUDAD JARDIN NORTE,MASCULINO,0,1,0,0,0
-74.13419999999996,4.6183499998483715,KENNEDY,AMERICAS,2023-03-08,00:00:00,8,3,2023,Miércoles,HIPOTECHO OCCIDENTAL,MASCULINO,0,1,0,0,0
-74.14979999999997,4.622179999848295,KENNEDY,KENNEDY CENTRAL,2023-05-09,00:00:00,9,5,2023,Martes,CIUDAD KENNEDY ORIENTAL,MASCULINO,0,1,0,0,0
-74.06829999999997,4.668359999846785,BARRIOS UNIDOS,LOS ALCAZARES,2023-08-02,00:00:00,2,8,2023,Miércoles,LA AURORA,MASCULINO,0,1,0,0,0
-74.05489999999998,4.758319999843826,SUBA,SAN JOSE DE BAVARIA,2023-07-28,00:00:00,28,7,2023,Viernes,VILLA DEL PRADO,MASCULINO,0,1,0,0,0
-74.13349999999997,4.59802999984906,PUENTE ARANDA,MUZU,2023-06-03,00:00:00,3,6,2023,Sábado,ALQUERIA,MASCULINO,0,1,0,0,0
-74.05429999999996,4.7291399998447705,SUBA,EL PRADO,2023-03-27,00:00:00,27,3,2023,Lunes,PRADO PINZON,MASCULINO,0,1,0,0,0
-74.07919999999996,4.627989999848098,TEUSAQUILLO,TEUSAQUILLO,2023-03-22,00:00:00,22,3,2023,Miércoles,LAS AMERICAS,MASCULINO,0,1,0,0,0
-74.06449999999995,4.728949999844803,SUBA,CASA BLANCA SUBA,2023-03-08,00:00:00,8,3,2023,Miércoles,ATENAS,MASCULINO,0,1,0,0,0
-74.10229999999996,4.616659999848432,PUENTE ARANDA,ZONA INDUSTRIAL,2023-07-06,00:00:00,6,7,2023,Jueves,LOS EJIDOS,MASCULINO,0,1,0,0,0
-74.13859999999994,4.621839999848258,KENNEDY,AMERICAS,2023-07-06,00:00:00,6,7,2023,Jueves,HIPOTECHO OCCIDENTAL,MASCULINO,0,1,0,0,0
-74.09679999999997,4.679119999846438,ENGATIVÁ,LAS FERIAS,2023-02-12,00:00:00,12,2,2023,Domingo,SAN JOAQUIN,MASCULINO,0,1,0,0,0
-74.09429999999998,4.666339999846832,ENGATIVÁ,JARDIN BOTANICO,2023-01-23,00:00:00,23,1,2023,Lunes,JARDIN BOTANICO,MASCULINO,0,1,0,0,0
-74.05589999999995,4.741569999844363,SUBA,BRITALIA,2023-03-26,00:00:00,26,3,2023,Domingo,CANTAGALLO,MASCULINO,0,1,0,0,0
-74.10289999999998,4.578599999849695,RAFAEL URIBE URIBE,SAN JOSE,2023-04-24,00:00:00,24,4,2023,Lunes,SAN JOSE SUR,MASCULINO,0,1,0,0,0
-74.11899999999997,4.659789999847044,FONTIBÓN,MODELIA,2023-08-11,00:00:00,11,8,2023,Viernes,CAPELLANIA,MASCULINO,0,1,0,0,0
-74.13549999999998,4.5812199998495915,TUNJUELITO,VENECIA,2023-03-26,00:00:00,26,3,2023,Domingo,EL CARMEN,MASCULINO,0,1,0,0,0
-74.20439999999996,4.6111399998486196,BOSA,BOSA CENTRAL,2023-02-18,00:00:00,18,2,2023,Sábado,LOS LAURELES,MASCULINO,0,1,0,0,0
-74.17779999999993,4.587899999849382,CIUDAD BOLÍVAR,ISMAEL PERDOMO,2023-01-17,00:00:00,17,1,2023,Martes,LOS TRES REYES I,MASCULINO,0,1,0,0,0
-74.06339999999994,4.678489999846458,BARRIOS UNIDOS,LOS ANDES,2023-01-27,00:00:00,27,1,2023,Viernes,LA PATRIA,MASCULINO,0,1,0,0,0
-74.13789999999995,4.563979999850189,TUNJUELITO,TUNJUELITO,2023-02-20,00:00:00,20,2,2023,Lunes,SAN BENITO,MASCULINO,0,1,0,0,0
-74.18699999999995,4.632959999847897,BOSA,EL PORVENIR,2023-09-23,00:00:00,23,9,2023,Sábado,EL CORZO,MASCULINO,0,1,0,0,0
-74.11179999999996,4.607939999848726,PUENTE ARANDA,CIUDAD MONTES,2023-09-04,00:00:00,4,9,2023,Lunes,JORGE GAITAN CORTES,MASCULINO,0,1,0,0,0
-74.16689999999994,4.644239999847534,KENNEDY,CALANDAIMA,2023-06-03,00:00:00,3,6,2023,Sábado,CALANDAIMA,MASCULINO,0,1,0,0,0
-74.07419999999996,4.696689999845847,SUBA,LA FLORESTA,2023-08-01,00:00:00,1,8,2023,Martes,SANTA ROSA,MASCULINO,0,1,0,0,0
-74.16249999999997,4.636749999847818,KENNEDY,PATIO BONITO,2023-05-22,00:00:00,22,5,2023,Lunes,PATIO BONITO,MASCULINO,0,1,0,0,0
-74.10549999999995,4.714329999845297,ENGATIVÁ,MINUTO DE DIOS,2023-04-05,00:00:00,5,4,2023,Miércoles,CIUDAD BACHUE I ETAPA,MASCULINO,0,1,0,0,0
-74.11859999999996,4.600189999848992,PUENTE ARANDA,MUZU,2023-03-01,00:00:00,1,3,2023,Miércoles,AUTOPISTA MUZU,MASCULINO,0,1,0,0,0
-74.13709999999998,4.579699999849665,TUNJUELITO,VENECIA,2023-09-13,00:00:00,13,9,2023,Miércoles,SAN VICENTE FERRER,MASCULINO,0,1,0,0,0
-74.11419999999998,4.753559999844009,SUBA,TIBABUYES,2023-05-05,00:00:00,5,5,2023,Viernes,TIBABUYES II,MASCULINO,0,1,0,0,0
-74.10329999999993,4.54496999985077,USME,PARQUE ENTRENUBES,2023-05-11,00:00:00,11,5,2023,Jueves,ARRAYANES I,MASCULINO,0,1,0,0,0
-74.17299999999994,4.650809999847327,KENNEDY,CALANDAIMA,2023-05-28,00:00:00,28,5,2023,Domingo,GALAN,MASCULINO,0,1,0,0,0
-74.06569999999994,4.6786699998464565,BARRIOS UNIDOS,LOS ANDES,2023-01-31,00:00:00,31,1,2023,Martes,LA PATRIA,MASCULINO,0,1,0,0,0
-74.10579999999999,4.696199999845847,ENGATIVÁ,BOYACA REAL,2023-02-18,00:00:00,18,2,2023,Sábado,FLORENCIA,MASCULINO,0,1,0,0,0
-74.11299999999994,4.602729999848915,PUENTE ARANDA,CIUDAD MONTES,2023-03-30,00:00:00,30,3,2023,Jueves,REMANSO,MASCULINO,0,1,0,0,0
-74.17799999999994,4.617329999848424,KENNEDY,GRAN BRITALIA,2023-05-02,00:00:00,2,5,2023,Martes,GRAN BRITALIA,MASCULINO,0,1,0,0,0
-74.15189999999996,4.610769999848655,KENNEDY,TIMIZA,2023-08-20,00:00:00,20,8,2023,Domingo,TIMIZA A,MASCULINO,0,1,0,0,0
-74.09899999999999,4.630209999847999,PUENTE ARANDA,PUENTE ARANDA,2023-03-12,00:00:00,12,3,2023,Domingo,ORTEZAL,MASCULINO,0,1,0,0,0
-74.14019999999994,4.58983999984931,TUNJUELITO,VENECIA,2023-09-17,00:00:00,17,9,2023,Domingo,VENECIA,MASCULINO,0,1,0,0,0
-74.11509999999998,4.542039999850875,RAFAEL URIBE URIBE,DIANA TURBAY,2023-08-15,00:00:00,15,8,2023,Martes,LA PAZ,MASCULINO,0,1,0,0,0
-74.15169999999995,4.6147199998485045,KENNEDY,TIMIZA,2023-02-21,00:00:00,21,2,2023,Martes,TIMIZA,MASCULINO,0,1,0,0,0
