AÑO,FECHA_HECHO,DIA_SEMANA,GENERO,HORA_HECHO,DIRECCION_HECHO,LONGITUD,LATITUD
2018,2018-01-01,Lunes,MASCULINO,02:30:00,KR 19  CL 7 SUR 9 SUR,"-74,0965401971","4,5905945063"
2018,2018-01-01,Lunes,MASCULINO,05:13:00,CL 83  KR 5 A  SURESTE,"-74,1086253518","4,5081646739"
2018,2018-01-01,Lunes,MASCULINO,05:30:00,CL 63 A KR 76 A  SUR,"-74,1790343644","4,587200903"
2018,2018-01-01,Lunes,MASCULINO,09:25:00,TR 72 C CL 19 B  SUR,"-74,1662311078","4,5809193246"
2018,2018-01-01,Lunes,FEMENINO,01:00:00,KR 9 B CL 75 A  SUR,"-74,1124685412","4,5127629436"
2018,2018-01-01,Lunes,MASCULINO,04:19:00,DG 71 A TR 13 C  SURESTE,"-74,0920147284","4,5198589979"
2018,2018-01-01,Lunes,MASCULINO,02:35:00,KR 13  CL 135  42 SUR,"-74,1239738095","4,4724039398"
2018,2018-01-01,Lunes,MASCULINO,03:28:00,KR 91  CL 98   NOROCCIDENTE,"-74,0954925489","4,7155072556"
2018,2018-01-01,Lunes,MASCULINO,04:24:00,KR 1 C DG 38 SUR  SUR,"-74,0971278657","4,5527379904"
2018,2018-01-01,Lunes,MASCULINO,07:45:00,CL 75 A KR 78 F  SUROCCIDENTE,"-74,205278879","4,6076251137"
2018,2018-01-02,Martes,MASCULINO,02:20:00,CL 75  KR 57 B  NORTE,"-74,077538491","4,674310749"
2018,2018-01-05,Viernes,MASCULINO,01:00:00,AK 14  CL 11   SUR,"-74,0960326858","4,5851706478"
2018,2018-01-06,Sábado,MASCULINO,21:20:00,KR 18  CL 11   CENTRO,"-74,0846135345","4,6049738376"
2018,2018-01-08,Lunes,FEMENINO,23:55:00,CL 136  KR 157 B  NORTE,"-74,1282745329","4,7422472831"
2018,2018-01-11,Jueves,MASCULINO,10:00:00,CL 4 SUR KR 11 B 13 SUR,"-74,0894327096","4,5869834089"
2018,2018-01-11,Jueves,MASCULINO,20:20:00,KR 30  CL 6   CENTRO,"-74,098312403","4,6065431879"
2018,2018-01-12,Viernes,MASCULINO,13:50:00,DG 72 A KR 27 I 19 ,"-74,1627198234","4,5477867973"
2018,2018-01-12,Viernes,FEMENINO,01:30:00,KR 17  CL 1  55 CENTRO,"-74,0900040008","4,5931117157"
2018,2018-01-12,Viernes,MASCULINO,21:40:00,KR 20  CL 70 B  SUR,"-74,1548803981","4,5485555851"
2018,2018-01-13,Sábado,MASCULINO,23:45:00,CL 105 A KR 7 B  SUR,"-74,1121651855","4,5094147652"
2018,2018-01-14,Domingo,MASCULINO,00:09:00,CL 42  KR 91   SUR,"-74,1735441801","4,6404499899"
2018,2018-01-14,Domingo,MASCULINO,00:29:00,KR 19  CL 21   SUR,"-74,1033218877","4,5835488577"
