LONGITUD,LATITUD,codigo_localidad,nombre_localidad,codigo_upz,nombre_upz,FECHA_HECHO,HORA_HECHO,GENERO,AÑO,theft_to_motorcycles
-74.09172742799996,4.5637253738501835,04,SAN CRISTÓBAL,34,20 DE JULIO,2019-07-09,00:00:00,FEMENINO,2019,1
-74.09211030899996,4.6154623908484975,16,PUENTE ARANDA,108,ZONA INDUSTRIAL,2019-04-22,00:00:00,FEMENINO,2019,1
-74.17117851799998,4.620169860848306,08,KENNEDY,81,GRAN BRITALIA,2018-09-28,00:00:00,MASCULINO,2018,1
-74.16509110099997,4.6127583588485885,08,KENNEDY,48,TIMIZA,2018-06-18,00:00:00,MASCULINO,2018,1
-74.11591563599995,4.68155064684634,10,ENGATIVÁ,31,SANTA CECILIA,2019-04-05,00:00:00,MASCULINO,2019,1
-74.14423348499997,4.545452504850792,19,CIUDAD BOLÍVAR,67,LUCERO,2019-12-16,00:00:00,MASCULINO,2019,1
-74.09440970499998,4.5254973348514405,05,USME,60,PARQUE ENTRENUBES,2020-02-27,00:00:00,MASCULINO,2020,1
-74.12310272999997,4.710332069845404,10,ENGATIVÁ,73,GARCES NAVAS,2020-02-03,00:00:00,MASCULINO,2020,1
-74.18681654199997,4.605587577848805,07,BOSA,85,BOSA CENTRAL,2019-09-07,00:00:00,MASCULINO,2019,1
-74.08698763199999,4.723190463844962,11,SUBA,28,EL RINCON,2019-10-25,00:00:00,MASCULINO,2019,1
-74.13739836999997,4.654747883847238,08,KENNEDY,46,CASTILLA,2019-04-03,00:00:00,MASCULINO,2019,1
-74.16761983999999,4.637062007847782,08,KENNEDY,82,PATIO BONITO,2018-12-18,00:00:00,MASCULINO,2018,1
-74.11075900499998,4.684328438846269,10,ENGATIVÁ,31,SANTA CECILIA,2019-05-02,00:00:00,MASCULINO,2019,1
-74.16790753599997,4.637625405847761,08,KENNEDY,82,PATIO BONITO,2020-12-14,00:00:00,MASCULINO,2020,1
-74.08865180399994,4.560547752850265,04,SAN CRISTÓBAL,32,SAN BLAS,2019-04-09,00:00:00,MASCULINO,2019,1
-74.18353672599994,4.639921830847688,07,BOSA,86,EL PORVENIR,2018-12-28,00:00:00,FEMENINO,2018,1
-74.15352728799996,4.59607277684915,19,CIUDAD BOLÍVAR,65,ARBORIZADORA,2021-06-24,00:00:00,MASCULINO,2021,1
-74.09030163099999,4.679990377846412,10,ENGATIVÁ,26,LAS FERIAS,2019-02-27,00:00:00,MASCULINO,2019,1
-74.10687556699997,4.584545753849486,18,RAFAEL URIBE URIBE,39,QUIROGA,2019-06-26,00:00:00,MASCULINO,2019,1
-74.14441080499995,4.5654498378501325,19,CIUDAD BOLÍVAR,66,SAN FRANCISCO,2019-11-26,00:00:00,MASCULINO,2019,1
-74.12471246199993,4.705292117845564,10,ENGATIVÁ,73,GARCES NAVAS,2019-12-22,00:00:00,MASCULINO,2019,1
-74.13738790499997,4.5923524138492535,06,TUNJUELITO,42,VENECIA,2018-06-12,00:00:00,MASCULINO,2018,1
-74.14456854199994,4.544654438850806,19,CIUDAD BOLÍVAR,67,LUCERO,2021-06-26,00:00:00,MASCULINO,2021,1
