LONGITUD,LATITUD,codigo_localidad,nombre_localidad,codigo_upz,nombre_upz,FECHA_HECHO,HORA_HECHO,DIA,MES,AÑO,DIA_SEMANA,DIRECCION_HECHO,GENERO,theft_to_vehicle
-74.13866022599996,4.6196712048483395,08,KENNEDY,44,AMERICAS,2018-09-11,00:00:00,11,9,2018,Martes,HIPOTECHO OCCIDENTAL,MASCULINO,1
-74.06739398899998,4.761802518843753,11,SUBA,17,SAN JOSE DE BAVARIA,2019-09-03,00:00:00,3,9,2019,Martes,NUEVA ZELANDIA,MASCULINO,1
-74.02382394899996,4.703439189845615,01,USAQUÉN,14,USAQUEN,2018-05-11,00:00:00,11,5,2018,Viernes,LAS DELICIAS DEL CARMEN II SECTOR,MASCULINO,1
-74.10934542599995,4.673147857846613,10,ENGATIVÁ,31,SANTA CECILIA,2019-06-28,00:00:00,28,6,2019,Viernes,NORMANDIA OCCIDENTAL,MASCULINO,1
-74.10182641499995,4.747088303844204,11,SUBA,28,EL RINCON,2018-07-30,00:00:00,30,7,2018,Lunes,EL POA,MASCULINO,1
-74.08205847899995,4.587357530849425,03,SANTA FE,95,LAS CRUCES,2021-05-20,00:00:00,20,5,2021,Jueves,LAS CRUCES,FEMENINO,1
-74.10783274799996,4.581897499849561,18,RAFAEL URIBE URIBE,39,QUIROGA,2020-12-14,00:00:00,14,12,2020,Lunes,OLAYA,FEMENINO,1
-74.15886488399997,4.5861644058494155,19,CIUDAD BOLÍVAR,65,ARBORIZADORA,2018-09-22,00:00:00,22,9,2018,Sábado,EL ENSUENO,MASCULINO,1
-74.11041139799994,4.61833614284837,16,PUENTE ARANDA,43,SAN RAFAEL,2020-10-29,00:00:00,29,10,2020,Jueves,SAN FRANCISCO,MASCULINO,1
-74.17536331699995,4.633155989847908,08,KENNEDY,83,LAS MARGARITAS,2018-12-15,00:00:00,15,12,2018,Sábado,LAS MARGARITAS,MASCULINO,1
-74.09919402299994,4.675183271846524,10,ENGATIVÁ,26,LAS FERIAS,2020-07-31,00:00:00,31,7,2020,Viernes,SAN JOAQUIN,MASCULINO,1
-74.12599465499994,4.574414629849809,18,RAFAEL URIBE URIBE,39,QUIROGA,2021-02-10,00:00:00,10,2,2021,Miércoles,SANTA LUCIA,MASCULINO,1
