"LONGITUD","LATITUD","codigo_localidad","nombre_localidad","codigo_upz","nombre_upz","FECHA_HECHO","HORA_HECHO","DIA","MES","AÑO","DIA_SEMANA","DIRECCION_HECHO","GENERO","sexual"
"-74.15014405199997","4.634357189847893","8","KENNEDY","46","CASTILLA","2020-07-25","00:00:00","25","7","2020","Sábado","PIO XII","FEMENINO","1"
"-74.17517482799997","4.6362619958477955","8","KENNEDY","83","LAS MARGARITAS","2018-06-01","00:00:00","1","6","2018","Viernes","LAS MARGARITAS","FEMENINO","1"
"-74.13695245299994","4.602420330848938","8","KENNEDY","45","CARVAJAL","2018-08-16","00:00:00","16","8","2018","Jueves","ALQUERIA LA FRAGUA","FEMENINO","1"
"-74.09221057699995","4.59862917184907","14","LOS MÁRTIRES","37","SANTA ISABEL","2018-01-02","00:00:00","2","1","2018","Martes","EL PROGRESO","FEMENINO","1"
"-74.14638799999994","4.633694683847883","8","KENNEDY","46","CASTILLA","2019-05-24","00:00:00","24","5","2019","Viernes","LAS DOS AVENIDAS","FEMENINO","1"
"-74.06940999999995","4.614959999848515","3","SANTA FE","91","SAGRADO CORAZON","2018-04-15","00:00:00","15","4","2018","Domingo","SAN DIEGO","FEMENINO","1"
"-74.10929763599995","4.554908315850441","18","RAFAEL URIBE URIBE","54","MARRUECOS","2019-05-10","00:00:00","10","5","2019","Viernes","LOS MOLINOS","FEMENINO","1"
"-74.14484599999997","4.5458439998507565","19","CIUDAD BOLÍVAR","67","LUCERO","2020-05-18","00:00:00","18","5","2020","Lunes","ESTRELLA DEL SUR","MASCULINO","1"
"-74.05340999999999","4.66899999984674","2","CHAPINERO","97","CHICO LAGO","2020-07-15","00:00:00","15","7","2020","Miércoles","LA CABRERA","MASCULINO","1"
"-74.05340999999999","4.66899999984674","2","CHAPINERO","97","CHICO LAGO","2020-06-04","00:00:00","4","6","2020","Jueves","LA CABRERA","FEMENINO","1"
"-74.02661677699996","4.765292677843604","1","USAQUÉN","9","VERBENAL","2018-04-13","00:00:00","13","4","2018","Viernes","BUENAVISTA","FEMENINO","1"
"-74.14934199999993","4.564760999850128","19","CIUDAD BOLÍVAR","66","SAN FRANCISCO","2018-07-16","00:00:00","16","7","2018","Lunes","SAN FRANCISCO","MASCULINO","1"
"-74.12873654199996","4.704897457845593","10","ENGATIVÁ","74","ENGATIVA","2020-04-19","00:00:00","19","4","2020","Domingo","SAN ANTONIO ENGATIVA","FEMENINO","1"
"-74.07717799999995","4.595089999849136","17","CANDELARIA","94","LA CANDELARIA","2019-09-11","00:00:00","11","9","2019","Miércoles","CENTRO ADMINISTRATIVO","FEMENINO","1"
"-74.18303999999995","4.599031999848998","7","BOSA","85","BOSA CENTRAL","2021-06-09","00:00:00","9","6","2021","Miércoles","GUALOCHE","FEMENINO","1"
"-74.02385533299997","4.765863880843583","1","USAQUÉN","9","VERBENAL","2018-06-16","00:00:00","16","6","2018","Sábado","LA ESTRELLITA I","FEMENINO","1"
"-74.07717799999995","4.595089999849136","17","CANDELARIA","94","LA CANDELARIA","2019-10-03","00:00:00","3","10","2019","Jueves","CENTRO ADMINISTRATIVO","FEMENINO","1"
"-74.07717799999995","4.595089999849136","17","CANDELARIA","94","LA CANDELARIA","2019-08-05","00:00:00","5","8","2019","Lunes","CENTRO ADMINISTRATIVO","FEMENINO","1"
