LONGITUD,LATITUD,codigo_localidad,nombre_localidad,codigo_upz,nombre_upz,FECHA_HECHO,HORA_HECHO,GENERO,AÑO,homicide
-74.17061688999996,4.637059758847802,08,KENNEDY,82,PATIO BONITO,2021-08-21,00:00:00,MASCULINO,2021,1
-74.12266736499998,4.523966894851479,05,USME,57,GRAN YOMASA,2018-07-29,00:00:00,MASCULINO,2018,1
-74.16219999999998,4.546949999850715,19,CIUDAD BOLÍVAR,UPR3,UPR RIO TUNJUELO,2023-07-23,00:00:00,MASCULINO,2023,1
-74.09739999999994,4.5462699998507485,04,SAN CRISTÓBAL,51,LOS LIBERTADORES,2023-06-23,00:00:00,MASCULINO,2023,1
-74.17769999999996,4.584899999849502,19,CIUDAD BOLÍVAR,69,ISMAEL PERDOMO,2023-04-14,00:00:00,FEMENINO,2023,1
-74.08355399499999,4.561674558850231,04,SAN CRISTÓBAL,32,SAN BLAS,2020-08-30,00:00:00,FEMENINO,2020,1
-74.11629999999997,4.499089999852254,05,USME,58,COMUNEROS,2022-01-12,00:00:00,MASCULINO,2022,1
-74.16570165799999,4.628438597848078,08,KENNEDY,80,CORABASTOS,2020-10-02,00:00:00,MASCULINO,2020,1
-74.11142112399995,4.5781240348496866,18,RAFAEL URIBE URIBE,39,QUIROGA,2021-06-03,00:00:00,MASCULINO,2021,1
-74.13845360299996,4.664681106846874,09,FONTIBÓN,112,GRANJAS DE TECHO,2018-12-09,00:00:00,MASCULINO,2018,1
-74.07558648299994,4.610792662848635,14,LOS MÁRTIRES,102,LA SABANA,2018-06-26,00:00:00,FEMENINO,2018,1
-74.06548096199998,4.651015939847323,12,BARRIOS UNIDOS,98,LOS ALCAZARES,2021-04-26,00:00:00,MASCULINO,2021,1
-74.04787653799997,4.766012110843607,11,SUBA,17,SAN JOSE DE BAVARIA,2019-08-06,00:00:00,MASCULINO,2019,1
-74.07406708899998,4.614152207848548,14,LOS MÁRTIRES,102,LA SABANA,2020-12-30,00:00:00,MASCULINO,2020,1
-74.03171777499995,4.739995843844412,01,USAQUÉN,11,SAN CRISTOBAL NORTE,2020-12-22,00:00:00,MASCULINO,2020,1
-74.12471511599995,4.747340732844199,11,SUBA,71,TIBABUYES,2020-11-23,00:00:00,MASCULINO,2020,1
-74.13845904799996,4.54566227685079,19,CIUDAD BOLÍVAR,68,EL TESORO,2021-03-23,00:00:00,MASCULINO,2021,1
-74.16951131699994,4.573045113849846,19,CIUDAD BOLÍVAR,69,ISMAEL PERDOMO,2020-11-06,00:00:00,MASCULINO,2020,1
-74.02684901599997,4.738128963844506,01,USAQUÉN,11,SAN CRISTOBAL NORTE,2018-11-30,00:00:00,MASCULINO,2018,1
-74.18254997099996,4.629244194848068,07,BOSA,84,BOSA OCCIDENTAL,2021-04-03,00:00:00,MASCULINO,2021,1
-74.12639999999993,4.58781999984936,18,RAFAEL URIBE URIBE,39,QUIROGA,2022-09-11,00:00:00,MASCULINO,2022,1
-74.15331446299996,4.683624218846245,09,FONTIBÓN,75,FONTIBON,2021-05-11,00:00:00,MASCULINO,2021,1
-74.17036944599994,4.604583238848827,08,KENNEDY,48,TIMIZA,2021-07-06,00:00:00,MASCULINO,2021,1
-74.12274742199997,4.568939613849998,18,RAFAEL URIBE URIBE,53,MARCO FIDEL SUAREZ,2021-06-28,00:00:00,MASCULINO,2021,1
-74.15775015199995,4.63445727084786,08,KENNEDY,80,CORABASTOS,2018-11-05,00:00:00,MASCULINO,2018,1
-74.09594815799994,4.562863544850176,04,SAN CRISTÓBAL,34,20 DE JULIO,2021-12-17,00:00:00,MASCULINO,2021,1
-74.11147969699994,4.630119504848002,16,PUENTE ARANDA,111,PUENTE ARANDA,2021-10-28,00:00:00,MASCULINO,2021,1
-74.17869805099997,4.643496720847612,08,KENNEDY,82,PATIO BONITO,2021-10-30,00:00:00,MASCULINO,2021,1
-74.11246854099994,4.512762943851819,05,USME,57,GRAN YOMASA,2018-01-01,00:00:00,FEMENINO,2018,1
-74.16979999999995,4.624409999848222,08,KENNEDY,81,GRAN BRITALIA,2022-01-30,00:00:00,MASCULINO,2022,1
-74.14609999999993,4.55739999985036,19,CIUDAD BOLÍVAR,67,LUCERO,2022-12-11,00:00:00,MASCULINO,2022,1
-74.04939441899995,4.676467745846534,02,CHAPINERO,97,CHICO LAGO,2018-12-05,00:00:00,MASCULINO,2018,1
-74.19354466499993,4.607423530848754,07,BOSA,85,BOSA CENTRAL,2021-12-27,00:00:00,MASCULINO,2021,1
