LONGITUD,LATITUD,codigo_localidad,nombre_localidad,codigo_upz,nombre_upz,FECHA_HECHO,HORA_HECHO,GENERO,AÑO,sexual_crimes
-74.13374399999998,4.680263999846358,09,FONTIBÓN,75,FONTIBON,2018-11-03,00:00:00,FEMENINO,2018,1
-74.18674599999997,4.640341999847666,07,BOSA,86,EL PORVENIR,2020-01-17,00:00:00,FEMENINO,2020,1
-74.13696911699998,4.543725651850813,19,CIUDAD BOLÍVAR,68,EL TESORO,2019-03-31,00:00:00,FEMENINO,2019,1
-74.08499131799994,4.737168316844544,11,SUBA,28,EL RINCON,2019-06-13,00:00:00,FEMENINO,2019,1
-74.10541099999995,4.544315999850794,18,RAFAEL URIBE URIBE,55,DIANA TURBAY,2018-12-27,00:00:00,FEMENINO,2018,1
-74.08415578499995,4.55587958285042,04,SAN CRISTÓBAL,32,SAN BLAS,2018-02-10,00:00:00,FEMENINO,2018,1
-74.08523999999994,4.738029999844492,11,SUBA,27,SUBA,2018-05-25,00:00:00,FEMENINO,2018,1
-74.12218260399999,4.606084659848766,16,PUENTE ARANDA,40,CIUDAD MONTES,2018-05-28,00:00:00,FEMENINO,2018,1
-74.11995699999994,4.747708999844183,11,SUBA,71,TIBABUYES,2019-09-02,00:00:00,FEMENINO,2019,1
-74.09763899999996,4.7280189998448545,11,SUBA,28,EL RINCON,2019-07-01,00:00:00,FEMENINO,2019,1
-74.20848999999998,4.6130559998485525,07,BOSA,85,BOSA CENTRAL,2019-11-21,00:00:00,FEMENINO,2019,1
-74.16312299999998,4.632907999847918,08,KENNEDY,80,CORABASTOS,2019-10-12,00:00:00,FEMENINO,2019,1
-74.03674199999995,4.611407999848621,03,SANTA FE,992,SIN UPZ SANTA FE,2019-07-30,00:00:00,FEMENINO,2019,1
-74.20016599999997,4.624768336848171,07,BOSA,84,BOSA OCCIDENTAL,2019-02-15,00:00:00,FEMENINO,2019,1
-74.14963399999993,4.569186999850003,19,CIUDAD BOLÍVAR,66,SAN FRANCISCO,2019-07-20,00:00:00,FEMENINO,2019,1
-74.08899455499994,4.5640254888501905,04,SAN CRISTÓBAL,34,20 DE JULIO,2019-09-22,00:00:00,MASCULINO,2019,1
-74.09129999999993,4.735262999844581,11,SUBA,28,EL RINCON,2020-02-04,00:00:00,FEMENINO,2020,1
-74.08617999999996,4.616209999848441,14,LOS MÁRTIRES,102,LA SABANA,2021-08-10,00:00:00,FEMENINO,2021,1
-74.04353854199996,4.703364457845652,01,USAQUÉN,16,SANTA BARBARA,2020-06-18,00:00:00,FEMENINO,2020,1
-74.15974999999997,4.639989999847715,08,KENNEDY,82,PATIO BONITO,2019-11-04,00:00:00,MASCULINO,2019,1
-74.15014405199997,4.634357189847893,08,KENNEDY,46,CASTILLA,2020-07-25,00:00:00,FEMENINO,2020,1
-74.17517482799997,4.6362619958477955,08,KENNEDY,83,LAS MARGARITAS,2018-06-01,00:00:00,FEMENINO,2018,1
-74.13695245299994,4.602420330848938,08,KENNEDY,45,CARVAJAL,2018-08-16,00:00:00,FEMENINO,2018,1
-74.09221057699995,4.59862917184907,14,LOS MÁRTIRES,37,SANTA ISABEL,2018-01-02,00:00:00,FEMENINO,2018,1
-74.14638799999994,4.633694683847883,08,KENNEDY,46,CASTILLA,2019-05-24,00:00:00,FEMENINO,2019,1
-74.06940999999995,4.614959999848515,03,SANTA FE,91,SAGRADO CORAZON,2018-04-15,00:00:00,FEMENINO,2018,1
-74.10929763599995,4.554908315850441,18,RAFAEL URIBE URIBE,54,MARRUECOS,2019-05-10,00:00:00,FEMENINO,2019,1
-74.14484599999997,4.5458439998507565,19,CIUDAD BOLÍVAR,67,LUCERO,2020-05-18,00:00:00,MASCULINO,2020,1
-74.05340999999999,4.66899999984674,02,CHAPINERO,97,CHICO LAGO,2020-07-15,00:00:00,MASCULINO,2020,1
-74.05340999999999,4.66899999984674,02,CHAPINERO,97,CHICO LAGO,2020-06-04,00:00:00,FEMENINO,2020,1
-74.02661677699996,4.765292677843604,01,USAQUÉN,9,VERBENAL,2018-04-13,00:00:00,FEMENINO,2018,1
-74.14934199999993,4.564760999850128,19,CIUDAD BOLÍVAR,66,SAN FRANCISCO,2018-07-16,00:00:00,MASCULINO,2018,1
-74.12873654199996,4.704897457845593,10,ENGATIVÁ,74,ENGATIVA,2020-04-19,00:00:00,FEMENINO,2020,1
-74.07717799999995,4.595089999849136,17,CANDELARIA,94,LA CANDELARIA,2019-09-11,00:00:00,FEMENINO,2019,1
-74.18303999999995,4.599031999848998,07,BOSA,85,BOSA CENTRAL,2021-06-09,00:00:00,FEMENINO,2021,1
-74.02385533299997,4.765863880843583,01,USAQUÉN,9,VERBENAL,2018-06-16,00:00:00,FEMENINO,2018,1
-74.07717799999995,4.595089999849136,17,CANDELARIA,94,LA CANDELARIA,2019-10-03,00:00:00,FEMENINO,2019,1
-74.07717799999995,4.595089999849136,17,CANDELARIA,94,LA CANDELARIA,2019-08-05,00:00:00,FEMENINO,2019,1
-74.07717799999995,4.595089999849136,17,CANDELARIA,94,LA CANDELARIA,2019-09-05,00:00:00,FEMENINO,2019,1
-74.19722786699998,4.64178364584761,07,BOSA,86,EL PORVENIR,2019-01-27,00:00:00,FEMENINO,2019,1
-74.09311099999996,4.557150999850374,04,SAN CRISTÓBAL,34,20 DE JULIO,2021-07-28,00:00:00,FEMENINO,2021,1
-74.09191799999996,4.747535999844172,11,SUBA,27,SUBA,2020-08-22,00:00:00,MASCULINO,2020,1
-74.11096999999995,4.569619999849979,18,RAFAEL URIBE URIBE,53,MARCO FIDEL SUAREZ,2021-07-15,00:00:00,FEMENINO,2021,1
-74.18645399999997,4.613010999848549,07,BOSA,85,BOSA CENTRAL,2021-03-10,00:00:00,MASCULINO,2021,1
-74.18642291499998,4.600980725848955,07,BOSA,85,BOSA CENTRAL,2020-12-23,00:00:00,FEMENINO,2020,1
-74.09898399999997,4.655922999847153,13,TEUSAQUILLO,104,PARQUE SIMON BOLIVAR - CAN,2019-08-14,00:00:00,FEMENINO,2019,1
-74.11605199999997,4.519815999851602,05,USME,57,GRAN YOMASA,2018-08-08,00:00:00,MASCULINO,2018,1
-74.18999599999995,4.639516999847731,07,BOSA,86,EL PORVENIR,2020-03-27,00:00:00,FEMENINO,2020,1
-74.20718699999998,4.607356999848745,07,BOSA,85,BOSA CENTRAL,2018-12-12,00:00:00,FEMENINO,2018,1
-74.20595267899995,4.622449281848265,07,BOSA,84,BOSA OCCIDENTAL,2018-02-16,00:00:00,FEMENINO,2018,1
-74.09281699999997,4.562870999850181,04,SAN CRISTÓBAL,34,20 DE JULIO,2019-07-18,00:00:00,FEMENINO,2019,1
-74.18435603499995,4.631061515847978,07,BOSA,84,BOSA OCCIDENTAL,2019-04-22,00:00:00,FEMENINO,2019,1
-74.01472699999994,4.733540999844659,01,USAQUÉN,11,SAN CRISTOBAL NORTE,2019-08-29,00:00:00,FEMENINO,2019,1
-74.19191468199995,4.604360683848833,07,BOSA,85,BOSA CENTRAL,2019-02-10,00:00:00,FEMENINO,2019,1
-74.16081211699998,4.569056652850027,19,CIUDAD BOLÍVAR,70,JERUSALEM,2019-03-25,00:00:00,FEMENINO,2019,1
-74.07239999999996,4.569000999850024,04,SAN CRISTÓBAL,32,SAN BLAS,2020-02-18,00:00:00,MASCULINO,2020,1
