"LONGITUD","LATITUD","FECHA_HECHO","HORA_HECHO","GENERO","AÑO","theft_to_people"
"-74.04419999999999","4.705099999845601","2022-08-31","00:00:00","MASCULINO","2022","1"
"-74.03399999999993","4.723089999845014","2022-12-23","00:00:00","MASCULINO","2022","1"
"-74.02899999999994","4.770679999843419","2022-11-05","00:00:00","FEMENINO","2022","1"
"-74.03359999999998","4.712839999845302","2022-05-04","00:00:00","MASCULINO","2022","1"
"-74.04329999999999","4.7522699998440565","2022-03-23","00:00:00","FEMENINO","2022","1"
"-74.02959999999996","4.744039999844294","2022-07-27","00:00:00","MASCULINO","2022","1"
"-74.05173005999995","4.693007021845991","2018-12-28","00:00:00","FEMENINO","2018","1"
"-74.04729999999995","4.745669999844277","2022-04-27","00:00:00","MASCULINO","2022","1"
"-74.03496047999994","4.725811812844914","2018-11-21","00:00:00","MASCULINO","2018","1"
"-74.04497799999996","4.724060063844981","2019-04-22","00:00:00","MASCULINO","2019","1"
"-74.03255721999994","4.713033503845332","2020-01-16","00:00:00","FEMENINO","2020","1"
"-74.04039999999998","4.728169999844812","2022-03-11","00:00:00","MASCULINO","2022","1"
"-74.04030586999994","4.699438108845735","2020-06-11","00:00:00","FEMENINO","2020","1"
"-74.05339791999995","4.691964698845992","2018-03-02","00:00:00","MASCULINO","2018","1"
"-74.05690849999996","4.687009855846149","2020-01-09","00:00:00","MASCULINO","2020","1"
"-74.04459999999995","4.697109999845849","2022-02-15","00:00:00","MASCULINO","2022","1"
"-74.03859999999997","4.756829999843874","2022-02-15","00:00:00","FEMENINO","2022","1"
"-74.04914156999996","4.725661105844932","2020-07-07","00:00:00","MASCULINO","2020","1"
"-74.03205360999993","4.7281886748448425","2020-12-17","00:00:00","FEMENINO","2020","1"
"-74.04345503999997","4.73046460984477","2020-08-25","00:00:00","MASCULINO","2020","1"
"-74.03539999999998","4.719549999845082","2022-06-17","00:00:00","MASCULINO","2022","1"
"-74.03972448999997","4.770686348843465","2019-02-26","00:00:00","MASCULINO","2019","1"
"-74.04615556999994","4.75248921784403","2019-04-16","00:00:00","FEMENINO","2019","1"
"-74.04159868999994","4.702477481845679","2019-11-04","00:00:00","MASCULINO","2019","1"
"-74.05661126999996","4.687854526846153","2019-11-28","00:00:00","FEMENINO","2019","1"
"-74.03748460999998","4.760082210843788","2021-10-23","00:00:00","FEMENINO","2021","1"
"-74.02899999999994","4.734779999844615","2022-07-19","00:00:00","MASCULINO","2022","1"
"-74.02253588999997","4.7431332228443175","2018-02-08","00:00:00","FEMENINO","2018","1"
"-74.03517328999999","4.721664660845023","2018-08-17","00:00:00","MASCULINO","2018","1"
"-74.04736032999995","4.745439931844285","2021-12-15","00:00:00","FEMENINO","2021","1"
"-74.04198279999997","4.7552649878439155","2018-11-02","00:00:00","FEMENINO","2018","1"
"-74.02714988999998","4.7205314008451","2021-06-05","00:00:00","MASCULINO","2021","1"
"-74.04641887999998","4.693008506845978","2019-12-16","00:00:00","FEMENINO","2019","1"
"-74.04765408999998","4.739331892844452","2018-12-19","00:00:00","MASCULINO","2018","1"
"-74.04787799999997","4.74032713684444","2020-06-26","00:00:00","FEMENINO","2020","1"
"-74.02982867999998","4.717201476845189","2018-01-11","00:00:00","MASCULINO","2018","1"
"-74.04296459999995","4.707893600845461","2018-06-23","00:00:00","FEMENINO","2018","1"
"-74.03187908999996","4.800299165842489","2019-12-15","00:00:00","MASCULINO","2019","1"
"-74.02690415999996","4.721043832845073","2020-02-25","00:00:00","MASCULINO","2020","1"
"-74.05157002999994","4.719183293845125","2019-06-18","00:00:00","MASCULINO","2019","1"
"-74.03532904999997","4.725448884844914","2019-07-08","00:00:00","MASCULINO","2019","1"
"-74.04209999999995","4.728219999844799","2022-02-10","00:00:00","FEMENINO","2022","1"
"-74.02935134999996","4.716767799845213","2020-09-11","00:00:00","FEMENINO","2020","1"
"-74.03450175999996","4.7075015018455195","2018-04-20","00:00:00","FEMENINO","2018","1"
"-74.03524938999993","4.694797276845881","2018-05-12","00:00:00","FEMENINO","2018","1"
"-74.04184838999998","4.716034474845246","2019-06-18","00:00:00","MASCULINO","2019","1"
"-74.03570022999997","4.69779412884581","2021-07-15","00:00:00","FEMENINO","2021","1"
"-74.03315099999998","4.748272609844188","2020-07-10","00:00:00","FEMENINO","2020","1"
"-74.04250207999996","4.703543964845626","2018-08-24","00:00:00","FEMENINO","2018","1"
"-74.04462715999995","4.7316942218447","2019-12-11","00:00:00","FEMENINO","2019","1"
