"LONGITUD","LATITUD","FECHA_HECHO","HORA_HECHO","GENERO","AÑO","theft_to_people"
"-74.04940148999998","4.728016070844848","2019-08-21","00:00:00","MASCULINO","2019","1"
"-74.04340407999996","4.7409910898443774","2019-10-12","00:00:00","FEMENINO","2019","1"
"-74.03004666999993","4.709218703845413","2020-12-15","00:00:00","MASCULINO","2020","1"
"-74.03489576999993","4.726414508844883","2021-07-31","00:00:00","MASCULINO","2021","1"
"-74.04242970999996","4.729506867844776","2020-10-29","00:00:00","MASCULINO","2020","1"
"-74.04740711999995","4.741854360844364","2020-11-30","00:00:00","MASCULINO","2020","1"
"-74.04873144999993","4.705052981845568","2021-05-15","00:00:00","FEMENINO","2021","1"
"-74.03138700999995","4.754460755843991","2019-01-17","00:00:00","MASCULINO","2019","1"
"-74.05006958999996","4.726653096844873","2020-02-07","00:00:00","FEMENINO","2020","1"
"-74.04048463999999","4.721056038845082","2019-03-11","00:00:00","FEMENINO","2019","1"
"-74.05347844999994","4.707082262845537","2019-03-11","00:00:00","MASCULINO","2019","1"
"-74.04296418999996","4.770046900843468","2019-07-15","00:00:00","FEMENINO","2019","1"
"-74.02768632999994","4.726588513844899","2018-06-20","00:00:00","FEMENINO","2018","1"
"-74.03009999999995","4.693449999845946","2022-10-21","00:00:00","MASCULINO","2022","1"
"-74.03129999999999","4.712969999845312","2022-03-30","00:00:00","FEMENINO","2022","1"
"-74.03120211999999","4.758077040843836","2019-09-15","00:00:00","MASCULINO","2019","1"
"-74.03017395999996","4.710404548845387","2019-06-18","00:00:00","MASCULINO","2019","1"
"-74.04266980999995","4.7043008588456106","2019-06-21","00:00:00","FEMENINO","2019","1"
"-74.03321704999996","4.693757006845942","2019-06-21","00:00:00","FEMENINO","2019","1"
"-74.04278503999996","4.7715953658434","2020-02-06","00:00:00","MASCULINO","2020","1"
"-74.04830906999996","4.685718706846193","2021-02-10","00:00:00","FEMENINO","2021","1"
"-74.04206296999996","4.702480686845655","2018-03-24","00:00:00","FEMENINO","2018","1"
"-74.03700349999997","4.797336061842587","2018-03-24","00:00:00","MASCULINO","2018","1"
"-74.05425385999996","4.704576035845593","2019-06-19","00:00:00","MASCULINO","2019","1"
"-74.04866042999998","4.686585128846167","2018-08-21","00:00:00","MASCULINO","2018","1"
"-74.04188142999999","4.717693652845139","2020-11-01","00:00:00","FEMENINO","2020","1"
"-74.04632686999997","4.7243160778449695","2020-01-25","00:00:00","FEMENINO","2020","1"
"-74.04512755999997","4.692831379845955","2020-09-16","00:00:00","MASCULINO","2020","1"
"-74.04337188999995","4.752756040844028","2018-03-20","00:00:00","MASCULINO","2018","1"
"-74.02303996999996","4.748644327844178","2019-01-23","00:00:00","MASCULINO","2019","1"
"-74.03679949999997","4.75664129784388","2021-04-19","00:00:00","MASCULINO","2021","1"
"-74.03174182999999","4.748207622844169","2020-07-11","00:00:00","MASCULINO","2020","1"
"-74.04731415999998","4.743750029844328","2019-01-06","00:00:00","FEMENINO","2019","1"
"-74.04619999999994","4.723489999844957","2022-07-03","00:00:00","MASCULINO","2022","1"
"-74.05078966999997","4.692523746845985","2018-06-23","00:00:00","MASCULINO","2018","1"
"-74.03294345999996","4.710287964845379","2019-09-02","00:00:00","FEMENINO","2019","1"
"-74.04406925999996","4.7326030648446675","2019-05-14","00:00:00","MASCULINO","2019","1"
"-74.05238410999993","4.706267534845542","2021-07-14","00:00:00","FEMENINO","2021","1"
"-74.05038854999998","4.716060310845205","2018-09-04","00:00:00","FEMENINO","2018","1"
"-74.03521664999994","4.72532899484491","2019-05-07","00:00:00","FEMENINO","2019","1"
"-74.03587413999998","4.6936770528459455","2020-02-07","00:00:00","FEMENINO","2020","1"
"-74.05559125999997","4.690669828846051","2018-08-28","00:00:00","FEMENINO","2018","1"
"-74.05370980999999","4.707064325845485","2018-07-18","00:00:00","MASCULINO","2018","1"
"-74.05295435999994","4.710656316845373","2018-09-28","00:00:00","FEMENINO","2018","1"
"-74.02694541999995","4.720593542845087","2018-09-28","00:00:00","MASCULINO","2018","1"
"-74.04995938999997","4.728743148844786","2020-01-23","00:00:00","MASCULINO","2020","1"
"-74.03238947999995","4.715213086845245","2018-01-17","00:00:00","FEMENINO","2018","1"
"-74.04094550999997","4.699650404845754","2021-07-13","00:00:00","MASCULINO","2021","1"
"-74.05366083999996","4.68642166984621","2020-02-04","00:00:00","MASCULINO","2020","1"
"-74.03927935999997","4.7939416448427155","2019-05-18","00:00:00","FEMENINO","2019","1"
"-74.02757020999996","4.763877657843679","2018-08-31","00:00:00","FEMENINO","2018","1"
"-74.03294977999997","4.740761974844423","2019-07-05","00:00:00","MASCULINO","2019","1"
"-74.04161931999994","4.72583383684489","2021-04-07","00:00:00","MASCULINO","2021","1"
"-74.02997720999997","4.7303435828447435","2021-07-30","00:00:00","MASCULINO","2021","1"
"-74.02913283999999","4.716349197845203","2020-10-25","00:00:00","FEMENINO","2020","1"
"-74.03263341999997","4.712926306845304","2018-10-31","00:00:00","MASCULINO","2018","1"
"-74.03342547999995","4.693856306845926","2018-08-29","00:00:00","MASCULINO","2018","1"
"-74.04498024999998","4.6969195528458325","2021-07-06","00:00:00","MASCULINO","2021","1"
"-74.03457423999998","4.734238977844642","2020-10-07","00:00:00","MASCULINO","2020","1"
"-74.03872159999997","4.703851765845632","2018-01-19","00:00:00","MASCULINO","2018","1"
"-74.02328695999995","4.7681287218435076","2018-03-25","00:00:00","MASCULINO","2018","1"
"-74.03263436999998","4.769066600843463","2021-06-08","00:00:00","MASCULINO","2021","1"
"-74.02298709999997","4.742878247844362","2020-07-08","00:00:00","MASCULINO","2020","1"
"-74.04911468999995","4.720999838845067","2018-10-11","00:00:00","FEMENINO","2018","1"
"-74.04540828999995","4.755771176843921","2018-06-06","00:00:00","MASCULINO","2018","1"
"-74.03553774999995","4.69428928284592","2019-07-06","00:00:00","MASCULINO","2019","1"
"-74.03581335999996","4.6854457408461885","2021-03-27","00:00:00","MASCULINO","2021","1"
"-74.04409014999999","4.732093837844671","2019-05-07","00:00:00","FEMENINO","2019","1"
"-74.03268487999998","4.714246407845289","2021-03-01","00:00:00","FEMENINO","2021","1"
"-74.05289456999998","4.712245337845348","2019-09-14","00:00:00","FEMENINO","2019","1"
"-74.03543254999994","4.687756654846136","2018-02-17","00:00:00","MASCULINO","2018","1"
"-74.03559270999995","4.703901440845593","2018-03-07","00:00:00","MASCULINO","2018","1"
"-74.02807256999995","4.722176400845044","2018-04-03","00:00:00","MASCULINO","2018","1"
"-74.04839297999996","4.712959474845316","2018-09-21","00:00:00","MASCULINO","2018","1"
"-74.05508818999994","4.697658402845812","2018-04-18","00:00:00","MASCULINO","2018","1"
"-74.02429459999996","4.736451207844567","2019-07-02","00:00:00","MASCULINO","2019","1"
"-74.03825422999995","4.680159889846364","2019-09-13","00:00:00","FEMENINO","2019","1"
"-74.04350062999998","4.68274327984632","2019-11-28","00:00:00","FEMENINO","2019","1"
"-74.02534752999998","4.734052700844637","2020-12-28","00:00:00","MASCULINO","2020","1"
"-74.04578759999998","4.690651602846048","2020-12-09","00:00:00","FEMENINO","2020","1"
"-74.04268440999994","4.687645531846133","2021-05-06","00:00:00","FEMENINO","2021","1"
"-74.02630228999993","4.722986010844994","2019-03-25","00:00:00","MASCULINO","2019","1"
"-74.04475053999994","4.732079143844713","2019-12-18","00:00:00","MASCULINO","2019","1"
"-74.04585292999997","4.698961734845794","2020-03-10","00:00:00","MASCULINO","2020","1"
"-74.03242847999996","4.710523201845392","2020-03-10","00:00:00","FEMENINO","2020","1"
"-74.02809999999994","4.741459999844412","2022-12-16","00:00:00","FEMENINO","2022","1"
"-74.03532244999997","4.693756051845917","2021-02-02","00:00:00","FEMENINO","2021","1"
"-74.04269999999997","4.702509999845684","2022-09-01","00:00:00","FEMENINO","2022","1"
"-74.03397294999996","4.692635406845999","2018-02-07","00:00:00","FEMENINO","2018","1"
"-74.04962503999997","4.705654809845561","2018-05-17","00:00:00","MASCULINO","2018","1"
"-74.05049627999995","4.724945733844954","2018-11-15","00:00:00","FEMENINO","2018","1"
"-74.04800729999994","4.68522384884624","2019-02-04","00:00:00","FEMENINO","2019","1"
"-74.05379999999997","4.706249999845552","2022-12-18","00:00:00","FEMENINO","2022","1"
"-74.03183435999995","4.7350972998446155","2018-04-23","00:00:00","MASCULINO","2018","1"
"-74.03595740999998","4.73043311884476","2018-12-11","00:00:00","MASCULINO","2018","1"
"-74.03123745999994","4.7156987888452235","2018-12-20","00:00:00","FEMENINO","2018","1"
"-74.04569999999995","4.741319999844371","2022-03-10","00:00:00","FEMENINO","2022","1"
"-74.05088885999999","4.722179490844998","2018-07-23","00:00:00","MASCULINO","2018","1"
"-74.03169117999994","4.711957859845343","2020-09-12","00:00:00","MASCULINO","2020","1"
"-74.03271010999998","4.704922931845579","2020-04-29","00:00:00","FEMENINO","2020","1"
"-74.04229771999997","4.688801086846112","2020-10-06","00:00:00","MASCULINO","2020","1"
"-74.02736969999995","4.739041113844452","2020-10-06","00:00:00","FEMENINO","2020","1"
"-74.05059999999997","4.720389999845095","2022-10-10","00:00:00","MASCULINO","2022","1"
"-74.03676835999994","4.69265631684599","2018-08-13","00:00:00","MASCULINO","2018","1"
"-74.04197636999999","4.702185989845652","2018-03-17","00:00:00","FEMENINO","2018","1"
"-74.03191348999997","4.743092089844353","2021-04-22","00:00:00","FEMENINO","2021","1"
"-74.03134410999996","4.695173891845917","2021-08-22","00:00:00","FEMENINO","2021","1"
"-74.01767644999995","4.735917405844579","2021-03-19","00:00:00","MASCULINO","2021","1"
"-74.04539963999997","4.726866514844855","2018-10-17","00:00:00","FEMENINO","2018","1"
"-74.04991176999994","4.699528778845757","2018-07-20","00:00:00","MASCULINO","2018","1"
"-74.04688057999994","4.688842716846114","2018-04-17","00:00:00","FEMENINO","2018","1"
"-74.04759117999998","4.741824178844375","2018-04-02","00:00:00","FEMENINO","2018","1"
"-74.04559999999998","4.729449999844774","2022-10-13","00:00:00","MASCULINO","2022","1"
"-74.03502632999994","4.722084845845001","2018-11-30","00:00:00","MASCULINO","2018","1"
"-74.03099999999995","4.705079999845595","2022-11-16","00:00:00","FEMENINO","2022","1"
"-74.03744086999995","4.731403895844747","2018-04-17","00:00:00","MASCULINO","2018","1"
"-74.05388578999998","4.706852676845502","2018-11-06","00:00:00","MASCULINO","2018","1"
"-74.02761843999997","4.75329282084402","2021-06-07","00:00:00","MASCULINO","2021","1"
"-74.04668400999998","4.747189134844194","2018-04-11","00:00:00","MASCULINO","2018","1"
"-74.04642651999995","4.747071521844221","2021-09-27","00:00:00","MASCULINO","2021","1"
"-74.04060736999998","4.700088721845724","2021-06-01","00:00:00","MASCULINO","2021","1"
"-74.05165377999998","4.699213338845757","2019-03-28","00:00:00","FEMENINO","2019","1"
"-74.03131846999997","4.698053886845827","2018-05-28","00:00:00","FEMENINO","2018","1"
"-74.05706937999997","4.686942726846144","2020-02-02","00:00:00","FEMENINO","2020","1"
"-74.04602181999996","4.754641477843973","2019-03-15","00:00:00","MASCULINO","2019","1"
"-74.04131194999997","4.703143635845645","2018-01-11","00:00:00","MASCULINO","2018","1"
"-74.05656735999997","4.687381654846125","2020-11-12","00:00:00","MASCULINO","2020","1"
"-74.04950877999994","4.729534540844754","2019-01-16","00:00:00","FEMENINO","2019","1"
"-74.02225546999995","4.736014317844574","2020-02-13","00:00:00","FEMENINO","2020","1"
"-74.04819668999994","4.73868423084447","2020-12-20","00:00:00","MASCULINO","2020","1"
"-74.04438912999996","4.7051712268455725","2020-02-03","00:00:00","MASCULINO","2020","1"
"-74.03039999999999","4.74449999984432","2022-11-24","00:00:00","MASCULINO","2022","1"
"-74.03339273999995","4.724623298844917","2021-03-10","00:00:00","MASCULINO","2021","1"
"-74.04478077999994","4.752120758844034","2018-03-13","00:00:00","MASCULINO","2018","1"
"-74.05477687999996","4.699732625845771","2020-01-12","00:00:00","MASCULINO","2020","1"
"-74.03267446999996","4.710216179845389","2018-04-23","00:00:00","MASCULINO","2018","1"
"-74.04833429999996","4.737818305844526","2019-08-31","00:00:00","MASCULINO","2019","1"
"-74.01568553999994","4.732199429844675","2020-11-11","00:00:00","MASCULINO","2020","1"
"-74.04987753999995","4.7288071358448125","2018-07-17","00:00:00","MASCULINO","2018","1"
"-74.03979113999998","4.688633475846128","2018-10-07","00:00:00","MASCULINO","2018","1"
"-74.03811078999996","4.718657339845135","2018-10-07","00:00:00","FEMENINO","2018","1"
"-74.03059999999994","4.760459999843746","2022-12-25","00:00:00","MASCULINO","2022","1"
"-74.04447412999997","4.705789927845563","2019-03-03","00:00:00","MASCULINO","2019","1"
"-74.04822495999997","4.685523147846234","2020-01-29","00:00:00","MASCULINO","2020","1"
"-74.03719999999998","4.724699999844926","2022-04-23","00:00:00","MASCULINO","2022","1"
"-74.04173338999993","4.70469156384557","2019-05-18","00:00:00","FEMENINO","2019","1"
"-74.04731202999994","4.6935084898459625","2021-03-01","00:00:00","MASCULINO","2021","1"
"-74.02259999999995","4.741479999844365","2022-06-18","00:00:00","MASCULINO","2022","1"
"-74.04563918999997","4.687205565846157","2021-04-28","00:00:00","MASCULINO","2021","1"
"-74.03549999999996","4.6915199998459896","2022-06-28","00:00:00","MASCULINO","2022","1"
"-74.04239999999999","4.703869999845621","2022-11-04","00:00:00","FEMENINO","2022","1"
"-74.03225680999998","4.6967707508458245","2018-10-30","00:00:00","MASCULINO","2018","1"
"-74.03473791999994","4.693460077845945","2019-03-03","00:00:00","MASCULINO","2019","1"
"-74.04523719999997","4.75572228484393","2021-04-17","00:00:00","MASCULINO","2021","1"
"-74.04650470999997","4.751538953844084","2019-03-15","00:00:00","FEMENINO","2019","1"
"-74.05449999999996","4.6993699998457625","2022-09-02","00:00:00","FEMENINO","2022","1"
"-74.05054072999997","4.686007543846211","2018-11-21","00:00:00","MASCULINO","2018","1"
"-74.03539999999998","4.718639999845133","2022-01-18","00:00:00","MASCULINO","2022","1"
"-74.03958911999996","4.702289640845669","2018-10-10","00:00:00","FEMENINO","2018","1"
"-74.02916613999997","4.715562460845235","2019-07-03","00:00:00","MASCULINO","2019","1"
"-74.04588165999996","4.754412642843944","2019-05-16","00:00:00","MASCULINO","2019","1"
"-74.05013641999994","4.728866110844808","2020-08-13","00:00:00","MASCULINO","2020","1"
"-74.04939999999993","4.730969999844751","2022-10-04","00:00:00","MASCULINO","2022","1"
"-74.03069739999995","4.742967423844315","2020-08-28","00:00:00","MASCULINO","2020","1"
"-74.04786948999998","4.742091643844348","2021-11-19","00:00:00","MASCULINO","2021","1"
"-74.01892991999995","4.74314212184434","2021-07-21","00:00:00","MASCULINO","2021","1"
"-74.02764792999994","4.732813147844668","2018-01-09","00:00:00","MASCULINO","2018","1"
"-74.03551700999998","4.728564070844812","2018-08-22","00:00:00","MASCULINO","2018","1"
"-74.05014405999998","4.7254916378449145","2018-06-14","00:00:00","FEMENINO","2018","1"
"-74.03354426999994","4.693429239845966","2018-07-14","00:00:00","MASCULINO","2018","1"
"-74.04253911999996","4.7729623598433815","2019-01-31","00:00:00","FEMENINO","2019","1"
"-74.04758106999998","4.744343627844267","2021-12-20","00:00:00","MASCULINO","2021","1"
"-74.04974481999994","4.7289018988448035","2018-02-21","00:00:00","FEMENINO","2018","1"
"-74.03161334999999","4.717359876845162","2020-10-16","00:00:00","FEMENINO","2020","1"
"-74.04101153999994","4.7656290228435925","2018-07-29","00:00:00","MASCULINO","2018","1"
"-74.05473235999995","4.6996466438457425","2019-06-11","00:00:00","MASCULINO","2019","1"
"-74.04909999999995","4.704599999845573","2022-08-17","00:00:00","MASCULINO","2022","1"
"-74.05654480999993","4.688731678846111","2019-07-19","00:00:00","MASCULINO","2019","1"
"-74.03790980999997","4.690533385846025","2019-06-15","00:00:00","FEMENINO","2019","1"
"-74.03328677999997","4.71131445384537","2021-08-05","00:00:00","MASCULINO","2021","1"
"-74.03259999999995","4.71270999984535","2022-12-04","00:00:00","MASCULINO","2022","1"
"-74.04289981999995","4.745784856844248","2018-04-17","00:00:00","MASCULINO","2018","1"
"-74.04563353999998","4.697533734845808","2019-10-28","00:00:00","MASCULINO","2019","1"
"-74.03607091999999","4.765222735843622","2018-11-15","00:00:00","MASCULINO","2018","1"
"-74.03653683999994","4.766007067843565","2021-11-23","00:00:00","MASCULINO","2021","1"
"-74.04914852999997","4.702054938845678","2021-10-01","00:00:00","MASCULINO","2021","1"
"-74.04452536999997","4.7447146718442825","2021-02-13","00:00:00","FEMENINO","2021","1"
"-74.03891352999995","4.699436445845761","2018-09-19","00:00:00","MASCULINO","2018","1"
"-74.02327944999996","4.754325135843961","2019-03-15","00:00:00","FEMENINO","2019","1"
"-74.01769999999993","4.733489999844676","2022-12-09","00:00:00","MASCULINO","2022","1"
"-74.04284885999994","4.771043331843418","2019-11-26","00:00:00","MASCULINO","2019","1"
"-74.03023612999993","4.740859411844385","2018-11-01","00:00:00","MASCULINO","2018","1"
"-74.05462565999994","4.698881929845753","2020-12-16","00:00:00","FEMENINO","2020","1"
"-74.05066791999997","4.724259614844956","2019-08-06","00:00:00","FEMENINO","2019","1"
"-74.04980353999997","4.728910728844812","2019-12-31","00:00:00","FEMENINO","2019","1"
"-74.02308885999997","4.737579994844498","2021-07-09","00:00:00","MASCULINO","2021","1"
"-74.05354282999997","4.689071885846068","2018-05-28","00:00:00","MASCULINO","2018","1"
"-74.03967848999997","4.701645616845692","2020-09-25","00:00:00","MASCULINO","2020","1"
"-74.04362937999997","4.724023504844956","2018-02-09","00:00:00","MASCULINO","2018","1"
"-74.03043935999995","4.727591643844822","2019-06-26","00:00:00","FEMENINO","2019","1"
"-74.05115724999996","4.698721652845795","2019-09-13","00:00:00","FEMENINO","2019","1"
"-74.04218230999999","4.697781690845811","2020-07-09","00:00:00","MASCULINO","2020","1"
"-74.04563335999995","4.7515154988440615","2020-08-06","00:00:00","MASCULINO","2020","1"
"-74.02933856999994","4.698910943845761","2020-08-06","00:00:00","FEMENINO","2020","1"
"-74.04269999999997","4.7036499998456085","2022-11-02","00:00:00","MASCULINO","2022","1"
"-74.05370613999997","4.690789682846042","2020-01-03","00:00:00","MASCULINO","2020","1"
"-74.03721114999996","4.694401680845918","2021-05-18","00:00:00","MASCULINO","2021","1"
"-74.04262809999994","4.703477680845619","2018-12-06","00:00:00","MASCULINO","2018","1"
"-74.05021382999996","4.726736075844886","2018-11-27","00:00:00","FEMENINO","2018","1"
"-74.03495402999994","4.7439743978442985","2018-03-11","00:00:00","MASCULINO","2018","1"
"-74.05477429999996","4.699929324845722","2019-11-16","00:00:00","MASCULINO","2019","1"
"-74.03755685999994","4.764582865843661","2021-11-05","00:00:00","MASCULINO","2021","1"
"-74.04019614999999","4.731908067844701","2020-10-04","00:00:00","MASCULINO","2020","1"
"-74.03466811999994","4.743486061844321","2018-08-15","00:00:00","FEMENINO","2018","1"
"-74.04615870999999","4.753723001844018","2019-06-28","00:00:00","MASCULINO","2019","1"
"-74.05658875999995","4.688036529846115","2018-07-20","00:00:00","MASCULINO","2018","1"
"-74.04988194999999","4.730651900844735","2021-10-14","00:00:00","MASCULINO","2021","1"
"-74.02979923999999","4.758802072843806","2021-09-25","00:00:00","FEMENINO","2021","1"
"-74.04607394999994","4.754333429843958","2019-12-01","00:00:00","FEMENINO","2019","1"
"-74.02744951999995","4.7632494568436625","2018-08-27","00:00:00","FEMENINO","2018","1"
"-74.05051395999999","4.724950538844957","2019-11-01","00:00:00","FEMENINO","2019","1"
"-74.05136486999999","4.705139458845593","2021-06-01","00:00:00","MASCULINO","2021","1"
"-74.04306179999998","4.77103471284344","2018-04-06","00:00:00","FEMENINO","2018","1"
"-74.03403779999996","4.775445608843267","2021-05-20","00:00:00","MASCULINO","2021","1"
"-74.03179499999999","4.739594999844473","2021-04-06","00:00:00","MASCULINO","2021","1"
"-74.03268596999999","4.699777740845745","2018-11-08","00:00:00","MASCULINO","2018","1"
"-74.05029198999995","4.69825868484579","2021-05-21","00:00:00","FEMENINO","2021","1"
"-74.04471975999996","4.68551683284623","2018-02-23","00:00:00","MASCULINO","2018","1"
"-74.03843614999994","4.794803702842678","2019-02-17","00:00:00","MASCULINO","2019","1"
"-74.03068565999996","4.694860643845928","2019-07-07","00:00:00","MASCULINO","2019","1"
"-74.03682544999998","4.742523602844357","2019-05-23","00:00:00","MASCULINO","2019","1"
"-74.02547019999997","4.753479060844013","2018-06-23","00:00:00","FEMENINO","2018","1"
"-74.05289974999994","4.705361214845558","2018-09-05","00:00:00","FEMENINO","2018","1"
"-74.02849635999996","4.72240628784502","2018-08-24","00:00:00","MASCULINO","2018","1"
"-74.02757513999995","4.745657357844278","2019-12-05","00:00:00","MASCULINO","2019","1"
"-74.04706260999995","4.688966591846095","2020-01-20","00:00:00","FEMENINO","2020","1"
"-74.04422062999998","4.741425703844398","2019-02-17","00:00:00","MASCULINO","2019","1"
"-74.04566260999997","4.741530275844389","2019-07-17","00:00:00","MASCULINO","2019","1"
"-74.03078914999998","4.708319566845463","2020-08-10","00:00:00","FEMENINO","2020","1"
"-74.02893108999996","4.716143635845195","2021-03-24","00:00:00","MASCULINO","2021","1"
"-74.04448690999999","4.749606607844106","2019-02-21","00:00:00","MASCULINO","2019","1"
"-74.05330124999995","4.707797066845499","2018-08-01","00:00:00","MASCULINO","2018","1"
"-74.04386541999997","4.694484120845943","2020-01-12","00:00:00","MASCULINO","2020","1"
"-74.04472789999994","4.686622754846162","2020-02-02","00:00:00","FEMENINO","2020","1"
"-74.04169999999993","4.746039999844242","2022-05-04","00:00:00","MASCULINO","2022","1"
"-74.04733618999995","4.699611662845748","2021-06-04","00:00:00","MASCULINO","2021","1"
"-74.04198786999996","4.690966327846045","2019-04-19","00:00:00","MASCULINO","2019","1"
"-74.03899451999996","4.687662213846152","2018-12-20","00:00:00","MASCULINO","2018","1"
"-74.04340329999997","4.69708554084582","2018-12-20","00:00:00","MASCULINO","2018","1"
"-74.04994941999996","4.7047517058455615","2021-04-08","00:00:00","MASCULINO","2021","1"
"-74.05476054999997","4.699322615845789","2019-07-23","00:00:00","FEMENINO","2019","1"
"-74.04786649999994","4.7212722428450435","2018-01-07","00:00:00","MASCULINO","2018","1"
"-74.04742660999995","4.741790715844355","2018-10-17","00:00:00","FEMENINO","2018","1"
"-74.03449999999998","4.806849999842269","2022-08-06","00:00:00","MASCULINO","2022","1"
"-74.03081199999997","4.6975006438458315","2018-12-07","00:00:00","FEMENINO","2018","1"
"-74.02307664999995","4.740513676844399","2019-06-26","00:00:00","FEMENINO","2019","1"
"-74.03313018999995","4.692922092845971","2019-10-10","00:00:00","FEMENINO","2019","1"
"-74.05289761999995","4.706597620845547","2018-07-31","00:00:00","FEMENINO","2018","1"
"-74.02513699999997","4.721985980845023","2019-02-03","00:00:00","MASCULINO","2019","1"
"-74.03386613999999","4.712672410845303","2019-12-22","00:00:00","FEMENINO","2019","1"
"-74.04193719999995","4.691179901846023","2021-05-24","00:00:00","MASCULINO","2021","1"
"-74.03533598999996","4.732271604844695","2021-12-23","00:00:00","MASCULINO","2021","1"
"-74.03912326999995","4.7189275328451314","2019-07-27","00:00:00","MASCULINO","2019","1"
"-74.04158791999998","4.704257311845584","2018-09-02","00:00:00","MASCULINO","2018","1"
"-74.03827491999994","4.72514289284493","2021-11-24","00:00:00","MASCULINO","2021","1"
