ZAT,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad,estrato_mean,poblacion_2005,area_urbana_2009,poblacion_urbana_2009,densidad_urbana_2009,poblacion_por_localidad_2005,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,num_est_transmi,acceso_transmi,accesibilidad_arterial,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_FEMENINO,genero_MASCULINO
83.0,2015,0.0,0,0.0,0,1.0,1,0.0,0,0.0,13.0,LOS CEDROS,1.0,USAQUEN,4.59,95424.0,672.263.207.867,102364.0,152.267.740.971,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,6.0,14.0,0.0,2.0,0.0,1.0,8.0,9.0
854.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11.0,SAN CRISTOBAL NORTE,1.0,USAQUEN,2.0,62234.0,275.277.506.205,72680.0,264.024.478.433,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
57.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11.0,SAN CRISTOBAL NORTE,1.0,USAQUEN,1.44,62234.0,275.277.506.205,72680.0,264.024.478.433,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,2.0,7.0,0.0,2.0,0.0,1.0,4.0,6.0
20.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10.0,LA URIBE,1.0,USAQUEN,2.09,13585.0,3.452.642.542,17055.0,493.969.468.097,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,6.0
18.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10.0,LA URIBE,1.0,USAQUEN,1.5,13585.0,3.452.642.542,17055.0,493.969.468.097,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,1.0,3.0,0.0,1.0,1.0,0.0,2.0,3.0
19.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10.0,LA URIBE,1.0,USAQUEN,2.0,13585.0,3.452.642.542,17055.0,493.969.468.097,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
84.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13.0,LOS CEDROS,1.0,USAQUEN,6.0,95424.0,672.263.207.867,102364.0,152.267.740.971,425.192,430.156,"3,12",1.867.529,"93,6",0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
559.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,87.0,TINTAL SUR,7.0,BOSA,,26624.0,576.903.769.222,42439.0,735.633.952.561,508.828,546.809,"3,98",703.807,"85,4",0.0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
561.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,87.0,TINTAL SUR,7.0,BOSA,1.06,26624.0,576.903.769.222,42439.0,735.633.952.561,508.828,546.809,"3,98",703.807,"85,4",0.0,0,4.0,16.0,6.0,3.0,1.0,0.0,10.0,16.0
947.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,85.0,BOSA CENTRAL,7.0,BOSA,1.99,211484.0,714.656.412.136,221236.0,309.569.740.428,508.828,546.809,"3,98",703.807,"85,4",0.0,0,6.0,20.0,8.0,6.0,2.0,1.0,16.0,21.0
