codigo_upz,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,estrato_mean,poblacion_2005,poblacion_urbana_2009,num_est_transmi,acceso_transmi,accesibilidad_arterial,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,nombre_localidad,nombre_upz,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
15.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,6.0,5.395,175550.0,49356.0,6.0,2,21.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,COUNTRY CLUB,142,0,8,2,1,65,88,24875,11083,13792,61.50753768844221,57.08542713567839,0.0,3.2160804020100504,0.8040201005025126,0.4020100502512563,79.40088423711991,47.12877030162413
86.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.568,321440.0,368145.0,0.0,0,33.0,546.809,"3,98",703.807,"85,4",BOSA,EL PORVENIR,131,25,38,14,63,86,185,118531,57290,61241,22.863217217436787,11.051961090347673,2.109152879837342,3.2059123773527602,1.1811256127089116,5.315065257190103,32.291848490137895,14.042879770088666
71.0,2015,0.0,0,0.0,0,1.0,1,0.0,0,2.0,2.105,2325960.0,2670912.0,0.0,0,22.0,981.613,"3,41",1.388.086,"91,6",SUBA,TIBABUYES,281,37,82,33,53,197,289,265973,128726,137247,18.27253142236242,10.564982159843293,1.3911186473815011,3.083019705007651,1.2407274422591765,1.992683467870799,22.450786942808755,14.353683504921783
29.0,2015,1.0,1,0.0,0,0.0,0,0.0,0,2.0,2.713333333333334,1291554.0,1329381.0,30.0,9,32.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,MINUTO DE DIOS,232,12,47,35,46,135,237,114940,54345,60595,32.364712023664524,20.184444057769273,1.044022968505307,4.08908995997912,3.045066991473812,4.00208804593701,43.610267733922164,22.279065929532138
80.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.0025,247816.0,277108.0,11.0,4,19.0,979.914,"3,72",999.300,"88,94",KENNEDY,CORABASTOS,279,22,29,14,27,132,239,58405,29271,29134,63.52195873640955,47.769882715520936,3.766800787603801,4.965328310932284,2.3970550466569644,4.622891875695574,81.6507806361245,45.30788769135718
99.0,2015,4.0,1,0.0,0,0.0,0,0.0,0,10.0,3.692,79566.0,121692.0,22.0,6,62.0,122.507,"2,43",2.288.835,"96,61",CHAPINERO,CHAPINERO,1083,4,35,9,16,497,650,23081,11315,11766,496.9455396213335,469.2171049781205,1.7330271652008145,15.163987695507126,3.899311121701833,6.932108660803258,574.4586831639416,422.4035356110828
3.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6.0,0.0,1169.0,0.0,0,26.0,981.613,"3,41",1.388.086,"91,6",SUBA,GUAYMARAL,8,0,1,1,1,5,6,1886,911,975,58.324496288441146,42.417815482502654,0.0,5.302226935312832,5.302226935312832,5.302226935312832,65.86169045005488,51.282051282051285
97.0,2015,6.0,1,0.0,0,1.0,1,0.0,0,5.0,5.211875,94384.0,420656.0,63.0,15,98.0,122.507,"2,43",2.288.835,"96,61",CHAPINERO,CHICO LAGO,1243,2,38,1,28,552,760,33047,15114,17933,397.0103186370926,376.13096498925773,0.6051986564589826,11.49877447272067,0.3025993282294913,8.472781190425758,502.8450443297605,307.8124128701277
94.0,2015,3.0,1,0.0,0,0.0,0,0.0,0,3.0,2.40875,203598.0,216855.0,43.0,8,36.0,22.115,"2,83",1.050.888,"88,9",CANDELARIA,LA CANDELARIA,473,4,28,2,2,238,271,17290,8831,8459,294.3898207056102,273.5685367264315,2.313475997686524,16.194331983805668,1.156737998843262,1.156737998843262,306.87351375835124,281.3571344130512
76.0,2015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.186666666666667,120020.0,128536.0,0.0,0,21.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,FONTIBON SAN PABLO,80,4,12,2,3,37,64,32721,16069,16652,30.86702729134195,24.449130527795607,1.2224565263897804,3.667369579169341,0.6112282631948902,0.9168423947923352,39.82824071192981,22.219553206822003
