codigo_upz,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,estrato_mean,poblacion_2005,poblacion_urbana_2009,num_est_transmi,acceso_transmi,accesibilidad_arterial,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,nombre_localidad,nombre_upz,theft_to_people,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,male_index,female_index
75.0,2018,0.0,0,2.0,1,7.0,1,3.0,1,3.0,2.913,1316550.0,1374890.0,0.0,0,58.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,FONTIBON,102.0,0.0,33.0,69.0,129959.0,62133.0,67826.0,7.848629183050039,7.848629183050039,11.105209791898025,4.865390853065196
12.0,2018,1.0,1,2.0,1,4.0,1,0.0,0,6.0,3.378,256245.0,260090.0,9.0,3,42.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,TOBERIN,49.0,0.0,22.0,27.0,58835.0,27123.0,31712.0,8.328375966686496,8.328375966686496,9.954651034177635,6.937436932391524
16.0,2018,1.0,1,2.0,1,7.0,1,1.0,1,12.0,5.738888888888889,464238.0,463266.0,18.0,6,60.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,SANTA BARBARA,151.0,0.0,67.0,84.0,67760.0,30437.0,37323.0,22.28453364817001,22.28453364817001,27.597989289351773,17.95139726174209
82.0,2018,0.0,0,0.0,0,2.0,1,2.0,1,0.0,1.9566666666666668,963012.0,1044870.0,9.0,4,29.0,979.914,"3,72",999.300,"88,94",KENNEDY,PATIO BONITO,95.0,0.0,35.0,60.0,140235.0,69384.0,70851.0,6.774343066994687,6.774343066994687,8.647526807333103,4.939944390340291
35.0,2018,0.0,0,0.0,0,1.0,1,1.0,1,1.0,2.666,168705.0,154565.0,35.0,5,22.0,119.565,"3,92",1.095.184,"90,79",ANTONIO NARIÑO,CIUDAD JARDIN,29.0,0.0,12.0,17.0,24983.0,11921.0,13062.0,11.607893367489893,11.607893367489893,14.260548611693649,9.186954524575103
68.0,2018,0.0,0,0.0,0,0.0,0,1.0,1,0.0,1.055,351536.0,380992.0,0.0,0,13.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,EL TESORO,8.0,0.0,4.0,4.0,49741.0,24609.0,25132.0,1.6083311553848938,1.6083311553848938,1.6254215937258727,1.5915963711602739
27.0,2018,1.0,1,6.0,1,7.0,1,4.0,1,2.0,2.840909090909091,1497236.0,1751217.0,16.0,6,48.0,981.613,"3,41",1.388.086,"91,6",SUBA,SUBA,88.0,0.0,46.0,42.0,166333.0,77901.0,88432.0,5.290591764712955,5.290591764712955,5.391458389494359,5.2017369278089385
22.0,2018,1.0,1,0.0,0,7.0,1,0.0,0,2.0,3.292222222222222,847206.0,887247.0,37.0,8,38.0,230.066,"3,36",1.462.840,"92,44",BARRIOS UNIDOS,DOCE DE OCTUBRE,73.0,0.0,21.0,52.0,64814.0,30527.0,34287.0,11.262998734841238,11.262998734841238,17.034100959806075,6.124770321112959
105.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,1.0,2.67,1601.0,2464.0,4.0,1,11.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,JARDIN BOTANICO,18.0,0.0,8.0,10.0,2482.0,1423.0,1059.0,72.522159548751,72.522159548751,70.27406886858749,75.54296506137867
104.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,3.0,4.0,19494.0,20424.0,21.0,5,34.0,139.298,"2,87",1.933.116,"96,03",TEUSAQUILLO,PARQUE SIMON BOLIVAR - CAN,55.0,0.0,24.0,31.0,2937.0,1546.0,1391.0,187.26591760299627,187.26591760299627,200.51746442432082,172.53774263120056
