codigo_upz,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,estrato_mean,poblacion_2005,poblacion_urbana_2009,num_est_transmi,acceso_transmi,accesibilidad_arterial,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,nombre_localidad,nombre_upz,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index_eb,theft_to_people_index_eb,homicide_index_eb,sexual_index_eb,theft_to_vehicle_index_eb,theft_to_motorbike_index_eb,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index,total_atraco,total_hurto,total_violacion_domicilio,total_alteracion_orden,total_violacion_maltrato,total_homicidio,total_pandillas_drogas,total_armas,total_rapto_secuestro,total_alcohol_menores,total_sospechoso,total_auxilio,total_tendida,tasa_TOTAL_POBLACION,tasa_total_atraco,tasa_total_hurto,tasa_total_violacion_domicilio,tasa_total_alteracion_orden,tasa_total_violacion_maltrato,tasa_total_homicidio,tasa_total_pandillas_drogas,tasa_total_armas,tasa_total_rapto_secuestro,tasa_total_alcohol_menores,tasa_total_sospechoso,tasa_total_auxilio,tasa_total_tendida
15,2015,0,0,0,0,0,0,0,0,6,5.395,175550,49356,6,2,21,430.156,312,1.867.529,936,USAQUEN,COUNTRY CLUB,142,0,8,2,1,0,65,88,24875,11083,13792,61.45463647328928,57.00051266026048,0.28514355390101137,3.3764675044558765,1.1591575879602023,1.106434950652319,61.50753768844221,57.08542713567839,0,3.2160804020100504,0.8040201005025126,0.4020100502512563,79.40088423711991,47.12877030162413,12,22,10,35,34,5,12,11,8,11,12,10,8,10000,4.824120603015075,8.844221105527637,4.0201005025125625,14.07035175879397,13.668341708542714,2.0100502512562812,4.824120603015075,4.422110552763819,3.2160804020100504,4.422110552763819,4.824120603015075,4.0201005025125625,3.2160804020100504
86,2015,0,0,0,0,0,0,0,0,0,1.568,321440,368145,0,0,33,546.809,398,703.807,854,BOSA,EL PORVENIR,131,25,38,14,63,0,86,185,118531,57290,61241,22.893904396078057,11.076241892308111,2.0994676622342845,3.2451747151691066,1.252168317502757,5.280487020097742,22.863217217436787,11.051961090347673,2.109152879837342,3.20591237735276,1.1811256127089116,5.315065257190103,32.291848490137895,14.042879770088666,12,24,12,41,36,1,24,12,12,12,12,12,12,10000,1.0123933823219242,2.0247867646438484,1.0123933823219242,3.4590107229332414,3.0371801469657727,0.08436611519349368,2.0247867646438484,1.0123933823219242,1.0123933823219242,1.0123933823219242,1.0123933823219242,1.0123933823219242,1.0123933823219242
71,2015,0,0,0,0,1,1,0,0,2,2.105,2325960,2670912,0,0,22,981.613,341,1.388.086,916,SUBA,TIBABUYES,281,37,82,33,53,0,197,289,265973,128726,137247,18.28843144121362,10.57600728193851,1.3987686206083936,3.103216981593779,1.2720554223451097,2.040375721641326,18.27253142236242,10.564982159843291,1.3911186473815011,3.083019705007651,1.2407274422591763,1.992683467870799,22.450786942808755,14.353683504921785,12,24,12,45,36,7,24,12,12,12,12,12,12,10000,0.45117361536697337,0.9023472307339467,0.45117361536697337,1.69190105762615,1.35352084610092,0.26318460896406776,0.9023472307339467,0.45117361536697337,0.45117361536697337,0.45117361536697337,0.45117361536697337,0.45117361536697337,0.45117361536697337
29,2015,1,1,0,0,0,0,0,0,2,2.713333333333334,1291554,1329381,30,9,32,824.337,341,1.089.512,9178,ENGATIVA,MINUTO DE DIOS,232,12,47,35,46,0,135,237,114940,54345,60595,32.385750057843616,20.20085712914722,1.0745379573118532,4.092295522138384,3.0488717921638475,4.023095246611617,32.364712023664524,20.184444057769273,1.044022968505307,4.08908995997912,3.045066991473812,4.00208804593701,43.61026773392216,22.279065929532138,12,24,12,46,36,3,24,12,12,12,12,12,12,10000,1.044022968505307,2.088045937010614,1.044022968505307,4.00208804593701,3.132068905515921,0.26100574212632677,2.088045937010614,1.044022968505307,1.044022968505307,1.044022968505307,1.044022968505307,1.044022968505307,1.044022968505307
80,2015,0,0,0,0,0,0,0,0,0,2.0025,247816,277108,11,4,19,979.914,372,999.300,8894,KENNEDY,CORABASTOS,279,22,29,14,27,0,132,239,58405,29271,29134,63.49494043387666,47.75092614515996,3.6282514498154104,4.90154398575398,2.450096894411158,4.612003795078778,63.52195873640955,47.769882715520936,3.766800787603801,4.965328310932284,2.3970550466569644,4.622891875695574,81.6507806361245,45.30788769135718,12,24,12,41,36,4,22,12,12,12,12,12,12,10000,2.0546186114202554,4.109237222840511,2.0546186114202554,7.019946922352538,6.163855834260765,0.6848728704734184,3.766800787603801,2.0546186114202554,2.0546186114202554,2.0546186114202554,2.0546186114202554,2.0546186114202554,2.0546186114202554
99,2015,4,1,0,0,0,0,0,0,10,3.692,79566,121692,22,6,62,122.507,243,2.288.835,9661,CHAPINERO,CHAPINERO,1083,4,35,9,16,0,497,650,23081,11315,11766,494.47858437618663,467.1944367216436,1.7517227705476084,13.18670258427113,3.777909570100795,6.484358408573871,496.9455396213335,469.2171049781205,1.7330271652008145,15.163987695507126,3.899311121701833,6.932108660803258,574.4586831639416,422.4035356110828,12,24,12,48,36,11,23,12,12,12,12,12,12,10000,5.199081495602443,10.398162991204886,5.199081495602443,20.796325982409773,15.597244486807332,4.76582470430224,9.964906199904682,5.199081495602443,5.199081495602443,5.199081495602443,5.199081495602443,5.199081495602443,5.199081495602443
3,2015,0,0,0,0,0,0,0,0,0,6,0,1169,0,0,26,981.613,341,1.388.086,916,SUBA,GUAYMARAL,8,0,1,1,1,0,5,6,1886,911,975,57.870856297288306,42.15328662590327,1.3049016979138155,4.473934163947757,3.789410431257022,4.706237044555107,58.324496288441146,42.417815482502654,0,5.302226935312832,5.302226935312832,5.302226935312832,65.86169045005488,51.282051282051285,1,2,0,6,1,0,0,0,0,0,1,0,0,10000,5.302226935312832,10.604453870625663,0,31.81336161187699,5.302226935312832,0,0,0,0,0,5.302226935312832,0,0
97,2015,6,1,0,0,1,1,0,0,5,5.211875,94384,420656,63,15,98,122.507,243,2.288.835,9661,CHAPINERO,CHICO LAGO,1243,2,38,1,28,0,552,760,33047,15114,17933,395.6713902943471,375.02135172659905,0.7552207895175191,10.525195416527062,0.6397540767293408,7.932995037092576,397.0103186370926,376.13096498925773,0.6051986564589826,11.49877447272067,0.3025993282294913,8.472781190425758,502.8450443297605,307.8124128701277,12,24,12,48,36,12,23,12,12,12,12,12,12,10000,3.6311919387538962,7.2623838775077925,3.6311919387538962,14.524767755015585,10.89357581626169,3.6311919387538962,6.959784549278301,3.6311919387538962,3.6311919387538962,3.6311919387538962,3.6311919387538962,3.6311919387538962,3.6311919387538962
94,2015,3,1,0,0,0,0,0,0,3,2.40875,203598,216855,43,8,36,22.115,283,1.050.888,889,CANDELARIA,LA CANDELARIA,473,4,28,2,2,0,238,271,17290,8831,8459,292.5964646309846,272.0945609282545,2.2163688747728907,13.471470183672531,1.5637062445439285,1.9249660095956624,294.3898207056102,273.5685367264315,2.313475997686524,16.194331983805668,1.156737998843262,1.156737998843262,306.87351375835124,281.3571344130512,12,24,12,47,36,7,23,12,12,12,12,12,12,10000,6.940427993059572,13.880855986119144,6.940427993059572,27.183342972816657,20.821283979178716,4.048582995951417,13.302486986697511,6.940427993059572,6.940427993059572,6.940427993059572,6.940427993059572,6.940427993059572,6.940427993059572
76,2015,0,0,0,0,0,0,0,0,0,2.186666666666667,120020,128536,0,0,21,317.179,346,1.428.379,9003,FONTIBON,FONTIBON SAN PABLO,80,4,12,2,3,0,37,64,32721,16069,16652,30.946578031746913,24.492532974695795,1.298551085780082,3.734019963544631,0.9144407365426956,1.4050798927312258,30.86702729134195,24.449130527795607,1.2224565263897804,3.667369579169341,0.6112282631948902,0.9168423947923352,39.82824071192981,22.219553206822003,12,22,10,40,33,1,22,11,11,12,12,12,12,10000,3.667369579169341,6.723510895143791,3.056141315974451,12.224565263897803,10.085266342715688,0.3056141315974451,6.723510895143791,3.3617554475718956,3.3617554475718956,3.667369579169341,3.667369579169341,3.667369579169341,3.667369579169341
