codigo_upz,year,quarter,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,estrato_mean,poblacion_2005,poblacion_urbana_2009,num_est_transmi,acceso_transmi,accesibilidad_arterial,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,nombre_localidad,nombre_upz,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index_eb,theft_to_people_index_eb,homicide_index_eb,sexual_index_eb,theft_to_vehicle_index_eb,theft_to_motorbike_index_eb,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
114.0,2018,1,0.0,0,0.0,0,2.0,1,1.0,1,0.0,3.8,191930.0,197050.0,9.0,4,24.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,MODELIA,8.0,0.0,2.0,4.0,3.0,0.0,6.0,11.0,42000.0,19461.0,22539.0,4.142369907683363,1.9021586941594797,0.12621014202022598,0.5450906111843595,0.9821850254763773,0.9173935406053859,4.0476190476190474,1.9047619047619049,0.0,0.4761904761904762,0.9523809523809524,0.7142857142857143,5.6523303016289,2.662052442433116
89.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.0666666666666664,28245.0,48603.0,0.0,0,3.0,122.507,"2,43",2.288.835,"96,61",CHAPINERO,SAN ISIDRO - PATIOS,0.0,0.0,3.0,1.0,1.0,0.0,3.0,2.0,15231.0,7533.0,7698.0,3.6104703282582795,0.2105507980095705,0.21473903211082135,1.9245042509138797,0.8316214069154981,1.0301810127064313,3.282778543759438,0.0,0.0,1.9696671262556626,0.6565557087518876,0.6565557087518876,2.6549847338377806,3.897116134060795
38.0,2018,1,0.0,0,2.0,1,4.0,1,0.0,0,0.0,3.008,1246305.0,1155330.0,52.0,15,75.0,119.565,"3,92",1.095.184,"90,79",ANTONIO NARIÑO,RESTREPO,23.0,6.0,13.0,14.0,11.0,0.0,20.0,47.0,54246.0,26004.0,28242.0,12.143983096014818,4.156459925488077,0.8836086931825787,2.3628286714755573,2.364488225524492,1.7831897024136725,12.351141097961142,4.239943959001585,1.1060723371308483,2.3964900637835047,2.580835453305313,2.027799284739889,18.074142439624673,7.081651441116068
52.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,614920.0,740280.0,0.0,0,176.0,314.431,"4,07",569.872,"82,91",USME,LA FLORA,2.0,2.0,12.0,0.0,2.0,0.0,10.0,8.0,18178.0,8980.0,9198.0,9.554766086682823,1.172866742907361,0.6858460762978172,5.983730041635448,0.38007604569794173,1.1908034049314822,9.902079436681705,1.1002310485201892,1.1002310485201892,6.601386291121135,0.0,1.1002310485201892,8.908685968819599,10.871928680147857
96.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.7264285714285716,628474.0,648214.0,4.0,2,16.0,96.241,"3,18",896.890,"88,28",SANTA FE,LOURDES,2.0,3.0,5.0,5.0,5.0,0.0,5.0,15.0,44303.0,21564.0,22739.0,4.585184212467415,0.5105474724559911,0.5680838933517234,1.1579892829456675,1.1262857964390345,1.1748317320248183,4.514366972891226,0.45143669728912267,0.6771550459336839,1.1285917432228065,1.1285917432228065,1.1285917432228065,6.956037840845854,2.198865385461102
84.0,2018,1,0.0,0,0.0,0,2.0,1,1.0,1,0.0,1.98,990222.0,1073760.0,1.0,1,30.0,546.809,"3,98",703.807,"85,4",BOSA,BOSA OCCIDENTAL,17.0,10.0,33.0,12.0,43.0,0.0,36.0,79.0,195836.0,95646.0,100190.0,5.8757485431916745,0.8777695683534732,0.49456553659932523,1.6847497533255504,0.6357696987794301,2.0886814667124978,5.872260462836251,0.8680732858105762,0.5106313445944566,1.6850834371617067,0.6127576135133479,2.195714781756163,8.259624030278317,3.5931729713544267
111.0,2018,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,2.9375,64585.0,73290.0,16.0,5,63.0,250.715,"3,55",1.116.511,"90,43",PUENTE ARANDA,PUENTE ARANDA,11.0,0.0,2.0,1.0,7.0,0.0,9.0,12.0,10700.0,8209.0,2491.0,17.605281278451827,8.974410940091698,0.2436693785337306,1.8282331365162012,1.0191277703894461,2.8325805904659904,19.626168224299068,10.2803738317757,0.0,1.8691588785046729,0.9345794392523364,6.542056074766355,14.618102083079547,36.13006824568446
112.0,2018,1,1.0,1,1.0,1,1.0,1,0.0,0,0.0,3.1133333333333333,126427.0,160027.0,0.0,0,71.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,GRANJAS DE TECHO,16.0,1.0,1.0,5.0,6.0,0.0,10.0,19.0,43620.0,20259.0,23361.0,6.6310565863033375,3.5896931826582246,0.2733966142854826,0.3096110529832965,1.1407957022718398,1.331846477699854,6.648326455754241,3.6680421824850984,0.22925263640531865,0.22925263640531865,1.1462631820265932,1.3755158184319118,9.37854780591342,4.280638671289756
75.0,2018,1,0.0,0,1.0,1,7.0,1,3.0,1,0.0,2.913,1316550.0,1374890.0,0.0,0,58.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,FONTIBON,16.0,1.0,23.0,4.0,19.0,0.0,26.0,37.0,129959.0,62133.0,67826.0,4.867690283957426,1.2403002089076203,0.11900684952318544,1.7676301880300649,0.36224184281991106,1.4285973458194408,4.847682730707377,1.23115751890981,0.07694734493186313,1.769788933432852,0.3077893797274525,1.4619995537053994,5.954967569568507,3.8333382478695484
12.0,2018,1,1.0,1,1.0,1,3.0,1,0.0,0,0.0,3.378,256245.0,260090.0,9.0,3,42.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,TOBERIN,14.0,0.0,9.0,1.0,2.0,0.0,13.0,13.0,58835.0,27123.0,31712.0,4.475993360061983,2.3623441155989204,0.10022471627941804,1.5351913774397719,0.3001596785305809,0.614534353893973,4.419138268037733,2.379535990481856,0.0,1.5297017081669075,0.1699668564629897,0.3399337129259794,4.792980127567009,4.099394550958627
