zat,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad,estrato_mean,poblacion_2005,area_urbana_2009,poblacion_urbana_2009,densidad_urbana_2009,poblacion_por_localidad_2005,personas_por_localidad_2007,personas_por_hogar_2007_localida,gasto_promedio_mensual_2007_loca,icv_2007_localidad,num_est_transmi,acceso_transmi,accesibilidad_arterial
532,2019,0,0,0,0,0,0,0,0,1,81,GRAN BRITALIA,8,KENNEDY,2.01,72551,179.902.103.852,70904,394.125.463.137,951.073,979.914,"3,72",999.300,"88,94",0,0,5
532,2015,0,0,0,0,0,0,0,0,1,81,GRAN BRITALIA,8,KENNEDY,2.01,72551,179.902.103.852,70904,394.125.463.137,951.073,979.914,"3,72",999.300,"88,94",0,0,5
532,2023,1,1,0,0,0,0,0,0,1,81,GRAN BRITALIA,8,KENNEDY,2.01,72551,179.902.103.852,70904,394.125.463.137,951.073,979.914,"3,72",999.300,"88,94",0,0,5
533,2019,0,0,0,0,0,0,0,0,1,47,KENNEDY CENTRAL,8,KENNEDY,3,108199,337.213.395.794,96282,285.522.465.006,951.073,979.914,"3,72",999.300,"88,94",0,0,5
533,2015,0,0,0,0,0,0,0,0,1,47,KENNEDY CENTRAL,8,KENNEDY,3,108199,337.213.395.794,96282,285.522.465.006,951.073,979.914,"3,72",999.300,"88,94",0,0,5
533,2011,0,0,0,0,0,0,0,0,1,47,KENNEDY CENTRAL,8,KENNEDY,3,108199,337.213.395.794,96282,285.522.465.006,951.073,979.914,"3,72",999.300,"88,94",0,0,5
533,2023,0,0,0,0,0,0,0,0,2,47,KENNEDY CENTRAL,8,KENNEDY,3,108199,337.213.395.794,96282,285.522.465.006,951.073,979.914,"3,72",999.300,"88,94",0,0,5
534,2015,0,0,0,0,0,0,0,0,1,47,KENNEDY CENTRAL,8,KENNEDY,3,108199,337.213.395.794,96282,285.522.465.006,951.073,979.914,"3,72",999.300,"88,94",0,0,3
534,2019,0,0,0,0,0,0,0,0,1,47,KENNEDY CENTRAL,8,KENNEDY,3,108199,337.213.395.794,96282,285.522.465.006,951.073,979.914,"3,72",999.300,"88,94",0,0,3
534,2011,0,0,0,0,0,0,0,0,1,47,KENNEDY CENTRAL,8,KENNEDY,3,108199,337.213.395.794,96282,285.522.465.006,951.073,979.914,"3,72",999.300,"88,94",0,0,3
534,2023,0,0,0,0,0,0,0,0,3,47,KENNEDY CENTRAL,8,KENNEDY,3,108199,337.213.395.794,96282,285.522.465.006,951.073,979.914,"3,72",999.300,"88,94",0,0,3
535,2011,0,0,0,0,0,0,0,0,1,48,TIMIZA,8,KENNEDY,2.1300001,145608,430.438.314.853,147298,342.204.666.539,951.073,979.914,"3,72",999.300,"88,94",2,1,3
535,2019,0,0,1,1,0,0,0,0,1,48,TIMIZA,8,KENNEDY,2.1300001,145608,430.438.314.853,147298,342.204.666.539,951.073,979.914,"3,72",999.300,"88,94",2,1,3
535,2023,0,0,1,1,0,0,0,0,4,48,TIMIZA,8,KENNEDY,2.1300001,145608,430.438.314.853,147298,342.204.666.539,951.073,979.914,"3,72",999.300,"88,94",2,1,3
535,2015,0,0,0,0,0,0,0,0,1,48,TIMIZA,8,KENNEDY,2.1300001,145608,430.438.314.853,147298,342.204.666.539,951.073,979.914,"3,72",999.300,"88,94",2,1,3
536,2019,0,0,0,0,0,0,0,0,1,48,TIMIZA,8,KENNEDY,3,145608,430.438.314.853,147298,342.204.666.539,951.073,979.914,"3,72",999.300,"88,94",0,0,1
536,2015,0,0,0,0,0,0,0,0,1,48,TIMIZA,8,KENNEDY,3,145608,430.438.314.853,147298,342.204.666.539,951.073,979.914,"3,72",999.300,"88,94",0,0,1
536,2011,0,0,0,0,0,0,0,0,1,48,TIMIZA,8,KENNEDY,3,145608,430.438.314.853,147298,342.204.666.539,951.073,979.914,"3,72",999.300,"88,94",0,0,1
536,2023,1,1,0,0,0,0,0,0,3,48,TIMIZA,8,KENNEDY,3,145608,430.438.314.853,147298,342.204.666.539,951.073,979.914,"3,72",999.300,"88,94",0,0,1
537,2015,0,0,0,0,0,0,0,0,1,48,TIMIZA,8,KENNEDY,3,145608,430.438.314.853,147298,342.204.666.539,951.073,979.914,"3,72",999.300,"88,94",0,0,1
537,2023,0,0,0,0,0,0,0,0,6,48,TIMIZA,8,KENNEDY,3,145608,430.438.314.853,147298,342.204.666.539,951.073,979.914,"3,72",999.300,"88,94",0,0,1
537,2019,0,0,0,0,0,0,0,0,1,48,TIMIZA,8,KENNEDY,3,145608,430.438.314.853,147298,342.204.666.539,951.073,979.914,"3,72",999.300,"88,94",0,0,1
