zat,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad,estrato_mean,poblacion_2005,area_urbana_2009,poblacion_urbana_2009,densidad_urbana_2009,poblacion_por_localidad_2005,personas_por_localidad_2007,personas_por_hogar_2007_localida,gasto_promedio_mensual_2007_loca,icv_2007_localidad,num_est_transmi,acceso_transmi,accesibilidad_arterial
509,2023,0,0,0,0,0,0,0,0,3,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",4,1,5
509,2011,0,0,0,0,0,0,0,0,1,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",4,1,5
509,2015,0,0,0,0,0,0,0,0,1,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",4,1,5
509,2019,0,0,0,0,0,0,0,0,1,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",4,1,5
510,2015,0,0,0,0,0,0,0,0,1,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",2,1,3
510,2019,0,0,0,0,0,0,0,0,1,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",2,1,3
510,2011,0,0,0,0,0,0,0,0,1,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",2,1,3
510,2023,0,0,0,0,0,0,0,0,3,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",2,1,3
511,2015,0,0,0,0,0,0,0,0,1,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",4,1,3
511,2019,0,0,0,0,0,0,0,0,1,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",4,1,3
511,2011,0,0,0,0,0,0,0,0,1,41,MUZU,16,PUENTE ARANDA,3,58178,252.822.051.232,57052,225.660.695.821,253.638,250.715,"3,55",1.116.511,"90,43",4,1,3
