codigo_upz,year,quarter,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,estrato_mean,poblacion_2005,poblacion_urbana_2009,num_est_transmi,acceso_transmi,accesibilidad_arterial,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,nombre_localidad,nombre_upz,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index_eb,theft_to_people_index_eb,homicide_index_eb,sexual_index_eb,theft_to_vehicle_index_eb,theft_to_motorbike_index_eb,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index,total_atraco,total_VEHICULO,total_violacion_domicilio,total_alteracion_orden,total_violacion_maltrato,total_homicidio,total_pandillas_drogas,total_armas,total_rapto_secuestro,total_alcohol_menores,total_sospechoso,total_auxilio,total_tendida,tasa_total_atraco,tasa_total_VEHICULO,tasa_total_violacion_domicilio,tasa_total_alteracion_orden,tasa_total_violacion_maltrato,tasa_total_homicidio,tasa_total_pandillas_drogas,tasa_total_armas,tasa_total_rapto_secuestro,tasa_total_alcohol_menores,tasa_total_sospechoso,tasa_total_auxilio,tasa_total_tendida
1,2015,1,0,0,0,0,0,0,0,0,0,4,52488,63828,3,3,83,430.156,312,1.867.529,936,USAQUEN,PASEO DE LOS LIBERTADORES,16,0,1,0,1,0,6,12,2693,1346,1347,60.05249636788149,53.88358381758236,0.36741908987679506,1.4087193153602868,0.6838151496362047,1.407768057810764,66.83995544002971,59.41329372447085,0,3.713330857779428,0,3.713330857779428,89.15304606240713,44.54342984409799,3,2,2,12,7,0,3,3,1,2,3,3,3,11.139992573338283,7.426661715558856,7.426661715558856,44.55997029335313,25.993316004456,0,11.139992573338283,11.139992573338283,3.713330857779428,7.426661715558856,11.139992573338283,11.139992573338283,11.139992573338283
1,2015,2,0,0,0,0,0,0,0,0,0,4,52488,63828,3,3,83,430.156,312,1.867.529,936,USAQUEN,PASEO DE LOS LIBERTADORES,15,0,0,0,0,0,6,9,2693,1346,1347,49.637475908372075,50.064170800567666,0.38792159043609414,0.8605282789607094,0.6056947756026824,0.946621601370644,55.69996286669142,55.69996286669142,0,0,0,0,66.86478454680534,44.54342984409799,3,2,2,10,7,0,4,2,3,2,3,1,2,11.139992573338283,7.426661715558856,7.426661715558856,37.13330857779428,25.993316004456,0,14.853323431117712,7.426661715558856,11.139992573338283,7.426661715558856,11.139992573338283,3.713330857779428,7.426661715558856
1,2015,3,0,0,0,0,0,0,0,0,0,4,52488,63828,3,3,83,430.156,312,1.867.529,936,USAQUEN,PASEO DE LOS LIBERTADORES,8,0,0,0,0,0,3,5,2693,1346,1347,26.73179973376654,26.73409412751862,0.3855892359784063,1.050293803985831,0.7111201962130151,1.0530049786497089,29.706646862235424,29.706646862235424,0,0,0,0,37.14710252600297,22.271714922048996,3,1,1,9,4,0,3,2,2,1,3,2,3,11.139992573338283,3.713330857779428,3.713330857779428,33.419977720014856,14.853323431117712,0,11.139992573338283,7.426661715558856,7.426661715558856,3.713330857779428,11.139992573338283,7.426661715558856,11.139992573338283
1,2015,4,0,0,0,0,0,0,0,0,0,4,52488,63828,3,3,83,430.156,312,1.867.529,936,USAQUEN,PASEO DE LOS LIBERTADORES,6,0,2,0,0,0,4,4,2693,1346,1347,26.220693031169468,19.91096848377129,0.4459723659992168,1.7482948732795345,0.6681302737496742,0.9505308106418364,29.706646862235424,22.27998514667657,0,7.426661715558856,0,0,29.717682020802375,29.695619896065327,3,2,1,10,6,0,4,3,2,2,3,3,1,11.139992573338283,7.426661715558856,3.713330857779428,37.13330857779428,22.279985146676566,0,14.853323431117712,11.139992573338283,7.426661715558856,7.426661715558856,11.139992573338283,11.139992573338283,3.713330857779428
1,2016,1,0,0,0,0,0,0,0,0,0,4,52488,63828,3,3,83,430.156,312,1.867.529,936,USAQUEN,PASEO DE LOS LIBERTADORES,15,0,1,0,0,0,6,10,2646,1320,1326,55.08683673722353,51.89229254200033,0.3583646833421909,1.562444687020317,0.6883134824629304,0.9878722216268376,60.46863189720333,56.68934240362812,0,3.779289493575208,0,0,75.75757575757576,45.248868778280546,3,1,1,9,6,0,4,3,2,1,3,3,2,11.337868480725623,3.779289493575208,3.779289493575208,34.01360544217687,22.675736961451246,0,15.117157974300833,11.337868480725623,7.558578987150416,3.779289493575208,11.337868480725623,11.337868480725623,7.558578987150416
1,2016,2,0,0,0,0,0,0,0,0,0,4,52488,63828,3,3,83,430.156,312,1.867.529,936,USAQUEN,PASEO DE LOS LIBERTADORES,14,0,1,0,1,0,5,11,2646,1320,1326,52.968561312390406,46.7038562256701,0.4102001816771478,1.554344496974789,0.6835876674747677,1.3893027554037725,60.46863189720333,52.910052910052904,0,3.779289493575208,0,3.779289493575208,83.33333333333333,37.70739064856712,3,0,2,7,6,0,2,3,3,2,3,2,2,11.337868480725623,0,7.558578987150416,26.455026455026452,22.675736961451246,0,7.558578987150416,11.337868480725623,11.337868480725623,7.558578987150416,11.337868480725623,7.558578987150416,7.558578987150416
1,2016,3,0,0,0,0,0,0,0,0,0,4,52488,63828,3,3,83,430.156,312,1.867.529,936,USAQUEN,PASEO DE LOS LIBERTADORES,26,0,1,1,0,0,15,13,2646,1320,1326,91.92914757644031,85.56634236971978,0.3393100612779829,1.7942093787596334,1.45117589405844,0.8378316785245681,105.8201058201058,98.2615268329554,0,3.779289493575208,3.779289493575208,0,98.48484848484848,113.12217194570135,3,2,0,9,7,0,3,3,3,2,3,1,2,11.337868480725623,7.558578987150416,0,34.01360544217687,26.455026455026452,0,11.337868480725623,11.337868480725623,11.337868480725623,7.558578987150416,11.337868480725623,3.779289493575208,7.558578987150416
1,2016,4,0,0,0,0,0,0,0,0,0,4,52488,63828,3,3,83,430.156,312,1.867.529,936,USAQUEN,PASEO DE LOS LIBERTADORES,15,0,1,0,0,0,6,10,2646,1320,1326,52.9860246157108,49.6358165698752,0.08180130039774694,1.614483564092985,0.7146111383858961,0.8676984767007075,60.46863189720333,56.68934240362812,0,3.779289493575208,0,0,75.75757575757576,45.248868778280546,3,2,1,11,6,0,3,2,1,1,3,1,1,11.337868480725623,7.558578987150416,3.779289493575208,41.57218442932729,22.675736961451246,0,11.337868480725623,7.558578987150416,3.779289493575208,3.779289493575208,11.337868480725623,3.779289493575208,3.779289493575208
1,2017,1,0,0,0,0,0,0,0,0,0,4,52488,63828,3,3,83,430.156,312,1.867.529,936,USAQUEN,PASEO DE LOS LIBERTADORES,38,0,0,0,0,0,13,25,2600,1293,1307,135.18911581873235,135.43048192851236,0.29578900413041964,1.0058120041561298,0.9020663943850006,1.0770498130705155,146.15384615384616,146.15384615384616,0,0,0,0,193.34880123743233,99.46442234123948,3,2,2,10,6,0,4,2,2,2,3,1,2,11.53846153846154,7.6923076923076925,7.6923076923076925,38.46153846153847,23.07692307692308,0,15.384615384615385,7.6923076923076925,7.6923076923076925,7.6923076923076925,11.53846153846154,3.8461538461538463,7.6923076923076925
1,2017,2,0,0,0,0,0,0,0,0,0,4,52488,63828,3,3,83,430.156,312,1.867.529,936,USAQUEN,PASEO DE LOS LIBERTADORES,23,0,1,0,1,0,14,11,2600,1293,1307,91.18289404914955,83.90301373443485,0.26324952295821247,2.050778880124729,0.8390618356085151,1.6048202739218194,96.15384615384616,88.46153846153845,0,3.8461538461538463,0,3.8461538461538463,85.07347254447022,107.11553175210406,3,2,2,11,5,0,4,3,2,3,3,3,2,11.53846153846154,7.6923076923076925,7.6923076923076925,42.30769230769231,19.230769230769234,0,15.384615384615385,11.53846153846154,7.6923076923076925,11.53846153846154,11.53846153846154,11.53846153846154,7.6923076923076925
