codigo_upz,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,estrato_mean,poblacion_2005,poblacion_urbana_2009,num_est_transmi,acceso_transmi,accesibilidad_arterial,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,nombre_localidad,nombre_upz,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
114.0,2018,0.0,0,0.0,0,2.0,1,1.0,1,4.0,3.8,191930.0,197050.0,9.0,4,24.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,MODELIA,862.0,0.0,24.0,44.0,16.0,0.0,432.0,514.0,42000.0,19461.0,22539.0,225.2380952380952,205.23809523809524,0.0,5.714285714285714,10.476190476190476,3.8095238095238098,264.1179795488413,191.66777585518435
89.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.0666666666666664,28245.0,48603.0,0.0,0,3.0,122.507,"2,43",2.288.835,"96,61",CHAPINERO,SAN ISIDRO - PATIOS,39.0,2.0,24.0,2.0,2.0,0.0,40.0,29.0,15231.0,7533.0,7698.0,45.30234390388024,25.605672641323615,1.3131114175037752,15.757337010045301,1.3131114175037752,1.3131114175037752,38.49727864064782,51.96154845414394
38.0,2018,0.0,0,2.0,1,4.0,1,0.0,0,1.0,3.008,1246305.0,1155330.0,52.0,15,75.0,119.565,"3,92",1.095.184,"90,79",ANTONIO NARIÑO,RESTREPO,1592.0,26.0,92.0,171.0,86.0,2.0,824.0,1139.0,54246.0,26004.0,28242.0,362.60738118939645,293.47786011871847,4.792980127567009,16.95977583600634,31.52306160822918,15.853703498875493,438.0095369943086,291.76403937398203
52.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,614920.0,740280.0,0.0,0,176.0,314.431,"4,07",569.872,"82,91",USME,LA FLORA,122.0,28.0,88.0,20.0,28.0,2.0,124.0,158.0,18178.0,8980.0,9198.0,157.33303993838706,67.11409395973155,15.403234679282649,48.41016613488833,11.002310485201892,15.403234679282649,175.94654788418705,134.81191563383342
96.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,4.0,1.7264285714285716,628474.0,648214.0,4.0,2,16.0,96.241,"3,18",896.890,"88,28",SANTA FE,LOURDES,232.0,16.0,67.0,20.0,30.0,0.0,156.0,209.0,44303.0,21564.0,22739.0,82.38719725526488,52.36665688553822,3.6114935783129813,15.123129359185608,4.514366972891226,6.77155045933684,96.92079391578557,68.60460002638638
84.0,2018,0.0,0,0.0,0,2.0,1,1.0,1,1.0,1.98,990222.0,1073760.0,1.0,1,30.0,546.809,"3,98",703.807,"85,4",BOSA,BOSA OCCIDENTAL,1064.0,90.0,296.0,104.0,403.0,3.0,711.0,1240.0,195836.0,95646.0,100190.0,99.93055413713516,54.331175064850186,4.59568210135011,15.114687799995917,5.310565983782349,20.578443187156598,129.64473161449513,70.96516618424992
111.0,2018,0.0,0,0.0,0,1.0,1,0.0,0,2.0,2.9375,64585.0,73290.0,16.0,5,63.0,250.715,"3,55",1.116.511,"90,43",PUENTE ARANDA,PUENTE ARANDA,849.0,10.0,34.0,33.0,50.0,0.0,408.0,568.0,10700.0,8209.0,2491.0,912.1495327102804,793.4579439252336,9.345794392523365,31.77570093457944,30.841121495327105,46.72897196261682,691.9234985990985,1637.8964271376958
112.0,2018,1.0,1,1.0,1,1.0,1,0.0,0,3.0,3.1133333333333333,126427.0,160027.0,0.0,0,71.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,GRANJAS DE TECHO,1407.0,6.0,26.0,38.0,64.0,0.0,664.0,877.0,43620.0,20259.0,23361.0,353.278312700596,322.55845942228336,1.3755158184319118,5.960568546538285,8.711600183402108,14.672168729940394,432.8940224097932,284.2344077736398
75.0,2018,0.0,0,1.0,1,7.0,1,3.0,1,3.0,2.913,1316550.0,1374890.0,0.0,0,58.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,FONTIBON,1455.0,22.0,180.0,55.0,149.0,3.0,766.0,1089.0,129959.0,62133.0,67826.0,143.19900891819728,111.95838687586085,1.6928415885009889,13.850522087735364,4.232103971252473,11.465154394847605,175.2691806286514,112.93604222569516
12.0,2018,1.0,1,1.0,1,3.0,1,0.0,0,6.0,3.378,256245.0,260090.0,9.0,3,42.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,TOBERIN,956.0,6.0,68.0,50.0,21.0,0.0,492.0,609.0,58835.0,27123.0,31712.0,187.13350896575167,162.4883147786182,1.0198011387779382,11.5577462394833,8.498342823149486,3.569303985722784,224.5326844375622,155.14631685166498
16.0,2018,1.0,1,2.0,1,7.0,1,1.0,1,12.0,5.738888888888889,464238.0,463266.0,18.0,6,60.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,SANTA BARBARA,2558.0,4.0,30.0,19.0,14.0,1.0,1224.0,1399.0,67760.0,30437.0,37323.0,387.39669421487605,377.50885478158204,0.5903187721369539,4.427390791027155,2.8040141676505312,2.0661157024793386,459.63794066432297,327.9479141548107
82.0,2018,0.0,0,0.0,0,2.0,1,2.0,1,0.0,1.9566666666666668,963012.0,1044870.0,9.0,4,29.0,979.914,"3,72",999.300,"88,94",KENNEDY,PATIO BONITO,1531.0,70.0,219.0,136.0,304.0,1.0,806.0,1452.0,140235.0,69384.0,70851.0,161.15805612008413,109.17388669019859,4.991621207259243,15.61664349128249,9.698006916960816,21.677897814383,209.27014873746108,113.75986224612214
35.0,2018,0.0,0,0.0,0,0.0,0,1.0,1,1.0,2.666,168705.0,154565.0,35.0,5,22.0,119.565,"3,92",1.095.184,"90,79",ANTONIO NARIÑO,CIUDAD JARDIN,431.0,2.0,42.0,59.0,34.0,0.0,235.0,333.0,24983.0,11921.0,13062.0,227.35460112876757,172.51731177200497,0.8005443701717168,16.811431773606053,23.616058920065647,13.609254292919184,279.33898162905797,179.9111927729291
68.0,2018,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.055,351536.0,380992.0,0.0,0,13.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,EL TESORO,161.0,84.0,84.0,18.0,66.0,0.0,161.0,252.0,49741.0,24609.0,25132.0,83.03009589674514,32.36766450212099,16.887477131541385,16.887477131541385,3.618745099616011,13.268732031925374,102.40156040472999,64.06175393920101
27.0,2018,1.0,1,2.0,1,7.0,1,2.0,1,2.0,2.840909090909091,1497236.0,1751217.0,16.0,6,48.0,981.613,"3,41",1.388.086,"91,6",SUBA,SUBA,1569.0,22.0,151.0,95.0,102.0,1.0,853.0,1084.0,166333.0,77901.0,88432.0,116.57337990657297,94.32884635039348,1.3226479411782388,9.07817450535973,5.711434291451486,6.132276818190017,139.1509736717115,96.45829563958748
22.0,2018,1.0,1,0.0,0,7.0,1,0.0,0,2.0,3.292222222222222,847206.0,887247.0,37.0,8,38.0,230.066,"3,36",1.462.840,"92,44",BARRIOS UNIDOS,DOCE DE OCTUBRE,1265.0,6.0,58.0,88.0,32.0,0.0,579.0,870.0,64814.0,30527.0,34287.0,223.56281050390348,195.17388218594746,0.9257259234116085,8.948683926312217,13.57731354337026,4.937204924861913,284.9936122121401,168.8686674249716
