ZAT,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo
30.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
107.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
112.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
41.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
104.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
40.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
39.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
88.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
69.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
70.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,3.0
71.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,3.0
62.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
51.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
122.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
123.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
185.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,1.0
186.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
199.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
121.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
103.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
102.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
101.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
100.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
105.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
96.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
132.0,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0
