codigo_upz,year,quarter,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,nombre_upz,codigo_localidad,nombre_localidad,estrato_mean,poblacion_2005,area_urbana_2009,poblacion_urbana_2009,densidad_urbana_2009,poblacion_por_localidad_2005,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,num_est_transmi,acceso_transmi,accesibilidad_arterial,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
114.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,MODELIA,9,FONTIBON,3.8,38386.0,261.581.365.518,39410.0,150.660.579.059,301.375,317.179,"3,46",1.428.379,"90,03",1.8,0.8,4.8,53.0,0.0,4.0,8.0,1.0,13.0,5.0,9.0,9.0,7.0,7.0,16.0,27.0,39.0,41956.0,19382.0,22574.0,15.73076556392411,12.632281437696633,0.0,0.9533797311469158,1.9067594622938315,0.23834493278672894,20.121762460014445,11.960662709311597
89.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,SAN ISIDRO - PATIOS,2,CHAPINERO,2.0666666666666664,9415.0,11.301.823.434,16201.0,143.348.549.857,122.827,122.507,"2,43",2.288.835,"96,61",0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,14537.0,7178.0,7359.0,2.7515993671321457,2.0636995253491093,0.0,0.6878998417830364,0.0,0.0,2.7862914460852606,2.7177605652941974
38.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,RESTREPO,15,ANTONIO NARIÑO,3.008,83087.0,354.715.513.318,77022.0,217.137.387.873,116.828,119.565,"3,92",1.095.184,"90,79",3.466666666666667,1.0,5.0,110.0,2.0,8.0,17.0,14.0,22.0,20.0,22.0,22.0,22.0,27.0,16.0,59.0,92.0,55945.0,26632.0,29313.0,26.9907945303423,19.66216820091161,0.357493967289302,1.429975869157208,3.0386987219590673,2.5024577710251137,34.544908380895166,20.1275884419882
52.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,LA FLORA,5,USME,1.0,15373.0,187.716.025.612,18507.0,9.859.041.038,298.992,314.431,"4,07",569.872,"82,91",0.0,0.0,4.4,12.0,2.0,2.0,0.0,0.0,6.0,2.0,4.0,2.0,0.0,2.0,0.0,4.0,12.0,17505.0,8720.0,8785.0,9.140245644101684,6.855184233076264,1.1425307055127105,1.1425307055127105,0.0,0.0,13.761467889908257,4.553215708594195
96.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,2.0,LOURDES,3,SANTA FE,1.7264285714285716,44891.0,200.137.127.152,46301.0,231.346.380.648,109.107,96.241,"3,18",896.890,"88,28",0.2857142857142857,0.1428571428571428,1.1428571428571428,35.0,3.0,2.0,1.0,0.0,4.0,5.0,9.0,9.0,7.0,3.0,4.0,13.0,28.0,44546.0,21724.0,22822.0,9.203968930992682,7.857046648408387,0.6734611412921475,0.44897409419476497,0.22448704709738249,0.0,12.888970723623641,5.69625799666988
84.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,BOSA OCCIDENTAL,7,BOSA,1.98,165037.0,430.379.853.645,178960.0,415.818.720.334,508.828,546.809,"3,98",703.807,"85,4",0.1666666666666666,0.1666666666666666,5.0,82.0,7.0,16.0,4.0,26.0,14.0,20.0,25.0,15.0,25.0,15.0,21.0,52.0,83.0,196849.0,96671.0,100178.0,6.858048554983769,4.165629492656808,0.35560251766582507,0.812805754664743,0.20320143866618576,1.3208093513302073,8.585822014875195,5.190760446405398
111.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,PUENTE ARANDA,16,PUENTE ARANDA,2.9375,12917.0,356.447.429.991,14658.0,41.122.473.517,253.638,250.715,"3,55",1.116.511,"90,43",3.2,1.0,12.6,60.0,0.0,9.0,2.0,3.0,10.0,14.0,13.0,6.0,8.0,8.0,15.0,28.0,46.0,9493.0,6848.0,2645.0,77.95217528705362,63.20446644896239,0.0,9.480669967344358,2.1068155482987465,3.1602233224481195,67.17289719626169,105.8601134215501
112.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,GRANJAS DE TECHO,9,FONTIBON,3.1133333333333333,18061.0,477.255.354.063,22861.0,479.009.817.394,301.375,317.179,"3,46",1.428.379,"90,03",0.0,0.0,10.142857142857142,52.0,1.0,1.0,6.0,5.0,8.0,7.0,11.0,10.0,8.0,15.0,6.0,22.0,43.0,37231.0,17208.0,20023.0,17.458569471676828,13.966855577341464,0.26859337648733583,0.26859337648733583,1.611560258924015,1.3429668824366792,24.988377498837753,10.987364530789593
75.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,FONTIBON,9,FONTIBON,2.913,131655.0,496.457.437.428,137489.0,27.694.015.566,301.375,317.179,"3,46",1.428.379,"90,03",0.0,0.0,5.8,120.0,5.0,12.0,8.0,14.0,19.0,23.0,22.0,24.0,20.0,18.0,33.0,60.0,99.0,133192.0,63502.0,69690.0,11.937653913147939,9.009550123130518,0.37539792179710496,0.9009550123130519,0.6006366748753679,1.0511141810318938,15.59006015558565,8.609556607834696
12.0,2015,1,1.0,1,0.0,0,0.0,0,0.0,0,5.0,TOBERIN,1,USAQUEN,3.378,51249.0,290.663.146.859,52018.0,178.963.176.316,425.192,430.15600000000006,"3,12",1.867.529,"93,6",1.8,0.6,8.4,64.0,0.0,4.0,2.0,3.0,11.0,9.0,14.0,10.0,7.0,8.0,14.0,29.0,44.0,58543.0,26971.0,31572.0,12.4694668875869,10.932135353500845,0.0,0.6832584595938028,0.3416292297969014,0.5124438446953521,16.31381854584554,9.185354111237805
16.0,2015,1,0.0,0,0.0,0,2.0,1,0.0,0,6.0,SANTA BARBARA,1,USAQUEN,5.738888888888889,51582.0,458.698.320.974,51474.0,112.217.546.144,425.192,430.156,"3,12",1.867.529,"93,6",2.0,0.6666666666666666,6.666666666666667,134.0,1.0,8.0,2.0,3.0,12.0,21.0,13.0,17.0,39.0,17.0,29.0,60.0,87.0,65473.0,29173.0,36300.0,22.604737830861577,20.466451819834127,0.15273471507338904,1.2218777205871123,0.3054694301467781,0.45820414522016706,29.82209577348919,16.52892561983471
82.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,PATIO BONITO,8,KENNEDY,1.9566666666666668,160502.0,317.321.661.524,174145.0,548.796.445.738,951.073,979.914,"3,72",999.300,"88,94",1.5,0.6666666666666666,4.833333333333333,73.0,5.0,7.0,6.0,20.0,17.0,16.0,16.0,20.0,19.0,13.0,10.0,31.0,80.0,144804.0,72234.0,72570.0,7.665534101267921,5.041297201734759,0.3452943288859424,0.4834120604403193,0.4143531946631308,1.3811773155437697,11.07511698092311,4.271737632630564
35.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,CIUDAD JARDIN,15,ANTONIO NARIÑO,2.666,33741.0,133.239.133.285,30913.0,23.201.141.615,116.828,119.565,"3,92",1.095.184,"90,79",7.0,1.0,4.4,26.0,1.0,1.0,1.0,2.0,5.0,2.0,3.0,5.0,8.0,4.0,4.0,12.0,19.0,25069.0,11890.0,13179.0,12.365870198252821,10.371375004986238,0.39889903865331683,0.39889903865331683,0.39889903865331683,0.7977980773066337,15.979814970563499,9.105394946505806
68.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,EL TESORO,19,CIUDAD BOLIVAR,1.055,43942.0,210.862.210.964,47624.0,225.853.650.032,570.619,593.937,"4,09",505.335,"83,5",0.0,0.0,1.625,13.0,4.0,7.0,0.0,6.0,4.0,6.0,2.0,6.0,5.0,4.0,3.0,11.0,19.0,48247.0,24089.0,24158.0,6.218003191908305,2.6944680498269324,0.8290670922544408,1.4508674114452713,0.0,1.243600638381661,7.887417493461745,4.553357065982284
27.0,2015,1,1.0,1,0.0,0,1.0,1,0.0,0,2.0,SUBA,11,SUBA,2.840909090909091,115172.0,652.901.130.738,134709.0,206.323.735.184,923.064,981.613,"3,41",1.388.086,"91,6",1.2307692307692308,0.4615384615384615,3.692307692307693,158.0,2.0,17.0,7.0,6.0,27.0,34.0,26.0,30.0,24.0,24.0,25.0,78.0,112.0,163366.0,76565.0,86801.0,11.630326995825326,9.671535080738954,0.12242449469289816,1.0406082048896343,0.4284857314251435,0.3672734840786945,14.628093776529747,8.986071589036992
22.0,2015,1,1.0,1,0.0,0,2.0,1,0.0,0,1.0,DOCE DE OCTUBRE,12,BARRIOS UNIDOS,3.292222222222222,94134.0,336.255.107.979,98583.0,293.179.189.433,223.073,230.066,"3,36",1.462.840,"92,44",4.111111111111111,0.8888888888888888,4.222222222222222,109.0,2.0,16.0,18.0,11.0,15.0,25.0,25.0,26.0,21.0,21.0,23.0,58.0,98.0,65712.0,31865.0,33847.0,23.739956172388606,16.58753347942537,0.30435841246652057,2.4348672997321645,2.739225712198685,1.673971268565863,30.7547465871646,17.135935237982686
105.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,JARDIN BOTANICO,10,ENGATIVA,2.67,1601.0,161.705.211.764,2464.0,152.376.041.138,804.47,824.337,"3,41",1.089.512,"91,78",4.0,1.0,11.0,6.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,2.0,1.0,6.0,4.0,1908.0,1049.0,859.0,52.41090146750524,31.446540880503147,0.0,10.482180293501049,0.0,10.482180293501049,38.13155386081983,69.84866123399301
104.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,2.0,PARQUE SIMON BOLIVAR - CAN,13,TEUSAQUILLO,4.0,3249.0,398.684.265.835,3404.0,853.808.462.411,137.53,139.298,"2,87",1.933.116,"96,03",3.5,0.8333333333333334,5.666666666666667,37.0,2.0,3.0,0.0,4.0,3.0,3.0,7.0,10.0,9.0,4.0,10.0,15.0,31.0,2932.0,1459.0,1473.0,156.88949522510234,126.193724420191,6.8212824010914055,10.231923601637106,0.0,13.642564802182811,212.47429746401644,101.83299389002038
74.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,ENGATIVA,10,ENGATIVA,2.0016666666666665,118752.0,58.763.454.342,130828.0,222.634.971.795,804.4699999999999,824.337,"3,41",1.089.512,"91,78",0.0,0.0,2.5,24.0,5.0,8.0,1.0,11.0,7.0,6.0,8.0,13.0,9.0,3.0,3.0,12.0,37.0,130807.0,63588.0,67219.0,3.7459768972608503,1.8347641945767428,0.38224254053682144,0.6115880648589143,0.07644850810736428,0.840933589181007,5.818707932314274,1.7852095389696365
47.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,KENNEDY CENTRAL,8,KENNEDY,3.0,108199.0,337.213.395.794,96282.0,285.522.465.006,951.073,979.914,"3,72",999.300,"88,94",1.125,0.5,3.5,70.0,7.0,8.0,10.0,20.0,8.0,16.0,19.0,14.0,22.0,14.0,22.0,38.0,76.0,97797.0,46364.0,51433.0,11.759051913657883,7.157683773530885,0.7157683773530885,0.818021002689244,1.0225262533615551,2.0450525067231102,16.392028297817273,7.388252678241596
70.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,JERUSALEM,19,CIUDAD BOLIVAR,1.1733333333333331,87775.0,537.476.344.439,98693.0,183.622.965.031,570.619,593.937,"4,09",505.335,"83,5",0.0,0.0,2.5555555555555554,25.0,9.0,10.0,5.0,16.0,6.0,12.0,14.0,11.0,7.0,4.0,11.0,20.0,45.0,92919.0,45751.0,47168.0,6.9953400273356365,2.6905153951290908,0.9685855422464726,1.0762061580516362,0.5381030790258181,1.7219298528826181,9.835850582500928,4.240162822252374
66.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,SAN FRANCISCO,19,CIUDAD BOLIVAR,1.8425,74646.0,178.603.384.328,76213.0,426.716.438.139,570.619,593.937,"4,09",505.335,"83,5",0.5,0.375,3.25,36.0,4.0,12.0,6.0,11.0,6.0,9.0,10.0,16.0,6.0,14.0,8.0,32.0,37.0,69284.0,34028.0,35256.0,9.959009295075342,5.196004849604526,0.5773338721782807,1.732001616534842,0.866000808267421,1.587668148490272,10.873398377806511,9.076469253460404
65.0,2015,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ARBORIZADORA,19,CIUDAD BOLIVAR,2.463333333333334,58199.0,306.264.190.866,60752.0,198.364.685.823,570.619,593.937,"4,09",505.335,"83,5",1.5,0.5,3.5,32.0,3.0,5.0,7.0,9.0,2.0,10.0,12.0,13.0,6.0,6.0,7.0,22.0,34.0,72468.0,34778.0,37690.0,7.7275487111552685,4.415742120660154,0.4139758238118894,0.689959706353149,0.9659435888944086,1.241927471435668,9.776295359135085,5.837092066861237
