ZAT,year,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad,estrato_mean,poblacion_2005,area_urbana_2009,poblacion_urbana_2009,densidad_urbana_2009,poblacion_por_localidad_2005,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,num_est_transmi,acceso_transmi,accesibilidad_arterial,mujer,ingreso,nivel_educativo,estrato_trabajador,limitaciones_fisicas,total_personas,tipo_vivienda_d2,tipo_vivienda_d3,tipo_vivienda_d4,tipo_vivienda_d5,nivel_educativo_d2,nivel_educativo_d3,nivel_educativo_d4,nivel_educativo_d5,nivel_educativo_d7,nivel_educativo_d8,nivel_educativo_d9,nivel_educativo_d11,ocupacion1_d1,ocupacion1_d4,ocupacion1_d5,ocupacion1_d6,ocupacion1_d7,ocupacion1_d8,ocupacion1_d13,ocupacion1_d18,ocupacion1_d19,ocupacion1_d20,ocupacion1_d24,actividad_economica1_d1,actividad_economica1_d3,actividad_economica1_d4,actividad_economica1_d5,actividad_economica1_d7,actividad_economica1_d8,actividad_economica1_d9,actividad_economica1_d10,actividad_economica1_d11,actividad_economica1_d12,actividad_economica1_d13,actividad_economica1_d14,actividad_economica1_d15,actividad_economica1_d16,actividad_economica1_d17,nomina_patron,independiente_total,independiente_trabajando,independiente_buscando,buscar_trabajo,con_trabajo,tot,desempleado,prop_nomina_patron,prop_independiente_total,prop_independiente_trabajando,prop_independiente_buscando,prop_buscar,prop_desempleado,formal_no_indep,vendedor_informal,prop_formal_no_indep
819,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,1.0,4.0,11.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
824,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
801,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.33333334,2.7777777,6.2222223,2.6666667,0.0,3.7777777,0.11111111,0.0,0.0,0.0,0.11111111,0.11111111,0.0,0.22222222,0.11111111,0.22222222,0.22222222,0.0,0.22222222,0.0,0.33333334,0.0,0.0,0.0,0.22222222,0.22222222,0.0,0.0,0.0,0.22222222,0.0,0.0,0.11111111,0.22222222,0.0,0.0,0.0,0.0,0.0,0.11111111,0.0,0.11111111,0.0,0.0,2.0,3.0,3.0,0.0,0.0,9.0,9.0,0.0,0.22222222,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0
815,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.37313432,2.8955224,5.970149,2.2089553,0.014925373,4.1791043,0.19402985,0.014925373,0.0,0.0,0.07462686,0.11940298,0.08955224,0.29850745,0.11940298,0.07462686,0.13432837,0.07462686,0.014925373,0.0,0.26865673,0.05970149,0.0,0.0,0.029850746,0.04477612,0.0,0.014925373,0.029850746,0.08955224,0.029850746,0.11940298,0.029850746,0.05970149,0.029850746,0.104477614,0.0,0.07462686,0.05970149,0.08955224,0.04477612,0.104477614,0.029850746,0.0,1.0,22.0,22.0,0.0,1.0,66.0,67.0,1.0,0.014925373,0.3283582,0.3283582,0.0,0.014925373,0.014925373,0.0,0.0,0.0
1829,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
818,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.09090909,2.4,5.4545455,2.1818182,0.0,4.181818,0.09090909,0.0,0.0,0.0,0.0,0.18181819,0.09090909,0.36363637,0.27272728,0.0,0.09090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45454547,0.0,0.18181819,0.0,0.09090909,0.0,0.0,0.0,0.0,0.09090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
816,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.3984375,2.4561403,5.1953125,2.265625,0.0,4.2109375,0.15625,0.015625,0.0,0.0,0.0859375,0.0703125,0.1484375,0.4453125,0.125,0.015625,0.0546875,0.015625,0.0234375,0.0,0.1953125,0.0078125,0.0,0.0,0.0390625,0.015625,0.0,0.0078125,0.0,0.1328125,0.0078125,0.390625,0.0,0.1015625,0.0,0.0703125,0.0078125,0.046875,0.0234375,0.0625,0.0,0.0546875,0.015625,0.015625,3.0,26.0,25.0,1.0,2.0,126.0,128.0,1.0,0.0234375,0.203125,0.1953125,0.0078125,0.015625,0.0078125,0.0,0.0,0.0
807,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.37777779,2.2808988,5.611111,2.4333334,0.0,4.0111113,0.24444444,0.0,0.0,0.0,0.044444446,0.11111111,0.12222222,0.33333334,0.13333334,0.07777778,0.1,0.022222223,0.011111111,0.011111111,0.18888889,0.011111111,0.011111111,0.0,0.06666667,0.011111111,0.022222223,0.011111111,0.0,0.23333333,0.0,0.2777778,0.022222223,0.12222222,0.011111111,0.033333335,0.0,0.011111111,0.011111111,0.044444446,0.033333335,0.033333335,0.011111111,0.033333335,2.0,18.0,18.0,0.0,0.0,90.0,90.0,1.0,0.022222223,0.2,0.2,0.0,0.0,0.011111111,0.0,0.0,0.0
808,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.31944445,2.5142858,5.263889,2.4305556,0.0,4.2916665,0.16666667,0.0,0.013888889,0.0,0.097222224,0.097222224,0.16666667,0.2777778,0.125,0.027777778,0.125,0.013888889,0.083333336,0.013888889,0.2777778,0.027777778,0.0,0.0,0.013888889,0.0,0.0,0.013888889,0.0,0.06944445,0.0,0.041666668,0.0,0.083333336,0.0,0.097222224,0.013888889,0.06944445,0.06944445,0.11111111,0.06944445,0.1388889,0.013888889,0.041666668,6.0,22.0,22.0,0.0,1.0,71.0,72.0,1.0,0.083333336,0.30555555,0.30555555,0.0,0.013888889,0.013888889,0.0,0.0,0.0
795,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,90.0,PARDO RUBIO,2.0,CHAPINERO,1.22,19711.0,285.199.005.156,37191.0,130.403.680.685,122.827,122.507,"2,43",2.288.835,"96,61",2,1,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
802,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.38157895,1.7567568,3.631579,1.9605263,0.0,4.868421,0.13157895,0.013157895,0.0,0.0,0.27631578,0.17105263,0.28947368,0.2236842,0.02631579,0.013157895,0.0,0.0,0.09210526,0.013157895,0.23684211,0.0,0.0,0.013157895,0.02631579,0.0,0.0,0.013157895,0.013157895,0.68421054,0.013157895,0.039473683,0.0,0.05263158,0.0,0.013157895,0.0,0.0,0.013157895,0.0,0.02631579,0.05263158,0.039473683,0.013157895,7.0,18.0,18.0,0.0,0.0,76.0,76.0,1.0,0.09210526,0.23684211,0.23684211,0.0,0.0,0.013157895,0.0,0.0,0.0
916,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,1.8571428,4.571429,2.2857144,0.0,3.7142856,0.0,0.14285715,0.0,0.0,0.14285715,0.2857143,0.0,0.42857143,0.0,0.0,0.14285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285715,0.0,0.14285715,0.71428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
799,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.30508474,1.9821428,4.745763,2.4067798,0.0,4.2881355,0.118644066,0.033898305,0.0,0.0,0.050847456,0.15254237,0.13559322,0.5254237,0.050847456,0.0,0.050847456,0.0,0.016949153,0.0,0.30508474,0.016949153,0.0,0.0,0.084745765,0.016949153,0.0,0.0,0.0,0.13559322,0.0,0.22033899,0.0,0.16949153,0.06779661,0.084745765,0.016949153,0.0,0.0,0.016949153,0.033898305,0.084745765,0.0,0.0,1.0,19.0,19.0,0.0,0.0,59.0,59.0,0.0,0.016949153,0.3220339,0.3220339,0.0,0.0,0.0,0.0,0.0,0.0
798,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,70.0,JERUSALEM,19.0,CIUDAD BOLIVAR,,87775.0,537.476.344.439,98693.0,183.622.965.031,570.619,593.937,"4,09",505.335,"83,5",0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
797,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,0,0.0,0,,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0,5,0.33333334,1.4166666,4.1666665,1.0833334,0.0,4.4166665,0.0,0.0,0.0,0.0,0.25,0.083333336,0.16666667,0.41666666,0.0,0.083333336,0.0,0.0,0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.083333336,0.0,0.0,0.0,0.0,0.083333336,0.33333334,0.083333336,0.0,0.083333336,0.0,0.0,0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.083333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,2011,0.0,0,0.0,0,0.0,0,0.0,0,0.0,13.0,LOS CEDROS,1.0,USAQUEN,4.59,95424.0,672.263.207.867,102364.0,152.267.740.971,425.192,430.156,"3,12",1.867.529,"93,6",0,0,6,0.46153846,3.0769231,6.6923075,2.8461537,0.0,3.5384614,0.30769232,0.0,0.0,0.0,0.07692308,0.0,0.15384616,0.23076923,0.15384616,0.0,0.30769232,0.0,0.0,0.07692308,0.23076923,0.07692308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692308,0.07692308,0.07692308,0.0,0.23076923,0.0,0.15384616,0.0,0.07692308,0.23076923,0.0,0.0,4.0,4.0,0.0,0.0,13.0,13.0,0.0,0.0,0.30769232,0.30769232,0.0,0.0,0.0,0.0,0.0,0.0
