codigo_upz,year,quarter,cantidad_oxxo,dummy_oxxo,cantidad_ara,dummy_ara,cantidad_d1,dummy_d1,cantidad_jb,dummy_jb,spillover_oxxo,estrato_mean,poblacion_2005,poblacion_urbana_2009,num_est_transmi,acceso_transmi,accesibilidad_arterial,personas_por_localidad_2007,personas_por_hogar_2007_localidad,gasto_promedio_mensual_2007_localidad,ICV_2007_localidad,nombre_localidad,nombre_upz,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
52.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,614920.0,740280.0,0.0,0,176.0,314.431,"4,07",569.872,"82,91",USME,LA FLORA,2.0,2.0,12.0,0.0,2.0,0.0,10.0,8.0,18178.0,8980.0,9198.0,9.902079436681705,1.1002310485201892,1.1002310485201892,6.601386291121135,0.0,1.1002310485201892,8.908685968819599,10.871928680147857
96.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,3.0,1.7264285714285716,628474.0,648214.0,4.0,2,16.0,96.241,"3,18",896.890,"88,28",SANTA FE,LOURDES,2.0,3.0,5.0,5.0,5.0,0.0,5.0,15.0,44303.0,21564.0,22739.0,4.514366972891226,0.45143669728912267,0.6771550459336839,1.1285917432228065,1.1285917432228065,1.1285917432228065,6.956037840845854,2.198865385461102
84.0,2018,1,0.0,0,0.0,0,2.0,1,1.0,1,0.0,1.98,990222.0,1073760.0,1.0,1,30.0,546.809,"3,98",703.807,"85,4",BOSA,BOSA OCCIDENTAL,17.0,10.0,33.0,12.0,43.0,0.0,36.0,79.0,195836.0,95646.0,100190.0,5.872260462836251,0.8680732858105762,0.5106313445944566,1.6850834371617067,0.6127576135133479,2.195714781756163,8.259624030278317,3.5931729713544267
111.0,2018,1,0.0,0,0.0,0,1.0,1,0.0,0,2.0,2.9375,64585.0,73290.0,16.0,5,63.0,250.715,"3,55",1.116.511,"90,43",PUENTE ARANDA,PUENTE ARANDA,11.0,0.0,2.0,1.0,7.0,0.0,9.0,12.0,10700.0,8209.0,2491.0,19.626168224299068,10.2803738317757,0.0,1.8691588785046729,0.9345794392523364,6.542056074766355,14.618102083079547,36.13006824568446
112.0,2018,1,1.0,1,1.0,1,1.0,1,0.0,0,1.0,3.1133333333333333,126427.0,160027.0,0.0,0,71.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,GRANJAS DE TECHO,16.0,1.0,1.0,5.0,6.0,0.0,10.0,19.0,43620.0,20259.0,23361.0,6.648326455754241,3.6680421824850984,0.22925263640531865,0.22925263640531865,1.1462631820265932,1.3755158184319118,9.37854780591342,4.280638671289756
75.0,2018,1,0.0,0,1.0,1,7.0,1,3.0,1,1.0,2.913,1316550.0,1374890.0,0.0,0,58.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,FONTIBON,16.0,1.0,23.0,4.0,19.0,0.0,26.0,37.0,129959.0,62133.0,67826.0,4.847682730707377,1.23115751890981,0.07694734493186313,1.769788933432852,0.3077893797274525,1.4619995537053994,5.954967569568507,3.8333382478695484
12.0,2018,1,1.0,1,1.0,1,3.0,1,0.0,0,5.0,3.378,256245.0,260090.0,9.0,3,42.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,TOBERIN,14.0,0.0,9.0,1.0,2.0,0.0,13.0,13.0,58835.0,27123.0,31712.0,4.419138268037733,2.379535990481856,0.0,1.5297017081669075,0.1699668564629897,0.3399337129259794,4.792980127567009,4.099394550958627
16.0,2018,1,0.0,0,2.0,1,7.0,1,1.0,1,11.0,5.738888888888889,464238.0,463266.0,18.0,6,60.0,430.156,"3,12",1.867.529,"93,6",USAQUEN,SANTA BARBARA,36.0,0.0,7.0,2.0,2.0,0.0,22.0,25.0,67760.0,30437.0,37323.0,6.9362455726092085,5.312868949232586,0.0,1.0330578512396693,0.29515938606847697,0.29515938606847697,8.213687288497553,5.894488653109343
82.0,2018,1,0.0,0,0.0,0,2.0,1,2.0,1,0.0,1.9566666666666668,963012.0,1044870.0,9.0,4,29.0,979.914,"3,72",999.300,"88,94",KENNEDY,PATIO BONITO,20.0,10.0,26.0,22.0,31.0,0.0,30.0,79.0,140235.0,69384.0,70851.0,7.772667308446537,1.4261774877883553,0.7130887438941776,1.8540307341248619,1.5687952365671907,2.2105751060719507,11.385910296321919,4.234238048863108
35.0,2018,1,0.0,0,0.0,0,0.0,0,1.0,1,1.0,2.666,168705.0,154565.0,35.0,5,22.0,119.565,"3,92",1.095.184,"90,79",ANTONIO NARIÑO,CIUDAD JARDIN,7.0,1.0,5.0,6.0,5.0,0.0,11.0,13.0,24983.0,11921.0,13062.0,9.606532442060601,2.801905295601009,0.4002721850858584,2.001360925429292,2.4016331105151503,2.001360925429292,10.905125408942203,8.421374980860511
68.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.055,351536.0,380992.0,0.0,0,13.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,EL TESORO,4.0,5.0,6.0,2.0,3.0,0.0,10.0,10.0,49741.0,24609.0,25132.0,4.020827888462234,0.8041655776924469,1.0052069721155585,1.2062483665386703,0.40208278884622345,0.6031241832693351,4.063553984314682,3.9789909279006843
27.0,2018,1,1.0,1,2.0,1,7.0,1,2.0,1,2.0,2.840909090909091,1497236.0,1751217.0,16.0,6,48.0,981.613,"3,41",1.388.086,"91,6",SUBA,SUBA,23.0,0.0,17.0,14.0,7.0,0.0,26.0,35.0,166333.0,77901.0,88432.0,3.6673420187214805,1.382768302140886,0.0,1.0220461363650026,0.841685053477061,0.4208425267385305,4.492881991245299,2.9401121765876606
22.0,2018,1,1.0,1,0.0,0,5.0,1,0.0,0,2.0,3.292222222222222,847206.0,887247.0,37.0,8,38.0,230.066,"3,36",1.462.840,"92,44",BARRIOS UNIDOS,DOCE DE OCTUBRE,17.0,1.0,6.0,12.0,3.0,0.0,11.0,28.0,64814.0,30527.0,34287.0,6.0172185021754565,2.622890116332891,0.15428765390193477,0.9257259234116085,1.851451846823217,0.46286296170580427,9.172208209126348,3.208213025344883
105.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,2.67,1601.0,2464.0,4.0,1,11.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,JARDIN BOTANICO,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2482.0,1423.0,1059.0,12.087026591458502,12.087026591458502,0.0,0.0,0.0,0.0,7.027406886858749,18.885741265344667
104.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,3.0,4.0,19494.0,20424.0,21.0,5,34.0,139.298,"2,87",1.933.116,"96,03",TEUSAQUILLO,PARQUE SIMON BOLIVAR - CAN,9.0,0.0,2.0,1.0,1.0,0.0,8.0,5.0,2937.0,1546.0,1391.0,44.262853251617294,30.643513789581203,0.0,6.809669731018045,3.4048348655090224,3.4048348655090224,32.34152652005175,57.51258087706686
74.0,2018,1,0.0,0,0.0,0,1.0,1,0.0,0,1.0,2.0016666666666665,712512.0,784968.0,0.0,0,15.0,824.337,"3,41",1.089.512,"91,78",ENGATIVA,ENGATIVA,11.0,4.0,17.0,5.0,20.0,0.0,22.0,35.0,135897.0,65701.0,70196.0,4.194353076226848,0.8094365585700936,0.29434056675276127,1.2509474086992354,0.3679257084409516,1.4717028337638065,5.327163970107,3.1340817140577815
47.0,2018,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,3.0,865592.0,770256.0,9.0,4,28.0,979.914,"3,72",999.300,"88,94",KENNEDY,KENNEDY CENTRAL,6.0,2.0,11.0,14.0,25.0,1.0,20.0,37.0,94686.0,44596.0,50090.0,6.125509579029634,0.6336734047272036,0.21122446824240118,1.1617345753332067,1.4785712776968083,2.6403058530300147,8.29670822495291,3.9928129367139147
70.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1.1733333333333331,789975.0,888237.0,0.0,0,23.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,JERUSALEM,1.0,8.0,16.0,6.0,12.0,0.0,17.0,26.0,95007.0,46315.0,48692.0,4.525982296041344,0.10525540223351963,0.8420432178681571,1.6840864357363141,0.6315324134011178,1.2630648268022355,5.6137320522508904,3.4913332785673212
66.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.8425,597168.0,609704.0,4.0,3,26.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,SAN FRANCISCO,5.0,10.0,14.0,8.0,15.0,0.0,17.0,35.0,68147.0,33151.0,34996.0,7.63056334101281,0.7337080135589241,1.4674160271178482,2.0543824379649878,1.1739328216942786,2.2011240406767723,10.557750897408827,4.857698022631158
65.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,1.0,2.463333333333334,349194.0,364512.0,9.0,3,21.0,593.937,"4,09",505.335,"83,5",CIUDAD BOLIVAR,ARBORIZADORA,5.0,1.0,9.0,12.0,13.0,0.0,12.0,28.0,77129.0,36651.0,40478.0,5.186116765418974,0.6482645956773717,0.12965291913547433,1.1668762722192692,1.555835029625692,1.6854879487611665,7.639627840986603,2.964573348485597
79.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2.1333333333333333,167274.0,204984.0,3.0,2,22.0,979.914,"3,72",999.300,"88,94",KENNEDY,CALANDAIMA,4.0,1.0,16.0,18.0,17.0,0.0,22.0,34.0,120204.0,56697.0,63507.0,4.6587467971115775,0.33276762836511264,0.08319190709127816,1.3310705134604506,1.497454327643007,1.4142624205517287,5.9967899536130655,3.464185050466878
59.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.0,163808.0,216380.0,0.0,0,6.0,314.431,"4,07",569.872,"82,91",USME,ALFONSO LOPEZ,4.0,3.0,9.0,2.0,9.0,0.0,11.0,16.0,48496.0,23875.0,24621.0,5.567469482019136,0.8248102936324645,0.6186077202243484,1.855823160673045,0.41240514681623225,1.855823160673045,6.701570680628272,4.467730798911498
45.0,2018,1,0.0,0,0.0,0,1.0,1,1.0,1,0.0,2.7914285714285714,737583.0,674359.0,9.0,4,35.0,979.914,"3,72",999.300,"88,94",KENNEDY,CARVAJAL,16.0,4.0,8.0,11.0,17.0,0.0,12.0,44.0,90556.0,43525.0,47031.0,6.184018728742435,1.7668624939264101,0.44171562348160254,0.8834312469632051,1.214717964574407,1.8772913997968108,10.109132682366456,2.5515085794475985
20.0,2018,1,1.0,1,0.0,0,7.0,1,30.0,1,14.0,4.996666666666667,231126.0,219822.0,33.0,6,26.0,981.613,"3,41",1.388.086,"91,6",SUBA,LA ALHAMBRA,13.0,0.0,1.0,3.0,1.0,0.0,8.0,10.0,39506.0,17788.0,21718.0,4.55626993368096,3.29063939654736,0.0,0.25312610742672,0.75937832228016,0.25312610742672,5.621767483696875,3.6835804401878627
51.0,2018,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1.68875,263745.0,660861.0,0.0,0,15.0,404.35,"3,73",706.208,"83,68",SAN CRISTOBAL,LOS LIBERTADORES,3.0,1.0,12.0,3.0,7.0,0.0,11.0,15.0,73845.0,35930.0,37915.0,3.5208883472137584,0.4062563477554337,0.13541878258514456,1.6250253910217347,0.4062563477554337,0.9479314780960119,4.174784302811021,2.9012264275352764
115.0,2018,1,0.0,0,1.0,1,0.0,0,0.0,0,3.0,3.314,77135.0,83285.0,6.0,3,26.0,317.179,"3,46",1.428.379,"90,03",FONTIBON,CAPELLANIA,8.0,0.0,2.0,0.0,2.0,0.0,6.0,6.0,17190.0,8131.0,9059.0,6.980802792321117,4.653868528214078,0.0,1.1634671320535195,0.0,1.1634671320535195,7.379166154224572,6.623247599072745
43.0,2018,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,3.0,844074.0,844239.0,17.0,8,31.0,250.715,"3,55",1.116.511,"90,43",PUENTE ARANDA,SAN RAFAEL,6.0,0.0,9.0,29.0,7.0,0.0,18.0,33.0,71167.0,33640.0,37527.0,7.166242781064257,0.8430873860075596,0.0,1.2646310790113395,4.074922365703205,0.983601950342153,9.80975029726516,4.7965464865296985
