"ZAT","codigo_upz","nombre_upz","codigo_localidad","nombre_localidad","estrato_mean","poblacion_2005","area_urbana_2009","poblacion_urbana_2009","densidad_urbana_2009","poblacion_por_localidad_2005","personas_por_localidad_2007","personas_por_hogar_2007_localidad","gasto_promedio_mensual_2007_localidad","ICV_2007_localidad","num_est_transmi","acceso_transmi","accesibilidad_arterial"
"42","27","SUBA","11","SUBA","3.07","115172","652.901.130.738","134709","206.323.735.184","923.064","981.613","3,41","1.388.086","91,6","3","1","0"
"43","23","CASA BLANCA SUBA","11","SUBA","2.83","29874","420.483.819.457","36521","868.547.095.276","923.064","981.613","3,41","1.388.086","91,6","1","1","0"
"44","23","CASA BLANCA SUBA","11","SUBA","3.11","29874","420.483.819.457","36521","868.547.095.276","923.064","981.613","3,41","1.388.086","91,6","2","1","6"
"45","23","CASA BLANCA SUBA","11","SUBA","4","29874","420.483.819.457","36521","868.547.095.276","923.064","981.613","3,41","1.388.086","91,6","0","0","2"
"46","18","BRITALIA","11","SUBA","3.18","50139","328.656.231.464","57730","175.654.664.276","923.064","981.613","3,41","1.388.086","91,6","0","0","6"
"47","18","BRITALIA","11","SUBA","3.04","50139","328.656.231.464","57730","175.654.664.276","923.064","981.613","3,41","1.388.086","91,6","3","1","4"
"48","18","BRITALIA","11","SUBA","2.89","50139","328.656.231.464","57730","175.654.664.276","923.064","981.613","3,41","1.388.086","91,6","0","0","3"
"49","18","BRITALIA","11","SUBA","3","50139","328.656.231.464","57730","175.654.664.276","923.064","981.613","3,41","1.388.086","91,6","3","1","3"
"50","18","BRITALIA","11","SUBA","4.25","50139","328.656.231.464","57730","175.654.664.276","923.064","981.613","3,41","1.388.086","91,6","4","1","3"
"51","12","TOBERIN","1","USAQUEN","3.8","51249","290.663.146.859","52018","178.963.176.316","425.192","430.156","3,12","1.867.529","93,6","4","1","12"
"52","12","TOBERIN","1","USAQUEN","2.87","51249","290.663.146.859","52018","178.963.176.316","425.192","430.156","3,12","1.867.529","93,6","3","1","7"
"53","12","TOBERIN","1","USAQUEN","3","51249","290.663.146.859","52018","178.963.176.316","425.192","430.156","3,12","1.867.529","93,6","2","1","7"
"54","12","TOBERIN","1","USAQUEN","3.28","51249","290.663.146.859","52018","178.963.176.316","425.192","430.156","3,12","1.867.529","93,6","0","0","8"
"55","10","LA URIBE","1","USAQUEN","3","13585","3.452.642.542","17055","493.969.468.097","425.192","430.156","3,12","1.867.529","93,6","0","0","5"
"56","11","SAN CRISTOBAL NORTE","1","USAQUEN","3","62234","275.277.506.205","72680","264.024.478.433","425.192","430.156","3,12","1.867.529","93,6","0","0","5"
"57","11","SAN CRISTOBAL NORTE","1","USAQUEN","1.44","62234","275.277.506.205","72680","264.024.478.433","425.192","430.156","3,12","1.867.529","93,6","0","0","2"
"58","11","SAN CRISTOBAL NORTE","1","USAQUEN","1.31","62234","275.277.506.205","72680","264.024.478.433","425.192","430.156","3,12","1.867.529","93,6","0","0","1"
"59","11","SAN CRISTOBAL NORTE","1","USAQUEN","3.01","62234","275.277.506.205","72680","264.024.478.433","425.192","430.156","3,12","1.867.529","93,6","0","0","5"
"60","11","SAN CRISTOBAL NORTE","1","USAQUEN","3.04","62234","275.277.506.205","72680","264.024.478.433","425.192","430.156","3,12","1.867.529","93,6","0","0","5"
"61","12","TOBERIN","1","USAQUEN","3.94","51249","290.663.146.859","52018","178.963.176.316","425.192","430.156","3,12","1.867.529","93,6","0","0","8"
"62","13","LOS CEDROS","1","USAQUEN","4","95424","672.263.207.867","102364","152.267.740.971","425.192","430.156","3,12","1.867.529","93,6","4","1","8"
"63","13","LOS CEDROS","1","USAQUEN","4","95424","672.263.207.867","102364","152.267.740.971","425.192","430.156","3,12","1.867.529","93,6","4","1","8"
"64","19","EL PRADO","11","SUBA","4","86564","433.403.358.117","89013","205.381.426.639","923.064","981.613","3,41","1.388.086","91,6","3","1","2"
"65","19","EL PRADO","11","SUBA","4","86564","433.403.358.117","89013","205.381.426.639","923.064","981.613","3,41","1.388.086","91,6","3","1","3"
"66","19","EL PRADO","11","SUBA","4.13","86564","433.403.358.117","89013","205.381.426.639","923.064","981.613","3,41","1.388.086","91,6","3","1","5"
"67","19","EL PRADO","11","SUBA","3.68","86564","433.403.358.117","89013","205.381.426.639","923.064","981.613","3,41","1.388.086","91,6","4","1","10"
"68","19","EL PRADO","11","SUBA","3","86564","433.403.358.117","89013","205.381.426.639","923.064","981.613","3,41","1.388.086","91,6","3","1","4"
"69","13","LOS CEDROS","1","USAQUEN","4.57","95424","672.263.207.867","102364","152.267.740.971","425.192","430.156","3,12","1.867.529","93,6","5","1","10"
