theft_to_people_index1,theft_to_people_index0,lb,ub,exp
3.9487267,.77354854,2.4325995,5.4648542,-14
.12745428,.68106419,-1.207407,1.4623156,-13
1.3110802,1.1993903,-1.0396816,3.6618421,-12
1.312806,2.2500525,-3.0972159,5.7228279,-11
-3.5697336,2.515348,-8.4997244,1.3602577,-10
.01640901,1.8388098,-3.5875921,3.62041,-9
2.4345753,2.3129241,-2.0986731,6.9678235,-8
.026703415,3.4187837,-6.6739898,6.7273965,-7
-3.6226437,2.7895977,-9.0901546,1.8448672,-6
2.299484,4.7013497,-6.9149923,11.513961,-5
1.7253215,4.9996824,-8.0738764,11.524519,-4
-4.0339961,4.8792048,-13.597062,5.5290699,-3
5.3706694,6.8818607,-8.1175299,18.858868,-2
0,0,0,0,-1
-3.0633817,5.2705517,-13.393473,7.2667098,-1
2.5765805,1.8433778,-1.0363736,6.1895347,0
1.3968078,1.6190163,-1.7764059,4.5700216,1
-.43056643,3.1383266,-6.5815735,5.7204404,2
2.9518774,5.5627832,-7.9509773,13.854732,3
8.0033464,6.9992228,-5.7148781,21.721571,4
3.5854466,6.8489976,-9.8383417,17.009235,5
2.2669706,7.9061565,-13.228812,17.762753,6
1.7366951,10.317004,-18.484261,21.957651,7
3.6738553,14.999653,-25.724924,33.072636,8
-25.634533,10.033085,-45.299019,-5.9700484,9
-24.384083,11.778829,-47.470161,-1.2980025,10
-24.074991,10.474225,-44.604095,-3.5458875,11
-23.810839,11.497238,-46.345013,-1.2766664,12
-30.764778,8.543211,-47.509163,-14.020393,13
