theft_to_vehicle_log_index1,theft_to_vehicle_log_index0,lb,ub,exp
-.025119888,.060985267,-.14464881,.094409041,-24
.10922908,.063531518,-.015290412,.23374857,-23
-.1806417,.1136931,-.40347606,.042192671,-22
.12192032,.13095275,-.13474235,.37858298,-21
-.025493806,.0677028,-.15818885,.10720124,-20
.18091777,.10343587,-.02181281,.38364837,-19
-.080283202,.09906105,-.27443931,.11387289,-18
-.11741365,.07077314,-.25612646,.021299165,-17
.079361916,.11112282,-.13843481,.29715866,-16
.11327704,.063389741,-.010964565,.23751865,-15
-.095744491,.11593357,-.32297012,.13148113,-14
-.027543325,.095512472,-.21474433,.15965767,-13
.10060558,.064500511,-.025813105,.22702426,-12
-.12594478,.083607174,-.28981182,.037922267,-11
-.049650677,.10351999,-.25254613,.15324478,-10
.073221959,.070306309,-.064575881,.2110198,-9
.093036726,.075170763,-.054295253,.24036871,-8
-.15644509,.092903249,-.33853212,.025641939,-7
-.006769794,.072543278,-.14895201,.13541241,-6
.065929055,.0720037,-.075195611,.20705372,-5
.0682806,.058056157,-.045507371,.18206857,-4
-.020743437,.063218974,-.14465035,.10316348,-3
-.036335982,.050321836,-.13496497,.062293004,-2
0,0,0,0,-1
-.016305095,.067164108,-.14794432,.11533413,-1
-.047974836,.048611347,-.14325131,.04730165,0
.043327142,.065587342,-.085221693,.17187597,1
-.064547695,.057488188,-.17722248,.048127085,2
-.11702038,.070662759,-.25551686,.021476071,3
-.098072164,.060016375,-.2157021,.019557772,4
.034382727,.094458707,-.15075293,.21951838,5
-.040678546,.06558647,-.16922566,.087868564,6
-.022140134,.11165352,-.24097702,.19669674,7
-.15193193,.080674194,-.31005046,.0061865896,8
-.10608948,.07646133,-.25595093,.043771978,9
.008580613,.073874794,-.13621132,.15337256,10
.0050731045,.076236218,-.14434713,.15449335,11
-.071847245,.087943733,-.2442138,.10051931,12
-.061541654,.084237725,-.22664456,.10356125,13
-.051192347,.096514948,-.24035816,.13797347,14
-.15183561,.12780854,-.40233573,.098664545,15
-.098634489,.16105534,-.41429713,.21702817,16
-.05363467,.13685393,-.32186344,.21459411,17
-.11627299,.076391451,-.26599747,.033451512,18
-.071467727,.053527027,-.17637877,.033443317,19
.037010252,.056114927,-.072972983,.14699349,20
-.0018951624,.087887093,-.17415071,.17036039,21
.1061726,.12318815,-.13527174,.34761694,22
.024746969,.13477984,-.23941667,.2889106,23
-.28937387,.14300807,-.56966454,-.0090831947,24
