tasa_total_atraco1,tasa_total_atraco0,lb,ub,exp
.045707919,.052950803,-.058073752,.14948958,-24
.011609195,.04316863,-.072999761,.096218154,-23
.02254572,.069332883,-.11334424,.15843567,-22
-.29431695,.25401738,-.79218185,.20354798,-21
.24239908,.24368401,-.2352128,.72001094,-20
-.032252893,.036554657,-.1038987,.039392918,-19
-.149179,.10587201,-.35668433,.058326341,-18
-.035950154,.047088176,-.12824129,.056340978,-17
-.022144126,.027547054,-.07613536,.031847108,-16
.0089620585,.029675832,-.049201503,.067125618,-15
-.015657917,.040352687,-.094747737,.063431896,-14
.0099034216,.02125621,-.031757988,.051564828,-13
.043726381,.05455301,-.063195556,.15064831,-12
.000083730003,.046451733,-.090959996,.091127455,-11
.067076527,.075230561,-.080372654,.21452571,-10
.12206586,.082466997,-.039566476,.2836982,-9
.13930532,.080128357,-.01774337,.29635403,-8
-.057782058,.1250727,-.30292004,.18735594,-7
-.182191,.2349638,-.64271158,.27832958,-6
.083323941,.056896884,-.028191905,.19483979,-5
-.016172318,.03002941,-.075028881,.042684242,-4
-.13715008,.16636056,-.46321079,.18891063,-3
-.26700678,.32782105,-.9095242,.37551063,-2
.038210392,.052408397,-.064508177,.14092895,-1
0,0,0,0,-1
.076115571,.069865622,-.060818531,.21304967,0
.19049171,.11101847,-.027100505,.40808392,1
.30742565,.17911349,-.043630339,.65848166,2
.36812854,.23723859,-.096850559,.83310765,3
.39653978,.2571668,-.10749793,.90057749,4
.4709039,.30350932,-.12396342,1.0657712,5
.60495758,.34948713,-.080024585,1.2899398,6
.58871347,.34786153,-.093082644,1.2705096,7
.56193167,.34783,-.11980261,1.2436659,8
.55119252,.35451466,-.14364344,1.2460285,9
.61082458,.36957112,-.11352149,1.3351706,10
.61648393,.38289145,-.13396949,1.3669374,11
.74991071,.4101879,-.05404282,1.5538642,12
.79259199,.43494555,-.059885647,1.6450696,13
.85225844,.45410424,-.03776953,1.7422864,14
.91859657,.42967144,.076456025,1.7607371,15
.92936957,.43628576,.074265212,1.7844739,16
1.2132365,.43970954,.35142156,2.0750513,17
1.1272877,.44038939,.26414043,1.9904351,18
1.0206008,.430356,.17711845,1.8640831,19
1.0229218,.42806315,.18393348,1.8619102,20
1.0459025,.43520224,.19292182,1.8988832,21
1.1055624,.45011953,.22334445,1.9877805,22
1.0988386,.45319781,.21058726,1.98709,23
1.0881798,.45925984,.18804716,1.9883126,24
