homicide_index1,homicide_index0,lb,ub,exp
.30471972,.19987902,-.087035969,.69647539,-24
-.21097639,.20130821,-.60553324,.18358046,-23
.074038036,.10774691,-.13714203,.28521812,-22
-.087531865,.1523191,-.38607183,.2110081,-21
-.070034266,.21497105,-.49136978,.35130125,-20
-.094413705,.20725636,-.50062871,.31180131,-19
.14244087,.23685057,-.32177773,.60665947,-18
-.23031157,.21218769,-.64619178,.18556865,-17
.067856096,.10878961,-.14536761,.2810798,-16
.16536741,.17606543,-.1797145,.51044929,-15
-.06309256,.170709,-.39767605,.27149093,-14
.053475581,.12575777,-.19300513,.29995629,-13
.11510836,.16795471,-.21407683,.44429356,-12
-.060992081,.13173828,-.31919435,.19721019,-11
-.0021621364,.072578423,-.14441323,.14008896,-10
-.055816278,.098936267,-.2497278,.13809524,-9
.096220069,.093560345,-.087154835,.27959496,-8
-.026532227,.125963,-.27341515,.22035071,-7
-.044918261,.11571412,-.27171376,.18187724,-6
-.026382679,.093290336,-.20922838,.15646303,-5
.12441352,.12936489,-.12913701,.37796405,-4
-.10879382,.089217536,-.28365698,.06606935,-3
.10962358,.077707037,-.042679414,.26192659,-2
0,0,0,0,-1
.0040160464,.11267712,-.21682705,.22485915,-1
-.0088312924,.066573896,-.13931374,.12165115,0
.011751232,.11453051,-.21272445,.23622692,1
.02731254,.091195472,-.1514273,.20605238,2
.3863622,.28227037,-.1668776,.93960196,3
.11289737,.12175288,-.1257339,.35152861,4
.096619666,.15799645,-.21304768,.40628701,5
.055237804,.098388568,-.13760024,.24807586,6
-.027029619,.092888117,-.20908698,.15502775,7
-.054086894,.10648448,-.26279265,.15461886,8
-.041090194,.09208934,-.22158198,.1394016,9
.25577885,.14612649,-.030623809,.54218155,10
.10375422,.13101527,-.15303099,.36053944,11
.076235309,.14585677,-.2096387,.36210933,12
.10607339,.16043434,-.20837213,.42051893,13
.21217287,.14791742,-.077739954,.50208569,14
.26434878,.18129875,-.09099023,.6196878,15
-.076592721,.2207675,-.50928909,.35610363,16
.057749376,.16488113,-.2654117,.38091046,17
.10706715,.22976729,-.34326845,.55740279,18
.11294524,.19763356,-.27440944,.50029993,19
.11873859,.19442424,-.26232591,.4998031,20
.051798217,.23330143,-.40546417,.50906062,21
.14364959,.23789383,-.32261378,.60991293,22
.0050295754,.32886317,-.63953042,.64958954,23
.1288726,.24898909,-.35913706,.61688226,24
