female_index1,female_index0,lb,ub,exp
1.8411952,3.2589357,-4.5462012,8.2285919,-24
-2.2039187,3.3864033,-8.8411474,4.43331,-23
7.8917308,6.9225416,-5.6762013,21.459663,-22
-9.7156887,7.2586708,-23.942423,4.511045,-21
5.8729868,5.2661023,-4.4483833,16.194357,-20
-.014702544,2.3133535,-4.5487919,4.5193868,-19
11.071888,11.239547,-10.957218,33.100994,-18
-3.695473,3.8793576,-11.298874,3.907928,-17
14.086504,12.855199,-11.109222,39.28223,-16
3.3454773,1.9817727,-.53872567,7.2296801,-15
-4.9073143,4.9660215,-14.640537,4.8259091,-14
2.3930452,2.0007348,-1.5283232,6.3144135,-13
3.6696332,3.3491433,-2.8945673,10.233833,-12
2.0346637,2.5559607,-2.9749272,7.0442543,-11
-13.145869,7.1037755,-27.069014,.77727485,-10
-4.5835352,10.78275,-25.717337,16.550266,-9
-2.6972885,2.7466438,-8.0806112,2.6860342,-8
.56852317,6.1561613,-11.497331,12.634377,-7
3.9546764,2.527247,-.9986366,8.9079895,-6
-10.835561,5.6518421,-21.912968,.2418465,-5
3.1668732,2.6590714,-2.0448108,8.3785572,-4
-4.0800991,2.6269951,-9.2289152,1.0687165,-3
7.1944904,5.0467114,-2.696882,17.085863,-2
0,0,0,0,-1
-3.4737041,5.8711476,-14.980942,8.033534,-1
-4.4105897,6.1726265,-16.508715,7.6875362,0
-6.2329741,5.2510605,-16.524864,4.0589151,1
-5.8087287,6.273798,-18.105146,6.4876895,2
-6.5538669,7.9198284,-22.076447,8.9687119,3
-6.6834702,9.9959555,-26.275183,12.908242,4
-7.8351502,10.346182,-28.113295,12.442994,5
-8.835516,11.626985,-31.623987,13.952955,6
-11.516665,12.308463,-35.640812,12.607479,7
-12.576511,13.807431,-39.63858,14.485557,8
-14.574889,13.355387,-40.750965,11.601189,9
-16.08441,13.186823,-41.930107,9.7612867,10
-18.960812,14.78996,-47.948601,10.026978,11
-21.460522,15.369004,-51.583218,8.6621733,12
-23.52737,17.482332,-57.79211,10.73737,13
-24.23193,18.926109,-61.326424,12.862563,14
-6.2797327,10.217187,-26.30505,13.745585,15
-6.1992025,10.877983,-27.519657,15.121253,16
-.72805893,8.3762293,-17.145166,15.689048,17
1.7594277,2.8429983,-3.8127468,7.3316021,18
1.0507779,2.4941077,-3.8375833,5.9391389,19
3.0793078,1.9520544,-.74664855,6.9052639,20
3.3836093,2.0182009,-.57199156,7.33921,21
2.667176,2.2957354,-1.8323826,7.1667347,22
1.3735182,2.0090191,-2.5640869,5.3111234,23
1.2754037,1.7735407,-2.2006721,4.7514796,24
