prop_independiente_total1,prop_independiente_total0,exp,lb,ub
.0060157101,.023728602,-3,-.040492348,.052523769
-.012473661,.021067902,-2,-.05376675,.028819427
0,0,-1,0,0
-.012696715,.01707641,0,-.04616648,.020773049
-.029021332,.02253885,1,-.073197477,.015154814
-.07102973,.033157688,2,-.1360188,-.0060406625
