exp,prop_independiente_total0,prop_independiente_total1,lb,ub
-3,.0266,-.0318,-.083935998,.020336
-2,.0249,.00919,-.039613999,.057994001
-1,0,0,0,0
0,.0166,-.0103,-.042835999,.022236001
1,.0181,-.0232,-.058676001,.012276
2,.0264,-.0458,-.097544,.0059440001
3,.0315,-.0793,-.14104,-.01756
