		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	LABELS	TWFE theft_to_vehicle_index_eb	TWFE theft_to_people_index_eb	TWFE theft_to_motorbike_index_eb	TWFE sexual_index_eb	TWFE homicide_index_eb	TWFE	TWFE theft_to_vehicle_index_eb H	TWFE theft_to_people_index_eb H	TWFE theft_to_motorbike_index_eb H	TWFE sexual_index_eb H	TWFE homicide_index_eb H	TWFE H
													
cantidad_oxxo	cantidad_oxxo	0.00247	-0.261	0.00583	0.0820	0.0189	0.680	-0.0198	-1.128	-0.00349	0.0881	0.0220	0.829
		(0.0405)	(3.234)	(0.0309)	(0.127)	(0.0150)	(6.743)	(0.0408)	(2.931)	(0.0311)	(0.132)	(0.0152)	(6.354)
spillover_oxxo	spillover_oxxo	-0.0139	-2.618**	-0.0104	-0.0693	0.00888*	5.290**	-0.0188*	-2.847**	-0.0123	-0.0681	0.00888*	5.842**
		(0.0114)	(1.172)	(0.00761)	(0.0505)	(0.00449)	(2.203)	(0.0111)	(1.204)	(0.00778)	(0.0516)	(0.00452)	(2.610)
Constant	Constant	1.397***	26.96***	1.545***	2.101***	0.437***	20.35***	1.347***	23.94***	1.519***	2.195***	0.434***	22.69***
		(0.0353)	(3.539)	(0.0242)	(0.155)	(0.0152)	(4.402)	(0.0434)	(2.707)	(0.0280)	(0.164)	(0.0186)	(4.905)
													
Observations		2,880	2,880	2,880	2,880	2,880	1,440	2,880	2,880	2,880	2,880	2,880	1,440
R-squared		0.582	0.483	0.611	0.411	0.395	0.663	0.585	0.486	0.611	0.412	0.396	0.666
Chain stores		NO	NO	NO	NO	NO	NO	SI	SI	SI	SI	SI	SI
Gender controles		NO	NO	NO	NO	NO	NO						
Day controls		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Control spillover		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Access controles		NO	NO	NO	NO	NO	NO						
Robust standard errors in parentheses													
*** p<0.01, ** p<0.05, * p<0.1													
