		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	LABELS	TWFE homicide_log_index	TWFE theft_to_motorbike_log_index	TWFE theft_to_people_log_index	TWFE theft_to_vehicle_log_index	TWFE sexual_log_index	TWFE spill	TWFE homicide_log_index H	TWFE theft_to_motorbike_log_index H	TWFE theft_to_people_log_index H	TWFE theft_to_vehicle_log_index H	TWFE sexual_log_index H	TWFE spill
													
dummy_oxxo	dummy_oxxo	0.0482*	-0.0598*	-0.0959*	-0.0288	-0.0567	2.822	0.0511**	-0.0749**	-0.126**	-0.0606	-0.0546	2.728
		(0.0248)	(0.0344)	(0.0551)	(0.0389)	(0.0492)	(7.118)	(0.0231)	(0.0353)	(0.0521)	(0.0415)	(0.0527)	(6.652)
spillover_oxxo	spillover_oxxo	0.0178**	-0.0285	-0.123***	-0.0410**	-0.0265	12.65	0.0175**	-0.0315	-0.133***	-0.0489**	-0.0284	12.29
		(0.00893)	(0.0268)	(0.0241)	(0.0188)	(0.0195)	(11.45)	(0.00860)	(0.0277)	(0.0230)	(0.0193)	(0.0201)	(11.54)
Constant	Constant	0.309***	0.824***	2.082***	0.752***	0.867***	27.78***	0.308***	0.799***	2.031***	0.719***	0.892***	30.61***
		(0.00717)	(0.0154)	(0.0159)	(0.0122)	(0.0144)	(2.922)	(0.0131)	(0.0163)	(0.0201)	(0.0139)	(0.0179)	(4.274)
													
Observations		2,880	2,880	2,880	2,880	2,880	1,440	2,880	2,880	2,880	2,880	2,880	1,440
R-squared		0.426	0.500	0.916	0.497	0.559	0.661	0.426	0.502	0.917	0.502	0.562	0.663
Chain stores		NO	NO	NO	NO	NO	NO	SI	SI	SI	SI	SI	NO
Gender controles		NO	NO	NO	NO	NO	NO						NO
Day controls		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Control spillover		NO	NO	NO	NO	NO	SI	SI	SI	SI	SI	SI	SI
Access controles													NO
Robust standard errors in parentheses													
*** p<0.01, ** p<0.05, * p<0.1													
