		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	LABELS	TWFE crime_index	TWFE theft_to_vehicle_index	TWFE theft_to_vehicle	TWFE theft_to_people_index	TWFE theft_to_motorbike_index	TWFE theft_to_motorbike	TWFE sexual_index	TWFE homicide_index	TWFE male_index	TWFE female_index
											
dummy_oxxo	dummy_oxxo	-20.81	-0.783	-0.577	-17.53	0.362	1.751	-1.002	-1.850	-21.35	-21.90*
		(13.45)	(0.667)	(1.140)	(11.29)	(0.233)	(1.872)	(0.702)	(1.926)	(14.25)	(13.15)
Constant	Constant	63.53***	2.391***	6.840***	53.56***	1.583***	7.442***	3.506***	2.489***	71.36***	57.59***
		(2.506)	(0.124)	(0.213)	(2.104)	(0.0433)	(0.349)	(0.131)	(0.359)	(2.656)	(2.451)
											
Observations		1,744	1,744	1,744	1,744	1,744	1,744	1,744	1,744	1,744	1,744
R-squared		0.683	0.335	0.802	0.658	0.129	0.819	0.234	0.369	0.614	0.678
Chain stores		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Gender controles		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Day controls		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Control spillover		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Access controles		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Robust standard errors in parentheses											
*** p<0.01, ** p<0.05, * p<0.1											
